trip_id,start_time,end_time,start_station,end_station,duration_minutes,member_type
129,2023-06-01 10:34:18,2023-06-01 11:02:18,Riverside,City Hall,28,member
128,2023-06-01 10:34:21,2023-06-01 10:39:21,Midtown,Central Park,5,member
131,2023-06-01 10:34:37,2023-06-01 11:03:37,Market Square,Riverside,29,casual
136,2023-06-01 10:36:45,2023-06-01 11:05:45,Elm Street,Downtown,29,member
126,2023-06-01 10:39:41,2023-06-01 10:48:41,Lakeside,Lakeside,9,member
125,2023-06-01 10:41:13,2023-06-01 10:50:13,Midtown,Elm Street,9,member
138,2023-06-01 10:45:36,2023-06-01 10:55:36,Elm Street,Maple Drive,10,member
123,2023-06-01 10:46:47,2023-06-01 10:49:47,Tech Campus,Midtown,3,member
134,2023-06-01 10:48:41,2023-06-01 11:16:41,Oak Avenue,Maple Drive,28,member
127,2023-06-01 10:49:12,2023-06-01 11:10:12,Midtown,Market Square,21,member
124,2023-06-01 10:52:17,2023-06-01 11:21:17,Central Park,Maple Drive,29,member
150,2023-06-01 11:01:50,2023-06-01 11:24:50,Central Park,Central Park,23,casual
141,2023-06-01 11:03:27,2023-06-01 11:29:27,Harbor View,City Hall,26,member
148,2023-06-01 11:07:07,2023-06-01 11:21:07,Tech Campus,Oak Avenue,14,member
146,2023-06-01 11:07:44,2023-06-01 11:26:44,Riverside,Harbor View,19,member
139,2023-06-01 11:20:33,2023-06-01 11:23:33,Tech Campus,Harbor View,3,member
143,2023-06-01 11:25:55,2023-06-01 11:41:55,University,Harbor View,16,casual
151,2023-06-01 11:26:03,2023-06-01 11:51:03,Market Square,Riverside,25,member
144,2023-06-01 11:31:46,2023-06-01 12:00:46,University,Downtown,29,member
145,2023-06-01 11:32:08,2023-06-01 11:38:08,Maple Drive,Elm Street,6,casual
149,2023-06-01 11:33:09,2023-06-01 11:57:09,Tech Campus,Market Square,24,member
142,2023-06-01 11:33:25,2023-06-01 11:43:25,Oak Avenue,Elm Street,10,member
140,2023-06-01 11:45:27,2023-06-01 11:53:27,Downtown,University,8,member
147,2023-06-01 11:47:10,2023-06-01 12:14:10,City Hall,Oak Avenue,27,casual
167,2023-06-01 12:01:55,2023-06-01 12:20:55,Elm Street,Tech Campus,19,member
162,2023-06-01 12:03:36,2023-06-01 12:06:36,Elm Street,Midtown,3,member
168,2023-06-01 12:05:07,2023-06-01 12:35:07,Market Square,Central Park,30,member
161,2023-06-01 12:05:12,2023-06-01 12:14:12,Oak Avenue,Elm Street,9,member
165,2023-06-01 12:05:51,2023-06-01 12:41:51,Elm Street,Oak Avenue,36,member
159,2023-06-01 12:05:55,2023-06-01 12:27:55,Central Park,Maple Drive,22,member
155,2023-06-01 12:08:32,2023-06-01 12:39:32,Pine Road,Harbor View,31,casual
164,2023-06-01 12:17:50,2023-06-01 12:40:50,Downtown,Midtown,23,member
158,2023-06-01 12:21:34,2023-06-01 12:53:34,Harbor View,Maple Drive,32,member
154,2023-06-01 12:21:50,2023-06-01 12:25:50,Downtown,Oak Avenue,4,member
153,2023-06-01 12:30:36,2023-06-01 12:48:36,Market Square,Oak Avenue,18,member
166,2023-06-01 12:37:02,2023-06-01 12:40:02,Tech Campus,University,3,member
157,2023-06-01 12:39:26,2023-06-01 13:09:26,University,Riverside,30,casual
160,2023-06-01 12:40:50,2023-06-01 12:59:50,Pine Road,City Hall,19,member
156,2023-06-01 12:42:28,2023-06-01 13:09:28,City Hall,Lakeside,27,member
163,2023-06-01 12:42:59,2023-06-01 12:57:59,Elm Street,Central Park,15,casual
152,2023-06-01 12:47:31,2023-06-01 13:17:31,City Hall,Downtown,30,member
169,2023-06-01 12:49:05,2023-06-01 13:05:05,Central Park,Market Square,16,casual
185,2023-06-01 13:04:19,2023-06-01 13:35:19,Downtown,Central Park,31,casual
174,2023-06-01 13:07:17,2023-06-01 13:19:17,Union Station,Tech Campus,12,member
179,2023-06-01 13:09:23,2023-06-01 13:21:23,Riverside,Elm Street,12,casual
176,2023-06-01 13:17:35,2023-06-01 13:36:35,Oak Avenue,Pine Road,19,member
186,2023-06-01 13:17:56,2023-06-01 13:43:56,University,Riverside,26,member
184,2023-06-01 13:18:02,2023-06-01 13:35:02,Central Park,Maple Drive,17,member
170,2023-06-01 13:20:11,2023-06-01 13:34:11,Union Station,Maple Drive,14,member
171,2023-06-01 13:24:06,2023-06-01 13:37:06,Tech Campus,Market Square,13,member
175,2023-06-01 13:26:04,2023-06-01 13:33:04,Riverside,Midtown,7,casual
181,2023-06-01 13:29:53,2023-06-01 13:36:53,Central Park,Union Station,7,member
183,2023-06-01 13:43:24,2023-06-01 14:20:24,Riverside,Oak Avenue,37,casual
188,2023-06-01 13:45:28,2023-06-01 13:48:28,Market Square,Riverside,3,casual
177,2023-06-01 13:48:35,2023-06-01 14:02:35,Oak Avenue,University,14,member
173,2023-06-01 13:48:38,2023-06-01 13:56:38,Lakeside,Elm Street,8,member
187,2023-06-01 13:51:20,2023-06-01 14:26:20,Pine Road,Market Square,35,casual
172,2023-06-01 13:52:57,2023-06-01 14:19:57,City Hall,Union Station,27,member
178,2023-06-01 13:54:40,2023-06-01 14:07:40,Elm Street,Riverside,13,casual
182,2023-06-01 13:58:30,2023-06-01 14:05:30,Market Square,Oak Avenue,7,member
180,2023-06-01 13:58:35,2023-06-01 14:14:35,Harbor View,Union Station,16,member
196,2023-06-01 14:00:07,2023-06-01 14:03:07,Harbor View,Union Station,3,member
197,2023-06-01 14:01:48,2023-06-01 14:24:48,Market Square,Pine Road,23,casual
193,2023-06-01 14:01:57,2023-06-01 14:14:57,Downtown,Downtown,13,casual
201,2023-06-01 14:07:55,2023-06-01 14:18:55,Market Square,Oak Avenue,11,member
204,2023-06-01 14:08:16,2023-06-01 14:43:16,Midtown,Elm Street,35,casual
202,2023-06-01 14:10:35,2023-06-01 14:33:35,Pine Road,Pine Road,23,member
203,2023-06-01 14:11:04,2023-06-01 14:44:04,Oak Avenue,Central Park,33,casual
195,2023-06-01 14:11:53,2023-06-01 14:43:53,Lakeside,Lakeside,32,casual
199,2023-06-01 14:14:31,2023-06-01 14:39:31,Tech Campus,Union Station,25,member
205,2023-06-01 14:17:12,2023-06-01 14:27:12,Downtown,Pine Road,10,member
198,2023-06-01 14:22:12,2023-06-01 14:51:12,Market Square,Lakeside,29,casual
191,2023-06-01 14:26:35,2023-06-01 14:44:35,Midtown,Maple Drive,18,casual
189,2023-06-01 14:38:21,2023-06-01 15:02:21,Union Station,Midtown,24,casual
190,2023-06-01 14:41:59,2023-06-01 15:10:59,Midtown,Union Station,29,casual
194,2023-06-01 14:43:07,2023-06-01 14:49:07,Downtown,Oak Avenue,6,member
206,2023-06-01 14:44:43,2023-06-01 14:54:43,Elm Street,Midtown,10,member
192,2023-06-01 14:48:25,2023-06-01 14:51:25,Pine Road,Pine Road,3,member
200,2023-06-01 14:57:45,2023-06-01 15:13:45,Riverside,Downtown,16,member
213,2023-06-01 15:12:10,2023-06-01 15:28:10,Pine Road,City Hall,16,member
212,2023-06-01 15:14:44,2023-06-01 15:49:44,University,City Hall,35,casual
217,2023-06-01 15:15:04,2023-06-01 15:35:04,Lakeside,City Hall,20,member
219,2023-06-01 15:24:20,2023-06-01 15:53:20,Lakeside,Central Park,29,member
222,2023-06-01 15:25:06,2023-06-01 15:45:06,Oak Avenue,Lakeside,20,member
211,2023-06-01 15:25:12,2023-06-01 15:32:12,Lakeside,Union Station,7,casual
208,2023-06-01 15:26:17,2023-06-01 15:31:17,City Hall,Pine Road,5,member
221,2023-06-01 15:27:04,2023-06-01 15:47:04,Union Station,Market Square,20,casual
207,2023-06-01 15:27:41,2023-06-01 15:38:41,Downtown,Tech Campus,11,member
214,2023-06-01 15:27:51,2023-06-01 15:48:51,Union Station,Oak Avenue,21,casual
224,2023-06-01 15:27:56,2023-06-01 15:31:56,Oak Avenue,Oak Avenue,4,member
209,2023-06-01 15:31:23,2023-06-01 15:46:23,Maple Drive,Riverside,15,member
218,2023-06-01 15:37:07,2023-06-01 15:41:07,City Hall,Union Station,4,casual
225,2023-06-01 15:41:43,2023-06-01 16:01:43,Tech Campus,Oak Avenue,20,member
220,2023-06-01 15:51:28,2023-06-01 15:59:28,Union Station,Market Square,8,member
216,2023-06-01 15:53:03,2023-06-01 16:04:03,Downtown,Tech Campus,11,member
223,2023-06-01 15:55:38,2023-06-01 16:16:38,Harbor View,University,21,member
210,2023-06-01 15:58:26,2023-06-01 16:15:26,Elm Street,Harbor View,17,member
215,2023-06-01 15:59:21,2023-06-01 16:21:21,Harbor View,Riverside,22,casual
241,2023-06-01 16:00:23,2023-06-01 16:08:23,Union Station,City Hall,8,member
232,2023-06-01 16:00:33,2023-06-01 16:05:33,Union Station,Riverside,5,member
238,2023-06-01 16:02:31,2023-06-01 16:20:31,Riverside,Maple Drive,18,member
229,2023-06-01 16:03:08,2023-06-01 16:10:08,Market Square,Oak Avenue,7,member
226,2023-06-01 16:06:00,2023-06-01 16:20:00,Lakeside,Downtown,14,member
247,2023-06-01 16:07:21,2023-06-01 16:26:21,Midtown,Riverside,19,member
250,2023-06-01 16:09:56,2023-06-01 16:42:56,Riverside,Elm Street,33,member
237,2023-06-01 16:10:06,2023-06-01 16:15:06,Harbor View,Midtown,5,casual
245,2023-06-01 16:11:12,2023-06-01 16:18:12,Union Station,Central Park,7,casual
244,2023-06-01 16:11:14,2023-06-01 16:40:14,Tech Campus,Downtown,29,member
234,2023-06-01 16:12:12,2023-06-01 16:25:12,City Hall,Tech Campus,13,member
248,2023-06-01 16:15:23,2023-06-01 16:38:23,Elm Street,Lakeside,23,casual
252,2023-06-01 16:15:58,2023-06-01 16:46:58,Riverside,Downtown,31,member
236,2023-06-01 16:21:54,2023-06-01 16:24:54,Oak Avenue,Market Square,3,member
243,2023-06-01 16:23:02,2023-06-01 16:49:02,Union Station,Riverside,26,member
251,2023-06-01 16:23:20,2023-06-01 16:32:20,Oak Avenue,University,9,casual
228,2023-06-01 16:26:30,2023-06-01 16:42:30,Riverside,Central Park,16,casual
231,2023-06-01 16:30:19,2023-06-01 16:58:19,Oak Avenue,Tech Campus,28,member
235,2023-06-01 16:30:44,2023-06-01 16:42:44,Maple Drive,Harbor View,12,member
242,2023-06-01 16:35:07,2023-06-01 16:59:07,Pine Road,Oak Avenue,24,casual
227,2023-06-01 16:36:08,2023-06-01 16:51:08,Pine Road,Elm Street,15,member
239,2023-06-01 16:39:13,2023-06-01 16:57:13,Riverside,Harbor View,18,casual
230,2023-06-01 16:41:48,2023-06-01 16:50:48,Elm Street,Lakeside,9,member
253,2023-06-01 16:50:09,2023-06-01 17:11:09,Tech Campus,Riverside,21,member
254,2023-06-01 16:50:17,2023-06-01 17:21:17,Oak Avenue,Midtown,31,member
240,2023-06-01 16:52:21,2023-06-01 17:13:21,University,Central Park,21,casual
233,2023-06-01 16:53:35,2023-06-01 17:03:35,Downtown,Union Station,10,member
249,2023-06-01 16:56:27,2023-06-01 17:00:27,Midtown,Maple Drive,4,member
246,2023-06-01 16:58:06,2023-06-01 17:30:06,University,Pine Road,32,casual
277,2023-06-01 17:05:20,2023-06-01 17:28:20,Maple Drive,University,23,member
268,2023-06-01 17:06:07,2023-06-01 17:22:07,City Hall,Tech Campus,16,member
271,2023-06-01 17:08:54,2023-06-01 17:26:54,Midtown,Market Square,18,member
269,2023-06-01 17:12:21,2023-06-01 17:32:21,Market Square,Maple Drive,20,casual
260,2023-06-01 17:12:28,2023-06-01 17:23:28,Downtown,Riverside,11,member
272,2023-06-01 17:19:18,2023-06-01 17:22:18,Downtown,Tech Campus,3,casual
261,2023-06-01 17:19:27,2023-06-01 17:46:27,Midtown,Downtown,27,member
257,2023-06-01 17:23:31,2023-06-01 17:34:31,Maple Drive,Tech Campus,11,member
256,2023-06-01 17:24:48,2023-06-01 17:27:48,Midtown,Pine Road,3,casual
273,2023-06-01 17:25:25,2023-06-01 17:50:25,Union Station,Harbor View,25,casual
259,2023-06-01 17:25:40,2023-06-01 17:54:40,Union Station,Riverside,29,member
264,2023-06-01 17:27:28,2023-06-01 17:55:28,Harbor View,University,28,member
263,2023-06-01 17:28:33,2023-06-01 17:38:33,Harbor View,Elm Street,10,member
278,2023-06-01 17:28:54,2023-06-01 17:37:54,Elm Street,Union Station,9,member
276,2023-06-01 17:29:46,2023-06-01 17:54:46,Downtown,Harbor View,25,member
258,2023-06-01 17:30:45,2023-06-01 17:47:45,Harbor View,Harbor View,17,member
262,2023-06-01 17:35:05,2023-06-01 17:44:05,Central Park,Lakeside,9,member
279,2023-06-01 17:36:55,2023-06-01 18:10:55,Union Station,Harbor View,34,casual
266,2023-06-01 17:41:04,2023-06-01 18:07:04,Tech Campus,Midtown,26,member
270,2023-06-01 17:43:54,2023-06-01 18:09:54,Market Square,Riverside,26,casual
255,2023-06-01 17:46:05,2023-06-01 18:07:05,Oak Avenue,City Hall,21,member
275,2023-06-01 17:46:47,2023-06-01 18:05:47,Oak Avenue,Lakeside,19,member
274,2023-06-01 17:48:09,2023-06-01 17:51:09,Downtown,University,3,member
265,2023-06-01 17:51:31,2023-06-01 18:04:31,Central Park,Harbor View,13,member
280,2023-06-01 17:53:22,2023-06-01 18:28:22,Tech Campus,Riverside,35,member
267,2023-06-01 17:53:32,2023-06-01 17:56:32,Lakeside,Market Square,3,casual
282,2023-06-01 18:01:36,2023-06-01 18:23:36,Central Park,Tech Campus,22,member
289,2023-06-01 18:03:23,2023-06-01 18:28:23,Elm Street,Union Station,25,member
285,2023-06-01 18:06:21,2023-06-01 18:33:21,Oak Avenue,Harbor View,27,member
295,2023-06-01 18:09:28,2023-06-01 18:26:28,City Hall,Downtown,17,member
286,2023-06-01 18:19:05,2023-06-01 18:44:05,Central Park,Union Station,25,casual
284,2023-06-01 18:25:24,2023-06-01 18:45:24,Elm Street,University,20,member
293,2023-06-01 18:30:10,2023-06-01 18:52:10,Oak Avenue,Oak Avenue,22,casual
291,2023-06-01 18:30:47,2023-06-01 18:51:47,City Hall,University,21,casual
297,2023-06-01 18:36:02,2023-06-01 18:50:02,Maple Drive,City Hall,14,member
294,2023-06-01 18:37:12,2023-06-01 18:40:12,Market Square,Riverside,3,member
287,2023-06-01 18:38:31,2023-06-01 19:09:31,Union Station,Central Park,31,member
281,2023-06-01 18:49:44,2023-06-01 18:57:44,Elm Street,Market Square,8,member
296,2023-06-01 18:51:15,2023-06-01 18:54:15,Midtown,Harbor View,3,member
283,2023-06-01 18:51:38,2023-06-01 18:54:38,Midtown,Oak Avenue,3,member
292,2023-06-01 18:55:13,2023-06-01 19:17:13,University,Downtown,22,casual
290,2023-06-01 18:55:58,2023-06-01 19:08:58,City Hall,Central Park,13,member
298,2023-06-01 18:56:58,2023-06-01 18:59:58,Maple Drive,Lakeside,3,member
288,2023-06-01 18:58:24,2023-06-01 19:14:24,Pine Road,Elm Street,16,member
310,2023-06-01 19:04:05,2023-06-01 19:17:05,Elm Street,Pine Road,13,member
307,2023-06-01 19:04:40,2023-06-01 19:16:40,University,Tech Campus,12,casual
326,2023-06-01 19:04:42,2023-06-01 19:27:42,Downtown,Market Square,23,member
305,2023-06-01 19:04:48,2023-06-01 19:35:48,Tech Campus,University,31,member
336,2023-06-01 19:05:03,2023-06-01 19:28:03,Central Park,Tech Campus,23,member
317,2023-06-01 19:06:24,2023-06-01 19:20:24,Oak Avenue,Union Station,14,member
328,2023-06-01 19:06:45,2023-06-01 19:26:45,Elm Street,Lakeside,20,casual
324,2023-06-01 19:07:14,2023-06-01 19:31:14,Riverside,City Hall,24,member
309,2023-06-01 19:07:45,2023-06-01 19:32:45,Maple Drive,Harbor View,25,member
302,2023-06-01 19:10:17,2023-06-01 19:23:17,Midtown,Pine Road,13,member
325,2023-06-01 19:11:00,2023-06-01 19:21:00,University,Riverside,10,member
301,2023-06-01 19:11:44,2023-06-01 19:19:44,Union Station,Riverside,8,casual
337,2023-06-01 19:12:09,2023-06-01 19:19:09,Riverside,Midtown,7,casual
320,2023-06-01 19:12:43,2023-06-01 19:31:43,Pine Road,City Hall,19,member
342,2023-06-01 19:15:51,2023-06-01 19:45:51,Pine Road,Maple Drive,30,casual
306,2023-06-01 19:16:13,2023-06-01 19:44:13,Elm Street,Union Station,28,member
340,2023-06-01 19:18:48,2023-06-01 19:33:48,Union Station,Riverside,15,casual
339,2023-06-01 19:20:41,2023-06-01 19:38:41,Lakeside,University,18,member
341,2023-06-01 19:21:21,2023-06-01 19:39:21,Midtown,Midtown,18,casual
327,2023-06-01 19:23:02,2023-06-01 19:47:02,Market Square,Lakeside,24,member
318,2023-06-01 19:24:49,2023-06-01 19:31:49,Riverside,Midtown,7,member
322,2023-06-01 19:26:32,2023-06-01 19:29:32,City Hall,Downtown,3,member
304,2023-06-01 19:26:48,2023-06-01 19:50:48,Elm Street,City Hall,24,casual
