Date,Open,High,Low,Close,Adj Close,Volume
2019-02-22,134.79,135.64,133.34,134.27,131.58,8635366
2019-02-25,133.47,134.28,130.94,131.62,128.99,12332920
2019-02-26,131.12,131.50,125.72,126.62,124.09,33311997
2019-02-27,127.37,127.67,125.75,127.52,124.97,41931706
2019-02-28,126.72,130.81,125.64,129.51,126.92,5990382
2019-03-01,130.21,134.23,129.24,133.90,131.22,19344338
2019-03-04,134.63,136.43,132.72,133.05,130.39,5144644
2019-03-05,133.62,135.56,132.77,134.65,131.96,42296980
2019-03-06,134.97,135.94,134.16,134.54,131.85,19609659
2019-03-07,134.62,138.68,134.51,137.18,134.44,44203494
2019-03-08,137.13,138.97,135.63,136.69,133.96,8817123
2019-03-11,136.06,138.73,134.71,137.54,134.79,20784266
2019-03-12,137.35,139.26,136.21,137.38,134.63,43850600
2019-03-13,137.22,138.39,134.00,135.05,132.35,22499689
2019-03-14,134.46,135.89,133.03,133.51,130.84,31560738
2019-03-15,133.42,137.37,131.55,135.51,132.80,5625149
2019-03-18,135.43,139.70,133.44,137.70,134.95,9916443
2019-03-19,136.96,137.66,135.22,135.36,132.65,21393649
2019-03-20,135.10,135.42,133.17,134.84,132.14,25301581
2019-03-21,135.15,135.17,128.69,130.32,127.71,25090967
2019-03-22,131.18,131.39,124.87,126.63,124.10,22748007
2019-03-25,126.74,127.88,125.53,127.34,124.79,28010306
2019-03-26,126.75,129.25,126.22,127.98,125.42,37784817
2019-03-27,127.08,129.26,125.42,127.99,125.43,7958612
2019-03-28,127.00,133.76,125.73,132.22,129.58,22579520
2019-03-29,132.63,134.51,132.41,133.39,130.72,15002863
2019-04-01,133.48,136.94,132.31,135.27,132.56,14938405
2019-04-02,135.00,136.87,132.83,134.77,132.07,7677299
2019-04-03,135.57,135.99,134.56,135.06,132.36,11898363
2019-04-04,135.81,137.76,132.03,133.53,130.86,20887173
2019-04-05,134.26,137.56,132.64,135.61,132.90,32668609
2019-04-08,135.27,140.79,133.67,138.93,136.15,21654221
2019-04-09,138.46,141.07,138.24,139.50,136.71,7598764
2019-04-10,140.13,141.40,139.52,140.48,137.67,20273674
2019-04-11,139.93,141.25,138.56,139.36,136.57,23696734
2019-04-12,138.92,144.27,138.12,142.99,140.13,40984828
2019-04-15,142.65,142.71,137.07,138.82,136.04,22529855
2019-04-16,138.35,141.40,137.48,141.18,138.36,26050528
2019-04-17,141.05,148.08,140.82,146.11,143.19,43694168
2019-04-18,145.98,147.44,144.37,146.40,143.47,18222803
2019-04-19,146.13,147.20,144.80,147.06,144.12,27159349
2019-04-22,146.31,148.11,143.77,144.78,141.88,49754425
2019-04-23,144.60,145.40,141.99,142.58,139.73,13542139
2019-04-24,142.34,145.25,141.99,143.75,140.88,43192007
2019-04-25,143.35,147.87,143.35,146.77,143.83,24254453
2019-04-26,146.98,148.41,146.10,147.77,144.81,19341258
2019-04-29,147.79,153.17,145.87,151.58,148.55,16387796
2019-04-30,151.91,153.15,150.43,150.62,147.61,20761764
2019-05-01,150.97,151.42,148.71,149.11,146.13,6639160
2019-05-02,149.33,156.85,148.42,155.31,152.20,47262839
2019-05-03,155.46,158.71,154.69,157.27,154.12,31820249
2019-05-06,156.28,158.95,154.74,157.45,154.30,12152952
2019-05-07,158.01,161.39,156.40,160.95,157.73,39759556
2019-05-08,161.78,162.02,157.72,157.99,154.83,36181679
2019-05-09,158.33,160.69,157.14,158.71,155.54,34700599
2019-05-10,158.72,160.38,154.77,155.87,152.75,15680906
2019-05-13,156.36,157.31,152.97,153.49,150.42,21591977
2019-05-14,154.05,155.50,153.57,154.53,151.44,34519350
2019-05-15,153.68,154.25,152.46,153.00,149.94,26455345
2019-05-16,152.30,154.55,151.99,153.78,150.70,19358134
2019-05-17,152.91,154.06,151.82,153.24,150.18,32902136
2019-05-20,153.02,158.85,151.13,157.31,154.16,6310767
2019-05-21,158.02,160.59,157.26,159.06,155.88,5395679
2019-05-22,158.84,162.77,157.17,160.99,157.77,41119370
2019-05-23,161.49,162.58,159.11,160.32,157.11,19800101
2019-05-24,160.29,161.07,157.11,158.45,155.28,32133232
2019-05-27,158.90,160.58,156.80,158.64,155.47,46758957
2019-05-28,158.82,160.15,153.45,153.62,150.55,33763716
2019-05-29,152.89,153.81,152.50,152.60,149.55,30441229
2019-05-30,152.28,154.04,150.91,151.47,148.44,33290736
2019-05-31,150.97,153.89,150.93,153.73,150.66,41199799
2019-06-03,153.18,159.30,151.27,159.16,155.98,7701677
2019-06-04,159.67,163.00,159.27,161.10,157.88,6367679
2019-06-05,161.05,161.28,157.96,159.86,156.66,36207902
2019-06-06,160.26,161.79,158.35,158.69,155.52,45751689
2019-06-07,159.25,162.76,158.63,162.43,159.18,43834875
2019-06-10,161.48,162.22,160.13,161.60,158.37,30186423
2019-06-11,160.75,162.13,157.34,158.59,155.42,11838480
2019-06-12,158.98,161.52,157.61,160.92,157.70,13123867
2019-06-13,160.00,162.93,158.68,161.86,158.62,9627608
2019-06-14,161.87,162.55,157.20,158.90,155.72,37896879
2019-06-17,159.17,165.39,157.76,163.73,160.46,34225047
2019-06-18,163.08,168.67,161.78,167.63,164.28,46333178
2019-06-19,167.60,169.67,166.14,168.80,165.42,23011719
2019-06-20,168.44,168.93,164.04,165.91,162.59,23718557
2019-06-21,165.84,168.55,165.08,167.33,163.98,6926024
2019-06-24,167.32,167.97,165.13,166.11,162.79,28811900
2019-06-25,166.87,168.27,166.28,166.83,163.49,5681229
2019-06-26,166.86,167.24,164.22,164.70,161.41,32274929
2019-06-27,165.08,166.37,159.62,160.60,157.39,6157175
2019-06-28,159.79,161.38,158.41,160.94,157.72,25549138
2019-07-01,161.05,161.74,157.81,159.80,156.60,41935945
2019-07-02,159.46,160.87,157.34,157.88,154.72,21871415
2019-07-03,157.51,159.88,155.61,158.39,155.22,17425195
2019-07-04,157.77,163.69,157.22,162.21,158.97,44566507
2019-07-05,161.78,165.39,161.39,165.19,161.89,20266136
2019-07-08,164.91,165.51,163.38,164.80,161.50,13494838
2019-07-09,164.91,166.30,163.58,163.83,160.55,37942311
2019-07-10,163.04,170.47,162.47,170.45,167.04,37125966
2019-07-11,169.55,171.43,168.02,168.98,165.60,9385123
2019-07-12,168.78,169.77,167.52,169.62,166.23,8597644
2019-07-15,170.52,172.53,170.02,172.36,168.91,42451647
2019-07-16,172.89,177.47,171.31,176.26,172.73,20145607
2019-07-17,177.08,177.67,175.55,176.73,173.20,33778283
2019-07-18,176.34,177.58,173.00,174.22,170.74,11659452
2019-07-19,173.64,177.28,173.33,175.96,172.44,16664429
2019-07-22,176.06,176.37,174.61,175.43,171.92,44849994
2019-07-23,175.01,175.58,173.10,174.82,171.32,9776792
2019-07-24,175.19,177.04,173.42,175.00,171.50,46946932
2019-07-25,174.40,174.63,170.60,171.05,167.63,14998509
2019-07-26,171.87,173.52,168.48,168.62,165.25,16134889
2019-07-29,169.27,171.41,168.39,169.57,166.18,36453788
2019-07-30,169.95,171.35,164.43,166.32,162.99,38586119
2019-07-31,166.52,168.30,162.31,163.78,160.50,45514536
2019-08-01,163.28,163.46,161.25,163.17,159.91,43600958
2019-08-02,163.70,165.34,161.64,162.79,159.53,16756850
2019-08-05,162.73,164.03,160.75,162.58,159.33,17179530
2019-08-06,163.21,167.18,162.27,165.24,161.94,32403776
2019-08-07,164.91,166.58,163.19,165.24,161.94,27132749
2019-08-08,165.57,166.37,161.31,162.83,159.57,7462702
2019-08-09,162.74,165.01,162.09,164.38,161.09,32123728
2019-08-12,163.38,169.21,162.46,167.47,164.12,8637574
2019-08-13,166.85,167.57,162.49,164.00,160.72,46970470
2019-08-14,163.53,163.79,162.72,163.30,160.03,37528458
2019-08-15,162.54,165.58,161.32,163.63,160.36,21058980
2019-08-16,162.66,163.97,162.21,163.15,159.89,12614246
2019-08-19,163.07,163.30,159.49,161.15,157.93,38445413
2019-08-20,161.56,163.86,160.60,163.03,159.77,36690133
2019-08-21,162.52,163.62,161.47,162.24,159.00,45223549
2019-08-22,162.97,163.52,155.71,157.29,154.14,32846314
2019-08-23,156.97,158.67,156.44,157.09,153.95,5172151
2019-08-26,157.26,159.26,155.75,156.73,153.60,14972069
2019-08-27,156.62,159.68,155.96,158.71,155.54,41468974
2019-08-28,159.45,161.41,154.31,154.79,151.69,30700738
2019-08-29,154.26,160.15,154.17,158.60,155.43,36740898
2019-08-30,158.37,159.70,155.80,157.44,154.29,15207615
2019-09-02,157.43,157.50,152.34,153.34,150.27,44606338
2019-09-03,154.03,154.23,151.04,152.86,149.80,6029959
2019-09-04,153.30,154.64,151.99,153.82,150.74,15359006
2019-09-05,153.35,158.70,152.56,157.45,154.30,10389869
2019-09-06,158.15,161.06,156.43,159.36,156.17,30501998
2019-09-09,160.13,163.61,159.05,162.63,159.38,46437003
2019-09-10,161.77,163.03,159.87,161.71,158.48,20266345
2019-09-11,160.91,162.98,159.16,161.71,158.48,34774763
2019-09-12,161.04,161.64,159.11,159.17,155.99,26768415
2019-09-13,158.92,160.08,157.86,159.79,156.59,42978789
2019-09-16,160.15,160.51,157.57,157.92,154.76,45902301
2019-09-17,157.40,162.06,157.11,160.23,157.03,35947246
2019-09-18,160.51,161.43,156.52,157.85,154.69,36222617
2019-09-19,157.17,161.68,156.48,160.80,157.58,44431269
2019-09-20,160.40,162.32,157.36,158.74,155.57,35657732
2019-09-23,158.51,160.65,158.04,159.68,156.49,43381082
2019-09-24,159.40,159.99,157.01,158.41,155.24,6472341
2019-09-25,157.96,163.04,156.59,161.91,158.67,8291303
2019-09-26,162.73,164.22,159.80,161.47,158.24,24206164
2019-09-27,162.07,162.51,161.42,161.80,158.56,21819279
2019-09-30,162.16,163.60,158.80,160.12,156.92,14179099
2019-10-01,160.41,161.03,155.69,156.57,153.44,43894539
2019-10-02,156.30,156.56,151.13,152.95,149.89,26925749
2019-10-03,152.21,154.05,150.27,152.97,149.91,40624899
2019-10-04,152.97,153.52,151.26,151.59,148.56,37336260
2019-10-07,152.33,155.11,151.39,153.50,150.43,10053254
2019-10-08,152.78,155.08,151.06,153.15,150.09,31669833
2019-10-09,152.88,158.84,152.85,157.26,154.11,41008758
2019-10-10,156.51,157.25,154.94,156.44,153.31,22593354
2019-10-11,157.32,157.54,152.26,152.73,149.68,6679375
2019-10-14,152.97,154.86,149.96,150.62,147.61,45941923
2019-10-15,151.27,153.09,150.21,150.81,147.79,32400271
2019-10-16,150.04,151.75,149.97,151.66,148.63,38059478
2019-10-17,151.74,153.73,151.00,152.95,149.89,41251704
2019-10-18,152.79,155.59,152.48,154.11,151.03,32842429
2019-10-21,154.34,156.22,151.13,151.69,148.66,29865844
2019-10-22,151.12,152.01,147.70,148.17,145.21,29339448
2019-10-23,148.26,152.92,147.54,150.96,147.94,31718699
2019-10-24,150.51,154.96,148.61,153.02,149.96,35515566
2019-10-25,153.30,156.34,153.20,154.40,151.31,27381420
2019-10-28,153.89,155.57,152.76,155.32,152.21,9604349
2019-10-29,155.49,158.42,155.02,156.79,153.65,14902193
2019-10-30,157.37,158.56,153.67,154.22,151.14,14709845
2019-10-31,154.82,157.36,153.09,157.14,154.00,13845165
2019-11-01,156.17,158.54,155.69,156.96,153.82,26727935
2019-11-04,156.21,159.69,155.98,158.85,155.67,9265307
2019-11-05,158.80,160.64,157.77,159.08,155.90,12318490
2019-11-06,159.31,160.76,155.70,157.52,154.37,49218236
2019-11-07,157.56,158.98,155.63,158.06,154.90,9081923
2019-11-08,157.91,162.92,156.49,162.70,159.45,34766964
2019-11-11,161.85,162.87,160.63,162.71,159.46,9407860
2019-11-12,162.88,166.58,162.12,165.16,161.86,45090288
2019-11-13,165.22,168.59,164.01,167.68,164.33,11655753
2019-11-14,167.99,169.82,166.89,168.06,164.70,19429953
2019-11-15,167.92,169.70,166.08,166.91,163.57,35433796
2019-11-18,166.54,167.17,163.19,163.70,160.43,15243424
2019-11-19,164.07,167.06,163.89,166.11,162.79,10728705
2019-11-20,166.59,168.72,165.48,167.10,163.76,44357005
2019-11-21,168.01,169.13,166.43,167.77,164.41,32568900
2019-11-22,168.27,170.01,164.12,165.56,162.25,24302482
2019-11-25,165.76,169.23,164.60,168.53,165.16,19276659
2019-11-26,169.22,170.91,168.11,170.21,166.81,12709822
2019-11-27,170.74,173.83,169.13,172.68,169.23,42645770
2019-11-28,172.91,178.75,172.86,177.46,173.91,49146306
2019-11-29,178.12,178.65,176.37,176.73,173.20,25735611
2019-12-02,176.09,179.24,174.78,178.95,175.37,9669798
2019-12-03,178.23,179.50,177.76,177.82,174.26,40600090
2019-12-04,177.50,179.22,176.06,178.48,174.91,43090558
2019-12-05,178.67,183.03,178.36,181.26,177.63,46462418
2019-12-06,181.15,183.23,179.94,182.38,178.73,32795400
2019-12-09,181.93,184.29,181.70,182.78,179.12,33851015
2019-12-10,182.97,187.05,182.35,186.00,182.28,19798741
2019-12-11,185.79,189.95,185.77,188.75,184.97,25227910
2019-12-12,189.28,193.94,189.04,193.36,189.49,38378964
2019-12-13,193.85,194.20,190.99,191.75,187.91,20442468
2019-12-16,192.36,192.50,184.64,186.36,182.63,7838856
2019-12-17,186.23,187.33,186.07,186.41,182.68,26009143
2019-12-18,186.83,187.67,182.99,183.22,179.56,6399659
2019-12-19,184.15,184.49,179.73,181.63,178.00,35876580
2019-12-20,180.81,186.39,180.32,184.70,181.01,44518483
2019-12-23,184.50,184.66,177.60,179.34,175.75,27784350
2019-12-24,178.49,181.49,177.43,180.22,176.62,18012657
2019-12-25,181.03,185.60,179.58,184.90,181.20,48314944
2019-12-26,184.19,186.15,182.99,185.76,182.04,48990465
2019-12-27,184.91,186.81,182.68,183.94,180.26,36135363
2019-12-30,183.84,185.98,182.71,184.13,180.45,47634148
2019-12-31,185.10,185.75,177.58,179.52,175.93,26215722
2020-01-01,179.40,180.77,178.85,180.16,176.56,8769647
2020-01-02,179.86,181.19,178.94,181.04,177.42,7523779
2020-01-03,180.19,187.63,178.48,185.90,182.18,46272514
2020-01-06,186.09,188.57,184.93,187.80,184.04,7752987
2020-01-07,188.10,188.74,182.03,182.98,179.32,15124115
2020-01-08,183.90,185.49,182.28,184.59,180.90,28047718
2020-01-09,184.88,185.88,183.46,185.80,182.08,34489097
2020-01-10,185.85,187.07,185.00,185.73,182.02,23984666
2020-01-13,186.09,186.19,180.87,182.13,178.49,27457937
2020-01-14,181.26,185.44,179.90,185.25,181.54,24068780
2020-01-15,186.18,187.39,184.94,185.24,181.54,10469505
2020-01-16,185.41,191.00,184.71,190.72,186.91,49027086
2020-01-17,190.91,192.79,189.25,189.87,186.07,30278520
2020-01-20,190.16,190.82,186.97,187.23,183.49,40325659
2020-01-21,187.25,190.81,186.63,190.77,186.95,19374226
2020-01-22,190.45,194.72,190.07,193.19,189.33,14231854
2020-01-23,193.77,195.63,192.69,194.61,190.72,40334939
2020-01-24,193.69,197.36,192.16,196.69,192.76,13794552
2020-01-27,196.05,197.44,194.10,195.35,191.44,16109145
2020-01-28,195.79,195.88,193.71,194.44,190.55,20940381
2020-01-29,194.94,200.00,194.47,198.43,194.46,21050326
2020-01-30,198.05,199.67,196.77,197.71,193.76,18020205
2020-01-31,198.68,199.60,192.36,192.92,189.06,30627025
2020-02-03,192.93,199.00,192.61,198.16,194.20,18401487
2020-02-04,197.66,200.01,195.91,198.73,194.76,42214599
2020-02-05,199.60,201.02,196.22,197.25,193.31,13366983
2020-02-06,196.80,198.61,195.92,196.21,192.29,34358286
2020-02-07,195.39,202.96,193.76,201.14,197.12,28460257
2020-02-10,200.93,204.78,200.16,204.03,199.95,10476448
2020-02-11,203.78,203.84,200.89,202.75,198.69,48618123
2020-02-12,201.83,203.77,200.89,201.94,197.90,14314219
2020-02-13,202.46,204.40,201.23,203.46,199.39,10316751
2020-02-14,202.76,207.51,201.54,205.63,201.52,33404146
2020-02-17,204.85,206.53,204.25,205.95,201.83,8204411
2020-02-18,206.20,206.46,204.53,206.33,202.20,38542971
2020-02-19,206.52,210.83,205.49,210.80,206.58,21236193
2020-02-20,209.80,211.06,208.66,210.35,206.14,17570423
2020-02-21,210.68,210.85,205.90,207.85,203.69,9541882
2020-02-24,208.42,212.67,208.38,211.65,207.42,36550231
2020-02-25,210.74,211.51,209.82,210.57,206.36,6089997
2020-02-26,210.05,211.36,209.69,209.90,205.70,44050870
2020-02-27,210.37,211.55,210.28,210.88,206.66,41642362
2020-02-28,211.54,212.91,206.59,208.55,204.38,37113683
2020-03-02,208.81,214.04,208.68,212.42,208.17,35714356
2020-03-03,213.00,216.33,212.37,214.56,210.27,25808840
2020-03-04,214.59,217.10,213.50,215.12,210.82,21999599
2020-03-05,214.69,221.44,214.59,219.72,215.33,49005387
2020-03-06,219.38,221.12,218.64,220.87,216.45,31845006
2020-03-09,220.64,222.59,219.65,220.64,216.23,38388229
2020-03-10,220.37,221.96,213.16,213.69,209.42,10543964
2020-03-11,213.89,215.53,212.48,213.57,209.30,26556134
2020-03-12,212.78,213.44,211.76,212.35,208.10,34924900
2020-03-13,212.73,213.43,209.65,209.73,205.54,28659854
2020-03-16,209.96,210.83,206.52,207.80,203.64,8849234
2020-03-17,207.53,213.42,206.17,211.82,207.58,7089811
2020-03-18,211.11,215.16,209.55,213.94,209.66,7335319
2020-03-19,214.23,216.38,212.33,215.66,211.35,7173342
2020-03-20,215.87,218.78,213.97,217.42,213.07,29965395
2020-03-23,216.70,217.43,215.63,216.26,211.93,23702553
2020-03-24,215.76,217.00,214.29,216.77,212.43,38490273
2020-03-25,216.01,217.56,208.27,209.68,205.49,19399577
2020-03-26,210.67,211.24,207.14,208.97,204.79,37963887
2020-03-27,208.12,209.90,206.69,209.55,205.36,10891536
2020-03-30,210.17,213.17,208.20,211.23,207.01,49817969
2020-03-31,211.31,213.09,208.93,210.63,206.42,47795324
2020-04-01,209.98,212.36,209.53,211.64,207.41,18487564
2020-04-02,211.63,213.03,210.49,212.31,208.06,36367074
2020-04-03,212.92,214.02,208.89,210.11,205.91,10785823
2020-04-06,210.54,214.04,209.72,213.08,208.82,32476618
2020-04-07,213.73,214.59,211.79,214.44,210.15,48106613
2020-04-08,214.47,217.98,212.81,217.72,213.37,41997347
2020-04-09,218.00,219.79,216.07,219.43,215.04,34032521
2020-04-10,220.09,221.13,212.26,212.87,208.61,15869418
2020-04-13,212.52,214.24,211.83,212.82,208.56,39822641
2020-04-14,212.32,219.03,211.22,217.76,213.40,13400036
2020-04-15,218.01,219.24,213.76,213.95,209.67,48015938
2020-04-16,213.26,219.08,211.82,217.76,213.40,45610184
2020-04-17,217.44,226.47,217.36,224.62,220.13,6904112
2020-04-20,225.16,232.38,224.74,231.85,227.21,43395477
2020-04-21,231.68,237.34,230.68,236.06,231.34,47088264
2020-04-22,235.66,236.15,229.65,231.26,226.63,32252408
2020-04-23,230.85,231.00,229.81,229.93,225.33,34501425
2020-04-24,229.61,229.90,224.95,226.67,222.14,26428960
2020-04-27,227.14,230.38,225.19,228.66,224.09,13775567
2020-04-28,227.87,229.48,227.62,229.00,224.42,35171877
2020-04-29,228.50,228.69,224.37,224.95,220.45,30779858
2020-04-30,225.88,229.13,224.25,227.33,222.78,43767920
2020-05-01,227.77,228.15,224.40,224.72,220.23,39542599
2020-05-04,224.71,224.89,217.22,218.01,213.65,35684228
2020-05-05,218.94,219.90,218.23,219.47,215.08,8391709
2020-05-06,220.16,221.51,218.10,218.67,214.30,5548776
2020-05-07,219.36,223.94,217.60,223.08,218.62,29546921
2020-05-08,222.88,224.56,222.49,223.42,218.95,42126162
2020-05-11,223.00,223.77,219.40,220.30,215.89,41900284
2020-05-12,220.66,220.90,216.57,218.52,214.15,31434430
2020-05-13,218.27,230.24,217.15,228.27,223.70,29535428
2020-05-14,228.29,229.41,228.20,228.41,223.84,14196355
2020-05-15,228.84,230.45,225.16,226.20,221.68,14995238
2020-05-18,225.86,227.09,222.73,223.06,218.60,46372647
2020-05-19,223.54,224.14,219.96,220.63,216.22,39206334
2020-05-20,220.23,221.86,214.87,215.61,211.30,12355439
2020-05-21,216.57,217.74,213.06,214.65,210.36,47228956
2020-05-22,215.58,219.89,214.03,218.32,213.95,43764388
2020-05-25,217.78,219.10,216.82,219.00,214.62,40180636
2020-05-26,219.68,219.98,214.56,215.92,211.60,7118661
2020-05-27,216.07,217.47,212.34,212.72,208.47,34597597
2020-05-28,213.10,213.92,210.52,212.07,207.83,36648906
2020-05-29,212.82,215.28,212.70,213.81,209.53,14266558
2020-06-01,214.81,215.77,209.04,209.79,205.59,16622075
2020-06-02,209.71,210.78,208.29,209.38,205.19,48171742
2020-06-03,209.35,212.17,208.79,210.26,206.05,25031939
2020-06-04,209.71,211.66,207.39,207.99,203.83,24394739
2020-06-05,207.97,208.93,205.60,206.72,202.59,23351424
2020-06-08,206.30,207.45,201.13,202.22,198.18,31476624
2020-06-09,202.83,206.00,202.25,205.42,201.31,10303575
2020-06-10,205.11,205.99,198.01,198.52,194.55,37150465
2020-06-11,198.06,200.95,197.52,199.83,195.83,12330071
2020-06-12,200.06,206.54,199.58,205.37,201.26,49951796
2020-06-15,204.84,207.46,204.18,207.26,203.11,36702489
2020-06-16,206.46,208.00,206.06,206.07,201.95,41933535
2020-06-17,206.38,209.69,205.43,207.93,203.77,48656912
2020-06-18,207.33,209.67,206.69,207.74,203.59,48345475
2020-06-19,208.04,213.23,206.56,212.77,208.51,7503042
2020-06-22,213.60,215.17,211.84,214.82,210.52,16796980
2020-06-23,215.49,217.27,215.12,215.69,211.38,24425799
2020-06-24,216.44,216.46,214.26,215.40,211.09,12200827
2020-06-25,215.31,219.37,214.26,218.09,213.73,14006005
2020-06-26,218.79,219.73,216.48,216.87,212.53,12559596
2020-06-29,217.17,218.61,214.35,214.38,210.09,27623215
2020-06-30,214.96,220.14,213.45,219.00,214.62,16777264
2020-07-01,218.81,219.67,214.81,215.47,211.16,31899463
2020-07-02,215.81,216.18,212.29,212.57,208.32,26716540
2020-07-03,212.34,213.87,211.81,212.98,208.72,27120779
2020-07-06,212.58,214.35,212.56,212.90,208.64,48867948
2020-07-07,213.24,214.17,211.15,211.47,207.24,38723577
2020-07-08,212.32,215.11,210.78,213.33,209.06,12879637
2020-07-09,213.07,213.51,206.59,208.50,204.33,37090244
2020-07-10,207.81,209.31,201.66,202.87,198.81,32906926
2020-07-13,203.38,204.98,199.28,200.93,196.91,21607123
2020-07-14,201.29,202.48,193.06,194.63,190.74,40266154
2020-07-15,193.79,194.92,190.27,190.39,186.58,41752118
2020-07-16,191.20,192.31,190.13,191.91,188.07,16041901
2020-07-17,191.14,191.55,189.15,190.32,186.51,11102990
2020-07-20,191.12,194.32,191.01,193.43,189.56,13854634
2020-07-21,192.55,193.47,188.68,190.29,186.48,6460990
2020-07-22,190.08,191.71,188.59,190.08,186.28,43809812
2020-07-23,190.48,193.90,190.36,192.82,188.96,9631796
2020-07-24,193.79,195.16,193.22,194.22,190.34,17078342
2020-07-27,195.18,196.47,194.03,194.87,190.97,30667772
2020-07-28,194.77,196.60,189.23,189.98,186.18,10385485
2020-07-29,190.06,191.37,187.62,188.32,184.55,16977162
2020-07-30,189.31,190.10,184.33,184.58,180.89,19944487
2020-07-31,185.54,187.93,184.10,187.00,183.26,33462750
2020-08-03,187.06,188.71,182.50,183.00,179.34,28230386
2020-08-04,183.75,185.58,183.69,184.05,180.37,49305116
2020-08-05,183.89,187.11,182.12,185.58,181.87,6049971
2020-08-06,185.77,186.66,184.36,185.70,181.99,8266612
2020-08-07,185.19,186.88,184.31,186.79,183.05,41222667
2020-08-10,185.90,189.00,185.32,187.99,184.23,43662110
2020-08-11,187.63,194.76,186.28,193.56,189.69,26519471
2020-08-12,194.53,195.57,193.28,194.11,190.23,23465267
2020-08-13,193.23,202.00,191.47,200.10,196.10,16752989
2020-08-14,200.09,202.03,196.05,197.93,193.97,30578854
2020-08-17,198.50,199.14,194.93,195.76,191.84,15013824
2020-08-18,195.84,196.32,194.79,195.24,191.34,14687281
2020-08-19,195.85,198.90,194.73,197.07,193.13,32951369
2020-08-20,196.56,196.97,194.35,195.64,191.73,35184682
2020-08-21,196.33,196.51,193.69,195.14,191.24,17783005
2020-08-24,195.35,197.98,195.20,197.90,193.94,44432073
2020-08-25,198.35,200.00,197.39,198.88,194.90,27344856
2020-08-26,198.30,198.68,195.32,196.80,192.86,37139835
2020-08-27,197.63,204.35,196.22,202.96,198.90,31617526
2020-08-28,203.51,207.10,202.44,206.34,202.21,29109500
2020-08-31,205.96,206.68,202.64,204.41,200.32,36273003
2020-09-01,204.35,213.19,202.52,211.51,207.28,29877586
2020-09-02,211.14,216.86,209.41,216.77,212.43,14792707
2020-09-03,216.94,222.38,216.35,220.94,216.52,18166207
2020-09-04,220.60,222.19,218.93,221.43,217.00,38507555
2020-09-07,221.11,222.64,212.95,213.93,209.65,48063385
2020-09-08,214.41,215.33,210.12,211.59,207.36,28634142
2020-09-09,211.57,215.94,210.49,214.11,209.83,48071103
2020-09-10,215.02,219.71,213.34,218.66,214.29,9988229
2020-09-11,219.19,224.13,217.50,223.31,218.84,20531232
2020-09-14,222.45,222.75,221.26,221.70,217.27,35602290
2020-09-15,222.03,223.26,217.57,218.54,214.17,37739353
2020-09-16,217.57,222.92,216.75,221.86,217.42,6122472
2020-09-17,222.81,222.84,217.67,219.30,214.91,33895278
2020-09-18,219.91,221.73,218.67,218.88,214.50,11463515
2020-09-21,219.12,219.62,215.83,216.54,212.21,31635268
2020-09-22,215.70,218.16,214.78,216.24,211.92,21321405
