id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8967,Charming Room in Williamsburg,23026,Jill,Brooklyn,Williamsburg,40.71533,-73.95595,Private room,60,29,45,2019-05-21,0.56,1,6
9744,Spacious Cozy Room,25232,Taz,Queens,Astoria,40.76404,-73.92295,Private room,55,1,12,2019-05-05,0.86,2,129
11528,Sunny Room in Spacious Apartment,30283,Jack,Brooklyn,Williamsburg,40.71344,-73.95976,Private room,70,3,270,2019-06-23,4.64,1,152
12002,Charming Light Spacious Room,31482,Claudio,Manhattan,Harlem,40.80902,-73.94190,Private room,60,1,49,2019-05-12,0.82,1,188
12048,Spacious Sunny Room in Williamsburg,31626,Kate,Brooklyn,Williamsburg,40.71533,-73.95595,Private room,79,2,430,2019-06-24,3.58,1,220
12422,Charming Room in Bushwick,33517,Lena,Brooklyn,Bushwick,40.70184,-73.93317,Private room,50,4,118,2019-06-09,1.97,2,188
12749,Bright Spacious Private Room,34560,Ben,Queens,Astoria,40.76404,-73.92295,Private room,65,1,160,2019-06-22,2.67,1,6
13044,Cozy Room in Williamsburg,35254,Laura,Brooklyn,Williamsburg,40.71344,-73.95976,Private room,89,1,53,2019-05-21,0.88,1,39
13682,Spacious Room in Bushwick,36455,Chris,Brooklyn,Bushwick,40.70184,-73.93317,Private room,45,7,188,2019-06-23,3.13,2,149
14537,Charming Bright Room,38273,Garon,Manhattan,East Village,40.72705,-73.98456,Private room,100,2,23,2019-01-02,0.38,1,301
14749,Sunny Spacious Room,39017,Shunichi,Brooklyn,Williamsburg,40.71533,-73.95595,Private room,75,1,7,2018-12-16,0.58,1,275
15270,Cozy Private Room,40123,MaryEllen,Queens,Long Island City,40.74767,-73.94097,Private room,70,3,47,2017-04-21,0.39,1,0
16098,Bright Room in Bushwick,42195,Liz,Brooklyn,Bushwick,40.70184,-73.93317,Private room,55,1,1,2016-02-14,0.02,2,152
16218,Spacious Sunny Room,43267,Erin,Manhattan,Upper West Side,40.80178,-73.96723,Private room,95,2,270,2019-05-25,4.5,1,0
16559,Charming Room Near Central Park,44521,Marisol,Manhattan,Upper West Side,40.79502,-73.96485,Private room,110,14,118,2018-10-05,1.97,1,188
16616,Cozy Room in East Village,45678,Laurie,Manhattan,East Village,40.72705,-73.98456,Private room,85,4,65,2017-05-06,1.08,1,289
17159,Bright Spacious Room,46789,Rebecca,Brooklyn,Park Slope,40.66827,-73.98492,Private room,80,2,23,2019-04-24,0.48,1,0
