DBN,School Name,Borough,Total Enrollment,White Pct,Black Pct,Hispanic Pct,Asian Pct,Male Pct,Female Pct,Free Lunch Pct,ELL Pct
02M413,School of the Future High School,Manhattan,785,38.5,12.7,28.4,20.4,48.9,51.1,32.8,3.2
02M414,N.Y.C. Museum School,Manhattan,345,42.0,14.5,28.7,14.8,46.7,53.3,38.3,3.5
02M416,Eleanor Roosevelt High School,Manhattan,1050,45.7,8.5,20.3,25.5,44.3,55.7,20.5,2.3
02M418,Millennium High School,Manhattan,985,48.2,7.8,19.5,24.5,47.1,52.9,18.8,1.8
02M419,Landmark High School,Manhattan,280,22.5,28.6,38.2,10.7,52.1,47.9,58.9,7.5
02M420,High School for Health Professions and Human Services,Manhattan,545,8.4,32.5,48.6,10.5,38.5,61.5,68.3,9.2
02M425,High School of Economics and Finance,Manhattan,890,12.4,22.5,42.3,22.8,52.5,47.5,55.4,8.3
02M427,Manhattan Academy of Technology,Manhattan,310,5.8,35.5,50.3,8.4,56.1,43.9,74.2,10.3
02M437,Life Sciences Secondary School,Manhattan,385,28.3,18.4,38.2,15.1,48.3,51.7,48.6,5.8
02M438,International High School at Union Square,Manhattan,395,3.5,10.1,52.4,34.0,48.1,51.9,85.1,68.9
02M439,Manhattan Village Academy,Manhattan,380,32.4,15.8,35.3,16.5,47.4,52.6,42.1,4.2
02M440,Vanguard High School,Manhattan,260,25.4,25.0,38.5,11.2,50.8,49.2,55.4,6.5
02M442,Humanities Preparatory Academy,Manhattan,255,30.2,22.7,35.3,11.8,48.2,51.8,50.2,5.1
02M449,Bard High School Early College,Manhattan,580,52.8,5.2,15.5,26.6,45.5,54.5,15.2,1.0
02M459,Talent Unlimited High School,Manhattan,620,38.5,18.2,28.5,14.8,40.3,59.7,35.8,3.5
02M460,The Urban Assembly School of Business for Young Women,Manhattan,310,5.2,42.6,45.2,7.1,0.0,100.0,72.6,8.4
02M465,Jacqueline Kennedy Onassis High School,Manhattan,780,15.4,28.3,42.5,13.8,42.3,57.7,58.5,8.7
02M466,Metropolitan Expeditionary Learning School,Manhattan,290,32.1,20.3,35.2,12.4,50.3,49.7,45.5,4.8
02M475,Stuyvesant High School,Manhattan,3295,24.1,2.9,3.2,69.8,56.2,43.8,28.5,1.1
02M489,High School for Dual Language and Asian Studies,Manhattan,395,8.5,5.2,22.3,64.1,48.7,51.3,55.8,18.5
02M490,Hudson High School of Learning Technologies,Manhattan,310,8.4,32.5,48.6,10.5,54.2,45.8,70.3,10.2
02M505,The High School for Climate Justice,Manhattan,280,18.2,28.6,42.1,11.1,50.7,49.3,62.5,8.9
02M519,Repertory Company High School for Theatre Arts,Manhattan,240,35.4,20.0,32.5,12.1,42.1,57.9,42.5,3.8
02M520,Murry Bergtraum High School for Business Careers,Manhattan,1580,3.5,38.5,45.2,12.8,52.3,47.7,78.5,15.3
02M529,Jacqueline Kennedy Onassis High School,Manhattan,780,15.4,28.3,42.5,13.8,42.3,57.7,58.5,8.7
02M542,Manhattan Bridges High School,Manhattan,480,2.1,5.4,58.3,34.2,47.5,52.5,85.6,72.1
02M543,New York City Charter High School for Architecture Engineering and Construction Industries,Manhattan,220,8.2,35.5,48.2,8.2,62.3,37.7,72.7,7.5
02M544,High School for Media and Communications,Manhattan,340,8.5,32.4,48.5,10.6,50.3,49.7,70.3,9.8
02M545,High School for Health Careers and Sciences,Manhattan,380,10.5,28.4,48.7,12.4,42.1,57.9,65.8,8.9
02M546,Manhattan Early College School for Advertising,Manhattan,290,8.3,35.2,48.3,8.3,48.6,51.4,72.4,9.3
02M550,Liberty High School Academy for Newcomers,Manhattan,420,2.4,12.1,55.2,30.2,48.8,51.2,88.1,78.6
02M551,LISA Academy,Manhattan,280,3.2,10.4,52.5,33.9,47.5,52.5,85.7,70.4
02M560,City-As-School High School,Manhattan,520,28.5,25.4,32.7,13.5,52.5,47.5,48.5,5.2
02M570,High School of Fashion Industries,Manhattan,1180,12.5,28.4,45.3,13.8,28.4,71.6,62.3,8.5
02M575,The Urban Assembly School of Emergency Management,Manhattan,290,8.3,35.2,48.3,8.3,55.2,44.8,72.4,8.6
02M580,Richard R. Green High School of Teaching,Manhattan,310,5.8,38.7,48.4,7.1,42.6,57.4,75.5,9.4
02M585,Bayard Rustin Educational Complex,Manhattan,280,8.2,35.4,48.2,8.2,52.1,47.9,72.5,8.9
02M600,The Urban Assembly Gateway School for Technology,Manhattan,380,8.4,35.3,48.4,7.9,58.4,41.6,72.1,8.2
10X056,High School for Contemporary Arts,Bronx,290,5.2,42.1,48.3,4.5,45.2,54.8,78.6,8.3
10X141,Riverdale / Kingsbridge Academy,Bronx,680,18.5,28.4,42.3,10.8,50.3,49.7,62.5,9.8
10X225,Theatre Arts Production Company School,Bronx,310,5.5,40.3,48.4,5.8,42.6,57.4,76.5,7.4
10X243,West Bronx Academy for the Future,Bronx,340,4.7,42.4,48.2,4.7,52.4,47.6,78.8,9.1
10X268,Kingsbridge International High School,Bronx,380,3.2,15.3,62.4,19.2,48.7,51.3,85.3,68.4
10X342,International School for Liberal Arts,Bronx,290,3.4,12.4,65.5,18.6,47.9,52.1,84.8,65.2
10X351,The Bronx School for Law Government and Justice,Bronx,380,4.2,45.3,45.0,5.5,52.1,47.9,78.4,7.6
10X353,Bronx High School for the Visual Arts,Bronx,310,5.5,40.3,48.4,5.8,42.9,57.1,76.1,7.1
10X386,DeWitt Clinton High School,Bronx,2580,3.5,42.5,48.3,5.7,58.5,41.5,80.2,12.5
10X396,Bronx Lab School,Bronx,290,5.2,42.1,48.3,4.5,52.4,47.6,78.3,8.6
10X397,The Celia Cruz Bronx High School of Music,Bronx,380,5.3,38.4,50.3,6.1,42.1,57.9,75.3,8.2
10X434,Bronx School of Law and Finance,Bronx,290,4.5,45.2,45.5,4.8,52.8,47.2,79.3,7.9
10X437,Marble Hill School for International Studies,Bronx,380,8.4,32.4,50.3,8.9,50.3,49.7,70.5,12.4
10X440,Bronx International High School,Bronx,340,3.2,18.5,58.8,19.4,48.5,51.5,85.6,72.4
10X442,Validus Preparatory Academy,Bronx,290,4.5,42.4,48.3,4.8,54.5,45.5,79.3,8.6
10X445,Discovery High School,Bronx,280,4.3,42.5,48.6,4.6,52.1,47.9,80.0,9.3
10X447,Bronx Arena High School,Bronx,260,3.8,45.4,46.2,4.6,52.3,47.7,82.3,10.4
10X549,Crotona International High School,Bronx,290,2.8,18.6,62.4,16.2,48.3,51.7,86.2,68.3
13K336,Cobble Hill School of American Studies,Brooklyn,380,42.1,12.4,22.4,23.2,48.4,51.6,32.4,3.5
13K527,Urban Assembly Unison School,Brooklyn,310,8.4,42.6,42.3,6.8,52.6,47.4,75.5,7.4
13K553,Brooklyn International High School,Brooklyn,380,3.2,22.4,48.7,25.8,48.9,51.1,85.3,72.1
13K605,George Westinghouse Career and Technical Education High School,Brooklyn,420,5.2,48.6,38.3,7.9,58.3,41.7,78.1,6.9
14K071,Juan Morel Campos Secondary School,Brooklyn,310,2.6,12.3,78.4,6.8,52.6,47.4,85.5,18.7
14K454,The School for Legal Studies,Brooklyn,380,4.2,45.3,42.6,7.9,52.4,47.6,78.4,7.1
14K474,Progress High School,Brooklyn,290,3.4,15.5,62.4,18.6,48.6,51.4,84.5,62.4
14K477,Automotive High School,Brooklyn,380,3.7,38.4,50.3,7.6,82.4,17.6,78.9,10.5
14K478,The High School for Enterprise Business and Technology,Brooklyn,380,4.5,42.4,45.3,7.9,55.3,44.7,77.4,8.3
14K488,Brooklyn Academy of Global Finance,Brooklyn,290,4.1,42.8,45.5,7.6,52.4,47.6,78.6,8.3
14K491,East Williamsburg Scholars Academy,Brooklyn,290,5.2,38.6,48.3,7.9,52.1,47.9,76.2,8.6
14K561,Brooklyn Preparatory High School,Brooklyn,310,4.5,42.6,45.2,7.7,54.2,45.8,78.1,7.7
14K610,Williamsburg High School for Architecture and Design,Brooklyn,380,8.4,32.4,48.7,10.5,55.3,44.7,70.3,9.5
14K611,Lyons Community School,Brooklyn,290,5.5,38.6,48.3,7.6,50.3,49.7,75.5,8.3
14K614,Brooklyn Generation School,Brooklyn,290,5.2,38.6,48.3,7.9,50.7,49.3,76.2,8.6
14K685,EBC High School for Public Service - Bushwick,Brooklyn,290,4.1,42.4,45.8,7.6,48.6,51.4,78.6,8.3
15K423,Brooklyn School for Collaborative Studies,Brooklyn,380,28.4,22.4,35.3,13.9,48.7,51.3,48.4,5.3
15K429,Brooklyn Secondary School for Collaborative Studies,Brooklyn,290,28.3,22.1,35.5,14.1,49.0,51.0,48.6,5.2
15K443,Brooklyn Technical High School,Brooklyn,5233,22.5,10.2,12.3,55.0,58.4,41.6,38.5,2.1
15K448,Brooklyn School for Music and Theatre,Brooklyn,290,28.6,22.1,35.2,14.1,42.4,57.6,48.3,4.8
15K497,Summit Academy Charter School,Brooklyn,290,5.2,42.4,45.3,7.1,52.4,47.6,78.6,8.3
15K529,West Brooklyn Community High School,Brooklyn,280,8.2,32.1,48.6,11.1,52.1,47.9,72.4,12.5
15K656,Urban Assembly School for Law and Justice,Brooklyn,380,8.4,38.6,42.4,10.5,52.1,47.9,72.1,7.9
15K667,Sunset Park High School,Brooklyn,380,3.4,8.4,55.3,32.9,48.7,51.3,82.4,58.9
15K684,The Urban Assembly School for Criminal Justice,Brooklyn,290,5.2,42.4,45.3,7.1,54.5,45.5,78.6,7.6
16K393,Frederick Douglass Academy VII High School,Brooklyn,290,2.1,62.4,32.1,3.4,52.4,47.6,85.5,5.2
16K455,Boys and Girls High School,Brooklyn,380,1.6,72.4,22.4,3.7,52.1,47.9,88.4,4.5
16K498,Brooklyn High School for Law and Technology,Brooklyn,290,3.4,58.6,32.4,5.5,54.2,45.8,82.4,5.8
17K382,Olympus Academy,Brooklyn,290,5.2,52.4,35.5,6.9,52.1,47.9,78.6,5.5
17K408,Academy for Health Careers,Brooklyn,380,5.3,48.4,38.6,7.6,42.4,57.6,76.3,6.8
17K489,W.E.B. DuBois Academic High School,Brooklyn,290,2.4,65.5,28.3,3.8,52.4,47.6,85.2,4.8
17K524,International High School at Prospect Heights,Brooklyn,340,3.2,22.4,48.6,25.8,48.5,51.5,85.3,68.9
17K531,School for Human Rights,Brooklyn,290,12.4,42.4,35.5,9.7,48.6,51.4,68.6,5.8
17K537,High School for Public Service: Heroes of Tomorrow,Brooklyn,380,4.2,52.4,38.3,5.0,52.1,47.9,80.3,5.5
17K539,Brooklyn Community Arts and Media High School,Brooklyn,290,5.5,48.6,38.3,7.6,45.2,54.8,76.2,6.2
17K543,Brooklyn Academy of Science and the Environment,Brooklyn,380,12.4,38.6,35.3,13.7,52.4,47.6,65.5,6.8
17K546,Brooklyn High School of the Arts,Brooklyn,290,8.4,42.4,38.6,10.5,42.1,57.9,72.4,6.5
17K548,The High School for Global Citizenship,Brooklyn,290,5.5,48.6,38.3,7.6,50.3,49.7,76.5,6.2
17K590,Medgar Evers College Preparatory School,Brooklyn,380,2.1,78.4,15.3,4.2,45.3,54.7,72.4,3.5
19K409,East New York Family Academy,Brooklyn,290,2.1,58.6,35.5,3.8,52.4,47.6,88.3,6.2
19K431,Thomas Jefferson High School,Brooklyn,380,2.4,55.3,38.4,3.9,54.2,45.8,86.5,6.8
19K504,East New York High School of Transit Technology,Brooklyn,290,2.1,55.5,38.6,3.8,58.6,41.4,87.6,6.5
19K507,Performing Arts and Technology High School,Brooklyn,290,3.4,48.6,42.4,5.5,45.2,54.8,82.4,6.9
19K510,Multicultural High School,Brooklyn,280,2.5,22.4,52.4,22.8,48.6,51.4,86.4,62.1
19K583,Brooklyn Theatre Arts High School,Brooklyn,290,3.4,48.6,42.4,5.5,42.4,57.6,82.1,6.5
19K615,Cypress Hills Collegiate Preparatory School,Brooklyn,380,3.2,48.6,42.4,5.8,52.4,47.6,82.4,7.1
19K618,Academy of Innovative Technology,Brooklyn,290,3.4,48.6,42.4,5.5,55.2,44.8,82.4,6.9
19K639,Brooklyn Frontiers High School,Brooklyn,280,3.2,52.4,38.6,5.8,52.1,47.9,84.3,8.5
19K659,W.H. Maxwell Career and Technical Education High School,Brooklyn,380,2.4,55.3,38.4,3.9,58.4,41.6,86.5,6.5
19K660,Brownsville Academy High School,Brooklyn,290,1.7,68.3,26.2,3.8,52.4,47.6,89.3,4.8
19K662,Brooklyn Lab School,Brooklyn,290,3.4,52.4,38.6,5.5,52.1,47.9,82.4,5.8
19K672,Aspirations Diploma Plus High School,Brooklyn,260,2.3,55.4,38.5,3.8,52.3,47.7,87.7,8.5
19K683,Brooklyn Democracy Academy,Brooklyn,260,2.7,52.6,38.9,5.8,50.4,49.6,85.4,9.2
20K490,Fort Hamilton High School,Brooklyn,3850,18.5,8.4,22.4,50.7,52.4,47.6,55.3,15.8
20K505,John Dewey High School,Brooklyn,2180,22.4,18.5,28.6,30.5,50.3,49.7,58.4,12.3
20K609,Urban Assembly School for Collaborative Healthcare,Brooklyn,380,5.2,42.4,42.6,9.7,42.4,57.6,75.5,8.3
20K685,Bay Academy for the Arts and Sciences,Brooklyn,290,18.6,22.4,35.5,23.4,48.6,51.4,52.4,5.8
20K686,21st Century Academy for Media and Technology,Brooklyn,290,12.4,28.6,42.4,16.5,52.1,47.9,62.4,8.3
21K337,Rachel Carson High School for Coastal Studies,Brooklyn,380,18.5,22.4,35.3,23.7,48.4,51.6,52.1,5.5
21K344,Abraham Lincoln High School,Brooklyn,2580,22.4,12.4,22.5,42.8,52.4,47.6,58.6,18.5
21K348,William E. Grady Career and Technical Education High School,Brooklyn,1380,18.5,22.4,35.5,23.6,72.4,27.6,58.4,8.5
21K410,John J. Pershing IS 220,Brooklyn,290,18.6,22.4,35.3,23.7,52.4,47.6,52.4,5.5
21K525,Edward R. Murrow High School,Brooklyn,3580,28.4,18.5,22.4,30.7,48.6,51.4,45.3,8.5
21K540,Midwood High School,Brooklyn,3780,22.4,22.5,18.6,36.5,48.4,51.6,48.6,6.8
21K559,Life Academy High School for Film and Music,Brooklyn,290,12.4,32.4,38.6,16.5,48.6,51.4,62.4,6.8
21K572,Origins High School,Brooklyn,290,12.4,28.6,42.4,16.5,50.3,49.7,62.1,7.5
21K575,Brooklyn Studio Secondary School,Brooklyn,290,18.6,22.4,38.6,20.3,48.3,51.7,52.4,5.8
21K620,Millennium Brooklyn High School,Brooklyn,380,42.4,12.4,22.5,22.6,48.4,51.6,28.4,2.8
21K683,Brooklyn Preparatory High School,Brooklyn,290,5.2,42.4,45.3,7.1,54.2,45.8,78.6,7.4
22K280,James Madison High School,Brooklyn,3580,22.4,18.5,22.5,36.5,50.3,49.7,52.4,12.5
22K405,South Shore High School,Brooklyn,380,2.1,72.4,22.4,3.2,52.4,47.6,85.5,4.5
22K425,Academy of Hospitality and Tourism,Brooklyn,290,5.2,42.4,42.6,9.7,48.6,51.4,75.5,7.8
22K495,Brooklyn College Academy,Brooklyn,380,18.5,22.4,28.6,30.5,48.4,51.6,48.6,5.8
22K510,South Brooklyn Community High School,Brooklyn,280,8.2,32.4,42.6,16.8,52.1,47.9,68.5,12.4
22K515,Kingsborough Early College School,Brooklyn,290,18.6,22.4,35.3,23.7,48.6,51.4,52.1,5.5
22K525,South Shore Academy,Brooklyn,290,3.4,62.4,28.6,5.5,52.4,47.6,82.4,5.2
22K530,Cultural Academy for the Arts and Sciences,Brooklyn,290,5.2,55.3,32.4,7.1,48.3,51.7,78.6,5.5
22K535,Leon M. Goldstein High School for the Sciences,Brooklyn,1380,22.4,18.5,22.6,36.5,50.3,49.7,45.3,6.8
22K555,Millennium Brooklyn High School,Brooklyn,380,42.4,12.4,22.5,22.6,48.4,51.6,28.4,2.8
22K585,Brooklyn Generation School,Brooklyn,290,5.2,42.4,42.6,9.7,50.7,49.3,75.5,7.8
22K600,Brooklyn Lab School,Brooklyn,290,5.5,48.6,38.3,7.6,52.1,47.9,76.2,6.2
22K615,Kingsborough Early College School,Brooklyn,290,18.6,22.4,35.3,23.7,48.6,51.4,52.1,5.5
23K493,Brooklyn Preparatory High School,Brooklyn,290,3.4,55.3,35.5,5.8,54.2,45.8,82.4,6.2
23K514,Gotham Professional Arts Academy,Brooklyn,290,5.2,48.6,38.6,7.6,45.2,54.8,78.3,6.5
23K647,Brooklyn School for Social Justice,Brooklyn,290,2.8,62.4,30.3,4.5,50.3,49.7,85.5,5.2
23K697,Brooklyn Ascend Charter School,Brooklyn,290,3.4,58.6,32.4,5.5,52.1,47.9,82.4,5.5
24Q263,Robert F. Kennedy Community High School,Queens,290,5.2,28.6,48.5,17.6,52.4,47.6,78.6,42.5
24Q267,High School for Construction Trades Engineering and Architecture,Queens,380,12.4,22.4,42.5,22.6,78.4,21.6,62.4,8.5
24Q268,Newcomers High School,Queens,380,3.2,12.4,52.4,32.1,48.6,51.4,85.3,78.4
24Q270,Aviation Career and Technical Education High School,Queens,1780,18.5,18.4,32.5,30.6,82.4,17.6,52.4,8.5
24Q296,Pan American International High School at Monroe,Queens,340,2.8,8.5,68.4,20.3,48.5,51.5,86.5,75.3
24Q299,Queens Preparatory Academy,Queens,290,5.2,28.6,48.5,17.6,52.4,47.6,75.5,12.4
24Q305,Academy of Finance and Enterprise,Queens,380,8.4,22.4,42.5,26.8,52.1,47.9,65.5,10.5
24Q455,John Adams High School,Queens,1780,5.2,28.6,42.5,23.7,52.4,47.6,72.4,18.5
24Q520,Middle College High School at LaGuardia Community College,Queens,380,12.4,28.6,38.5,20.5,48.6,51.4,58.4,8.5
24Q529,Queens High School for Information Research and Technology,Queens,290,8.4,22.4,42.5,26.8,55.2,44.8,65.5,10.2
24Q530,Grover Cleveland High School,Queens,1780,8.5,12.4,52.4,26.8,52.4,47.6,68.5,22.4
24Q540,Hillcrest High School,Queens,2580,5.2,32.4,32.5,29.8,50.3,49.7,68.5,15.8
24Q550,Newtown High School,Queens,1780,5.2,12.4,52.4,30.1,52.4,47.6,72.4,28.5
24Q560,Richmond Hill High School,Queens,1780,5.2,18.5,42.4,33.9,50.3,49.7,65.5,22.4
24Q570,Jamaica Gateway to the Sciences,Queens,380,8.4,42.4,32.5,16.8,48.6,51.4,68.5,8.5
24Q575,Thomas A. Edison Career and Technical Education High School,Queens,1780,8.5,22.4,42.5,26.6,68.4,31.6,62.4,12.5
24Q580,William Cullen Bryant High School,Queens,2580,5.2,8.4,52.4,34.1,52.4,47.6,68.5,28.5
24Q585,Maspeth High School,Queens,1380,18.5,8.4,42.5,30.6,52.4,47.6,52.4,12.5
24Q600,Long Island City High School,Queens,1780,8.5,18.5,42.4,30.6,50.3,49.7,65.5,18.5
24Q610,Forest Hills High School,Queens,3580,22.4,8.5,28.6,40.5,50.3,49.7,42.4,12.5
24Q650,Flushing High School,Queens,1780,5.2,12.4,42.5,39.8,50.3,49.7,68.5,28.5
24Q670,Bayside High School,Queens,3580,22.4,8.5,18.6,50.5,50.3,49.7,38.5,8.5
24Q680,Benjamin N. Cardozo High School,Queens,3580,18.5,18.4,28.6,34.5,50.3,49.7,48.6,10.5
24Q690,Francis Lewis High School,Queens,4280,12.4,12.5,22.4,52.8,50.3,49.7,45.3,12.5
24Q700,Martin Van Buren High School,Queens,1780,5.2,28.6,38.5,27.6,50.3,49.7,68.5,18.5
24Q710,Springfield Gardens High School,Queens,1380,3.4,62.4,22.5,11.6,50.3,49.7,78.5,8.5
24Q720,Cambria Heights Academy,Queens,290,3.4,62.4,22.5,11.6,52.4,47.6,78.6,8.2
24Q730,Queens Gateway to Health Sciences Secondary School,Queens,380,12.4,28.6,28.5,30.5,38.4,61.6,52.4,5.8
24Q744,Robert F. Wagner Jr. Secondary School for Arts and Technology,Queens,380,12.4,22.4,38.5,26.8,48.6,51.4,58.4,8.5
25Q460,Flushing International High School,Queens,380,3.2,8.4,32.5,55.8,48.6,51.4,82.4,78.5
25Q470,East-West School of International Studies,Queens,380,12.4,8.5,28.6,50.5,48.6,51.4,48.5,12.5
25Q525,Townsend Harris High School,Queens,1180,22.4,5.2,18.5,53.8,42.4,57.6,32.4,2.8
25Q540,John Bowne High School,Queens,1780,5.2,12.4,42.5,39.8,50.3,49.7,65.5,22.4
25Q550,Queens High School for the Sciences at York College,Queens,420,8.4,12.4,12.5,66.8,55.2,44.8,38.5,2.5
25Q560,Robert F. Kennedy Community High School,Queens,290,5.2,28.6,48.5,17.6,52.4,47.6,78.6,42.5
26Q415,Cardozo Law Academy,Queens,290,18.5,18.4,28.6,34.5,52.4,47.6,48.6,8.5
26Q430,Francis Lewis High School,Queens,4280,12.4,12.5,22.4,52.8,50.3,49.7,45.3,12.5
27Q260,Frederick Douglass Academy VI High School,Queens,290,2.4,62.4,28.6,6.5,52.4,47.6,85.5,5.8
27Q262,Rockaway Park High School for Environmental Sustainability,Queens,290,28.5,22.4,32.4,16.8,52.1,47.9,55.5,6.8
27Q302,Channel View School for Research,Queens,380,18.5,28.6,38.5,14.5,52.4,47.6,62.4,8.5
27Q309,Far Rockaway High School,Queens,1380,3.4,58.6,32.4,5.5,52.4,47.6,82.4,8.5
27Q314,Beach Channel High School,Queens,1380,18.5,28.6,38.5,14.5,52.4,47.6,62.4,8.5
27Q323,Scholars Academy,Queens,380,32.4,12.4,28.5,26.8,48.6,51.4,38.5,3.8
27Q334,Academy of Medical Technology,Queens,290,8.4,42.4,38.5,10.6,42.4,57.6,72.4,7.5
27Q400,August Martin High School,Queens,1380,3.4,52.4,38.5,5.8,52.4,47.6,82.4,12.5
27Q480,John F. Kennedy Jr. High School,Queens,1380,8.5,28.6,42.5,20.5,52.4,47.6,68.5,12.5
27Q502,Voyages Preparatory,Queens,280,5.2,42.4,38.6,13.9,52.1,47.9,78.6,15.5
28Q310,Hillcrest High School,Queens,2580,5.2,32.4,32.5,29.8,50.3,49.7,68.5,15.8
28Q325,Jamaica High School,Queens,1380,3.4,42.4,38.5,15.8,50.3,49.7,75.5,18.5
28Q328,Queens Collegiate,Queens,290,5.2,42.4,38.5,13.9,52.4,47.6,75.5,10.5
28Q338,Queens High School for Information Research and Technology,Queens,290,8.4,32.4,42.5,16.8,55.2,44.8,68.5,10.2
28Q350,High School for Community Leadership,Queens,290,5.2,48.6,35.5,10.6,52.4,47.6,78.6,8.5
28Q440,Hillcrest High School,Queens,2580,5.2,32.4,32.5,29.8,50.3,49.7,68.5,15.8
28Q455,Thomas A. Edison Career and Technical Education High School,Queens,1780,8.5,22.4,42.5,26.6,68.4,31.6,62.4,12.5
28Q505,Queens Preparatory Academy,Queens,290,5.2,42.4,38.5,13.9,52.4,47.6,75.5,12.4
28Q620,Jamaica Gateway to the Sciences,Queens,380,8.4,42.4,32.5,16.8,48.6,51.4,68.5,8.5
28Q680,Excelsior Preparatory High School,Queens,290,5.2,42.4,38.5,13.9,52.4,47.6,75.5,10.5
28Q690,Preparatory Academy for Writers,Queens,290,5.2,48.6,35.5,10.6,48.6,51.4,78.6,8.5
29Q248,Springfield Gardens High School,Queens,1380,3.4,62.4,22.5,11.6,50.3,49.7,78.5,8.5
29Q265,Cambria Heights Academy,Queens,290,3.4,62.4,22.5,11.6,52.4,47.6,78.6,8.2
29Q283,Preparatory Academy for Writers,Queens,290,3.4,58.6,28.5,9.5,48.6,51.4,80.5,8.5
29Q492,Queens Satellite High School for Opportunity,Queens,280,3.4,52.4,32.5,11.6,52.1,47.9,82.4,12.5
29Q494,Springfield Gardens High School,Queens,1380,3.4,62.4,22.5,11.6,50.3,49.7,78.5,8.5
29Q496,Cambria Heights Academy,Queens,290,3.4,62.4,22.5,11.6,52.4,47.6,78.6,8.2
29Q498,Preparatory Academy for Writers,Queens,290,3.4,58.6,28.5,9.5,48.6,51.4,80.5,8.5
30Q445,William Cullen Bryant High School,Queens,2580,5.2,8.4,52.4,34.1,52.4,47.6,68.5,28.5
30Q450,Long Island City High School,Queens,1780,8.5,18.5,42.4,30.6,50.3,49.7,65.5,18.5
30Q460,Newcomers High School,Queens,380,3.2,12.4,52.4,32.1,48.6,51.4,85.3,78.4
30Q501,Frank Sinatra School of the Arts High School,Queens,380,38.4,12.4,28.5,20.6,42.4,57.6,32.4,3.5
30Q502,Information Technology High School,Queens,380,12.4,22.4,38.5,26.8,55.2,44.8,58.4,8.5
30Q555,Academy for Careers in Television and Film,Queens,380,12.4,28.6,38.5,20.5,52.4,47.6,58.4,8.5
30Q575,Academy of American Studies,Queens,380,28.5,12.4,28.6,30.5,48.6,51.4,38.5,5.5
30Q580,Baccalaureate School for Global Education,Queens,380,32.4,8.5,22.4,36.8,48.6,51.4,28.5,3.2
