date,temp_max_f,temp_min_f,precipitation_in,humidity_pct,wind_speed_mph
2022-03-12,43.7,30.8,0,84.5,8.8
2022-03-13,47.1,26.3,0,56.0,0
2022-03-14,44.8,29.2,0.09,48.2,12.5
2022-03-15,44.6,33.2,0,57.4,8.7
2022-03-16,48.0,31.9,0.46,44.1,7.9
2022-03-17,44.9,29.3,0.16,52.1,2.6
2022-03-18,42.2,35.2,0,78.6,3.1
2022-03-19,47.0,30.3,0.18,59.9,10.0
2022-03-20,47.6,27.8,0.19,76.9,6.3
2022-03-21,41.9,32.4,0,61.1,8.6
2022-03-22,45.5,26.4,0.54,81.5,0
2022-03-23,41.8,27.9,0.15,75.9,6.4
2022-03-24,46.3,31.6,0.35,75.6,3.8
2022-03-25,47.9,27.3,1.02,43.7,7.4
2022-03-26,43.1,25.8,0,44.3,10.6
2022-03-27,41.7,30.9,0.05,76.4,8.1
2022-03-28,47.1,33.9,0,66.5,14.3
2022-03-29,44.3,25.9,0,40.3,1.0
2022-03-30,43.1,34.8,0,54.8,12.3
2022-03-31,44.9,27.5,0.44,75.5,9.1
2022-04-01,54.6,41.1,0,43.2,14.0
2022-04-02,49.7,33.3,0.12,68.2,6.7
2022-04-03,45.9,34.2,0,79.3,10.2
2022-04-04,53.1,30.8,0,47.5,9.0
2022-04-05,50.1,38.9,0,44.3,5.8
2022-04-06,52.6,32.0,0.22,27.3,5.2
2022-04-07,54.7,39.4,0.13,68.8,3.2
2022-04-08,49.6,28.6,0.0,68.7,3.9
2022-04-09,53.3,40.1,0.13,79.0,1.3
2022-04-10,47.8,33.1,0.57,29.9,12.8
2022-04-11,48.0,37.7,0.47,59.9,11.0
2022-04-12,49.6,33.5,0.42,68.7,13.7
2022-04-13,45.4,33.7,0,33.7,3.5
2022-04-14,45.4,35.1,0.41,34.4,3.7
2022-04-15,49.6,36.1,0,71.7,10.5
2022-04-16,51.5,35.2,0.4,77.8,1.7
2022-04-17,52.6,35.0,0.23,61.3,1.9
2022-04-18,46.0,36.5,0,71.3,4.9
2022-04-19,53.0,38.3,0.0,66.0,2.9
2022-04-20,53.7,39.9,0.04,61.9,16.8
2022-04-21,47.6,34.5,0.34,29.6,7.0
2022-04-22,51.4,33.7,0,60.0,15.7
2022-04-23,47.4,35.6,0,38.7,4.9
2022-04-24,51.9,35.8,0.92,79.5,9.7
2022-04-25,53.0,37.8,0,77.1,3.6
2022-04-26,51.3,34.0,0,52.2,5.3
2022-04-27,45.9,31.4,0.12,50.7,11.4
2022-04-28,53.3,29.4,0.4,67.8,3.9
2022-04-29,46.2,39.4,0.62,90.2,12.1
2022-04-30,48.7,33.7,0,78.5,8.4
2022-05-01,55.8,40.2,0.25,57.4,8.1
2022-05-02,52.2,33.2,0.19,74.7,0.2
2022-05-03,59.5,42.4,0,60.3,9.6
2022-05-04,59.5,37.1,0.01,59.6,5.7
2022-05-05,54.1,42.8,0.4,62.9,0
2022-05-06,55.4,41.0,0.38,50.5,11.1
2022-05-07,54.5,37.5,0,44.3,15.0
2022-05-08,50.7,40.9,0.19,62.8,10.7
2022-05-09,59.0,40.5,0.23,53.5,10.1
2022-05-10,50.1,46.5,0.29,61.0,11.5
2022-05-11,55.3,39.1,0,63.9,6.1
2022-05-12,57.8,46.8,0.11,43.5,7.4
2022-05-13,54.0,41.3,0,62.0,9.5
2022-05-14,56.3,42.5,0.17,37.9,19.5
2022-05-15,51.0,40.2,0.38,42.6,8.8
2022-05-16,53.4,42.4,0,54.2,8.9
2022-05-17,51.5,43.8,0.64,71.6,9.5
2022-05-18,55.9,39.8,0.19,56.3,9.8
2022-05-19,58.7,38.8,0.52,56.0,4.9
2022-05-20,51.1,44.8,0.44,42.9,13.0
2022-05-21,59.7,38.5,0,45.9,17.1
2022-05-22,57.0,42.0,0.23,59.1,8.4
2022-05-23,51.4,41.8,0.61,64.8,8.9
2022-05-24,57.8,38.2,0.43,64.2,8.7
2022-05-25,52.7,39.2,0,61.5,7.0
2022-05-26,56.8,42.1,0.62,57.7,6.9
2022-05-27,53.0,43.2,0.27,68.7,7.8
2022-05-28,57.0,41.2,0.15,73.6,1.7
2022-05-29,50.2,47.1,0.37,45.0,2.4
2022-05-30,53.2,46.6,0,39.1,2.9
2022-05-31,52.4,37.1,0,57.7,6.7
2022-06-01,56.1,45.0,0.37,71.5,5.9
2022-06-02,57.4,39.7,0.25,79.3,8.4
2022-06-03,62.5,46.6,0,27.7,10.9
2022-06-04,63.6,44.5,0.19,64.6,4.8
2022-06-05,58.1,44.6,0.21,86.5,10.6
2022-06-06,61.2,41.5,0,64.4,10.2
2022-06-07,58.2,43.3,0,63.1,9.2
2022-06-08,62.1,46.6,0.23,70.0,4.0
2022-06-09,57.8,45.7,0.24,49.3,12.6
2022-06-10,55.9,50.4,0.02,83.5,3.2
2022-06-11,56.4,43.3,0,82.8,6.8
2022-06-12,58.1,39.9,0.26,33.5,4.4
2022-06-13,61.5,44.3,0,50.8,10.9
2022-06-14,59.9,38.9,0.2,64.6,9.0
2022-06-15,55.4,40.2,0.01,60.8,5.9
2022-06-16,62.7,43.5,0.28,73.9,2.9
2022-06-17,62.5,46.8,0.36,47.4,7.3
2022-06-18,58.7,44.3,0.45,58.4,7.2
2022-06-19,63.0,39.7,0.41,60.0,13.7
2022-06-20,63.5,51.1,0.01,84.8,6.8
2022-06-21,57.2,40.2,0.76,58.0,8.8
2022-06-22,64.9,46.9,0.8,66.1,11.1
2022-06-23,63.3,48.3,0,,12.8
2022-06-24,57.6,51.2,0,52.7,6.1
2022-06-25,59.2,51.3,0.09,53.0,8.5
2022-06-26,60.2,48.3,0.32,72.5,5.8
2022-06-27,64.7,46.5,0,42.4,7.2
2022-06-28,59.7,46.9,0.35,58.6,15.0
2022-06-29,62.7,45.1,0.17,57.8,9.0
2022-06-30,62.8,48.0,0,40.0,8.5
2022-07-01,60.4,50.3,0.02,93.7,10.4
2022-07-02,62.5,51.1,0.22,73.1,9.5
2022-07-03,68.9,52.8,0,71.7,5.6
2022-07-04,69.2,50.1,0.27,37.1,12.8
2022-07-05,60.8,52.8,0.31,52.9,13.1
2022-07-06,60.4,53.7,0,100,6.3
2022-07-07,63.6,50.4,0.95,44.1,0
2022-07-08,60.3,44.6,0.17,45.9,4.2
2022-07-09,63.7,47.1,0.38,43.5,5.8
2022-07-10,61.1,53.9,0,60.1,5.1
2022-07-11,62.9,47.5,0.03,52.3,8.1
2022-07-12,64.5,43.5,0,33.6,6.4
2022-07-13,68.5,47.4,0.37,79.2,5.5
2022-07-14,62.0,51.6,0.14,56.6,4.4
2022-07-15,60.9,47.7,0.02,83.9,8.0
2022-07-16,60.7,49.6,0,47.2,6.4
2022-07-17,61.8,51.4,0,29.9,11.6
2022-07-18,61.6,52.4,0.05,46.6,15.9
2022-07-19,65.5,46.4,0,54.0,12.7
2022-07-20,61.5,46.5,0.04,39.9,10.8
2022-07-21,66.4,55.0,0,45.1,2.4
2022-07-22,66.3,48.8,0.45,55.4,10.0
2022-07-23,64.4,54.3,0,65.8,13.2
2022-07-24,68.6,50.5,0.32,70.6,4.8
2022-07-25,61.0,51.3,0.02,44.5,11.7
2022-07-26,63.3,53.9,0,83.5,3.2
2022-07-27,69.5,54.8,0.12,70.2,7.4
2022-07-28,68.8,51.0,0,63.4,10.4
2022-07-29,63.7,46.8,0,51.1,6.9
2022-07-30,67.6,48.6,0.57,58.4,16.0
2022-07-31,69.4,53.1,0.67,65.6,12.5
2022-08-01,58.3,48.5,0,65.5,4.5
2022-08-02,62.4,38.9,0.09,45.5,14.4
2022-08-03,63.2,46.2,0,22.8,1.8
2022-08-04,59.7,52.5,0,65.3,1.2
2022-08-05,56.7,44.9,0,40.3,11.6
2022-08-06,55.2,47.8,0.48,73.3,13.0
2022-08-07,63.7,42.2,0.27,63.1,8.9
2022-08-08,56.7,49.3,0.38,52.3,11.1
2022-08-09,61.9,44.2,0.2,70.6,5.3
2022-08-10,57.1,48.3,0.04,54.3,11.4
2022-08-11,56.2,48.3,0,88.8,12.1
2022-08-12,62.1,46.2,0,49.2,9.1
2022-08-13,64.3,45.8,0.39,75.8,5.5
2022-08-14,55.5,43.1,0.0,,6.2
2022-08-15,64.3,43.9,0.69,47.8,5.4
2022-08-16,64.1,41.1,0.15,43.4,5.8
2022-08-17,56.8,43.2,0.42,90.1,12.0
2022-08-18,64.3,42.6,0.11,79.4,8.3
2022-08-19,64.9,47.4,0,61.4,10.7
2022-08-20,59.6,46.9,0,69.6,14.0
2022-08-21,56.8,44.6,0.57,43.1,6.3
2022-08-22,58.2,47.1,0.11,59.3,10.9
2022-08-23,62.2,44.0,0,41.0,9.9
2022-08-24,64.0,46.2,0.18,57.2,9.9
2022-08-25,57.2,41.7,0.4,80.4,4.7
2022-08-26,61.6,42.9,0,60.4,14.7
2022-08-27,62.0,43.0,0.02,57.9,3.5
2022-08-28,60.2,44.4,0.01,65.5,13.1
2022-08-29,59.5,42.0,0.02,61.4,0.9
2022-08-30,62.5,42.3,0.25,73.2,9.0
2022-08-31,55.7,43.3,0.42,63.0,8.8
2022-09-01,59.9,40.1,0,82.3,1.6
2022-09-02,55.4,39.3,0.01,67.7,3.2
2022-09-03,50.2,43.8,0.03,51.3,3.6
2022-09-04,53.5,41.2,0.57,50.8,13.5
2022-09-05,50.2,34.4,0.48,63.2,8.6
2022-09-06,57.4,43.9,0.14,70.4,8.9
2022-09-07,57.3,35.8,0.04,41.7,4.6
2022-09-08,56.6,41.9,0.09,65.1,15.8
2022-09-09,55.0,43.6,0,80.9,5.9
2022-09-10,51.5,40.1,0.13,43.0,10.0
2022-09-11,55.6,38.7,0,52.5,7.2
2022-09-12,59.2,40.6,0.52,73.2,9.2
2022-09-13,51.9,37.8,0.34,56.9,2.9
2022-09-14,59.6,38.8,0.83,45.2,19.7
2022-09-15,52.0,41.4,0.91,35.4,5.8
2022-09-16,52.6,41.5,0,60.1,12.5
2022-09-17,54.1,41.7,0.08,61.5,10.2
2022-09-18,54.2,37.1,0,72.9,10.4
2022-09-19,58.2,45.2,0,49.0,4.4
2022-09-20,57.2,43.2,0.45,50.6,7.1
2022-09-21,56.7,37.1,0.04,35.4,12.0
2022-09-22,55.1,44.1,0,,4.6
2022-09-23,,39.7,0,53.6,18.9
2022-09-24,58.1,40.7,0.23,64.2,9.5
2022-09-25,54.0,41.6,0.28,43.9,10.9
2022-09-26,58.5,39.1,0.44,40.3,11.3
2022-09-27,51.7,44.9,0.28,36.0,10.8
2022-09-28,55.3,41.3,0.26,89.3,11.5
2022-09-29,59.0,36.1,0,93.7,9.9
2022-09-30,57.5,40.4,0.02,63.6,9.6
2022-10-01,48.3,32.6,0.31,88.6,17.2
2022-10-02,45.5,29.9,0.26,48.4,9.2
2022-10-03,47.7,42.7,0,46.0,8.2
2022-10-04,51.6,30.7,0,41.8,7.6
2022-10-05,52.4,32.6,0,61.2,8.3
2022-10-06,46.3,35.4,0,66.0,7.2
2022-10-07,48.2,33.3,0.16,56.1,11.8
2022-10-08,54.8,31.4,0.26,72.8,10.2
2022-10-09,49.2,35.6,0.31,70.1,9.4
2022-10-10,47.0,31.7,0,94.4,5.3
2022-10-11,53.2,38.8,0.48,68.0,7.7
2022-10-12,48.1,40.8,0.36,57.6,6.4
2022-10-13,53.2,35.6,0,74.6,11.4
2022-10-14,50.5,35.9,0,65.6,4.9
2022-10-15,49.1,32.0,0.21,52.5,5.8
2022-10-16,45.7,35.1,0,62.0,0
2022-10-17,48.6,34.5,0.09,39.2,6.7
2022-10-18,48.6,34.3,0.95,71.8,6.2
2022-10-19,45.1,34.2,0,41.9,7.7
2022-10-20,48.9,37.2,0,50.7,7.5
2022-10-21,46.2,33.0,0.18,68.2,10.7
2022-10-22,49.8,34.8,0.03,47.6,5.7
2022-10-23,51.8,31.5,0.64,71.2,7.7
2022-10-24,54.6,32.8,0,65.4,5.3
2022-10-25,50.9,37.4,0,57.1,5.4
2022-10-26,46.0,41.6,0.22,72.3,5.0
2022-10-27,51.0,34.3,0.18,48.2,6.1
2022-10-28,52.1,30.6,0.03,55.8,9.3
2022-10-29,50.1,32.6,0.23,69.6,11.0
2022-10-30,51.5,36.1,0,54.1,10.2
2022-10-31,45.1,34.2,0.32,75.4,0
2022-11-01,44.2,30.2,0,60.4,14.6
2022-11-02,41.7,29.4,0.22,58.8,1.2
2022-11-03,47.8,35.8,0,80.7,14.2
2022-11-04,48.3,35.5,0.24,43.1,22.6
2022-11-05,44.4,29.8,0.16,49.1,10.0
2022-11-06,41.7,26.5,0,62.7,10.6
2022-11-07,45.4,31.1,0.05,48.1,7.1
2022-11-08,49.6,35.8,0.71,100,1.9
2022-11-09,42.5,27.6,0.36,37.6,5.9
2022-11-10,44.5,31.7,0,64.8,6.8
2022-11-11,43.7,28.3,0.11,60.9,9.0
2022-11-12,43.6,25.7,0,49.7,7.4
2022-11-13,48.3,31.3,0,50.9,4.3
2022-11-14,47.8,33.8,0.15,,13.6
2022-11-15,42.0,26.6,0.41,76.0,13.0
2022-11-16,43.7,34.9,0.71,67.6,11.5
2022-11-17,46.6,33.9,0.46,,9.9
2022-11-18,48.2,31.0,0.28,52.9,9.0
2022-11-19,41.0,26.6,0.24,54.5,9.0
2022-11-20,45.3,30.6,0,50.5,4.5
2022-11-21,44.1,34.6,0.2,55.1,13.4
2022-11-22,43.1,23.2,0.42,58.9,9.7
2022-11-23,47.8,30.1,0.37,42.0,6.5
2022-11-24,40.5,34.4,0.46,76.8,6.7
2022-11-25,45.3,31.9,0.82,57.1,13.4
2022-11-26,47.6,30.9,0.56,60.4,7.3
2022-11-27,40.6,36.3,0,59.1,3.9
2022-11-28,46.2,28.3,0.12,53.4,12.5
2022-11-29,43.9,30.4,0.35,40.4,13.7
2022-11-30,40.9,34.0,0.31,40.3,9.6
2022-12-01,36.2,23.8,0.07,51.4,12.7
2022-12-02,36.3,30.0,0.01,56.3,16.3
2022-12-03,37.7,19.3,0.03,40.9,11.9
2022-12-04,38.7,22.9,0.27,75.6,11.1
2022-12-05,35.4,27.1,0.13,76.9,6.3
2022-12-06,44.1,25.9,0.23,48.4,9.7
2022-12-07,35.8,26.5,0,59.6,11.1
2022-12-08,39.7,28.0,0.61,,5.1
2022-12-09,40.6,26.8,0,48.3,4.1
2022-12-10,42.6,19.5,0,75.4,8.2
2022-12-11,43.8,24.3,0.56,60.2,11.8
2022-12-12,39.9,25.0,0,83.7,7.9
2022-12-13,40.2,22.2,0,89.2,9.5
2022-12-14,40.7,28.9,0.19,70.7,7.3
2022-12-15,42.0,23.4,0.02,70.9,10.4
2022-12-16,36.6,28.2,0.21,44.5,10.7
2022-12-17,37.7,24.6,0.37,79.1,10.9
2022-12-18,35.9,25.2,0,48.9,11.8
2022-12-19,35.3,19.5,0,67.4,8.0
2022-12-20,43.3,32.8,0.45,79.0,13.5
2022-12-21,40.8,22.1,0.14,57.1,15.9
2022-12-22,43.3,19.9,0.38,76.1,9.2
2022-12-23,38.9,19.0,0.04,51.6,8.6
2022-12-24,41.2,28.1,0.31,55.7,12.0
2022-12-25,36.4,25.4,0.39,47.9,3.1
2022-12-26,38.6,22.4,0,27.0,8.8
2022-12-27,38.2,26.5,0.53,44.1,19.5
2022-12-28,44.7,17.6,0.45,53.5,5.4
2022-12-29,45.0,27.8,0.43,38.0,3.3
2022-12-30,43.1,25.3,0.57,63.1,7.5
2022-12-31,40.6,22.5,0.74,57.7,4.6
2023-01-01,32.2,22.8,0.13,93.5,8.0
2023-01-02,39.2,19.9,0.09,62.8,0.4
2023-01-03,39.6,15.6,0,74.1,6.6
2023-01-04,31.6,26.3,0.32,23.2,6.5
2023-01-05,37.9,14.1,0,52.1,6.7
2023-01-06,37.3,26.4,0.4,55.3,18.4
2023-01-07,39.7,14.1,0.09,27.7,4.2
2023-01-08,39.8,20.6,0.22,55.7,6.5
2023-01-09,,19.8,0,59.7,9.9
2023-01-10,39.7,20.0,0,60.6,6.2
2023-01-11,36.9,16.5,0.08,85.9,11.5
2023-01-12,30.7,13.5,0,77.2,0
2023-01-13,34.8,16.0,0,68.4,7.2
2023-01-14,32.1,22.1,0,37.3,7.6
2023-01-15,35.7,26.5,0,68.1,11.1
2023-01-16,36.0,16.6,0.3,61.5,7.6
2023-01-17,34.9,22.0,0.24,75.8,10.7
2023-01-18,34.5,19.9,0,62.3,7.8
2023-01-19,33.4,24.4,0.23,79.7,7.0
2023-01-20,34.2,17.0,0.35,47.4,11.3
2023-01-21,35.0,20.3,0,67.0,2.3
2023-01-22,31.7,20.3,0.66,55.3,10.9
2023-01-23,36.3,17.0,0.34,58.4,16.8
2023-01-24,34.0,20.1,0.07,76.4,12.9
2023-01-25,34.1,18.7,0,38.5,4.5
2023-01-26,31.0,18.1,0,56.9,4.7
2023-01-27,32.8,22.5,0.28,42.1,4.1
2023-01-28,32.4,23.2,0.68,44.7,15.3
2023-01-29,37.0,17.7,0.19,65.5,6.4
2023-01-30,32.7,16.2,0.0,52.3,9.8
2023-01-31,38.2,16.4,0.66,67.0,10.9
2023-02-01,43.8,18.7,0.32,86.6,9.6
2023-02-02,37.7,24.9,0,38.7,7.8
2023-02-03,40.9,24.3,0.39,45.5,6.6
2023-02-04,37.9,22.4,0.27,70.2,12.5
2023-02-05,,22.1,0.07,61.6,9.3
2023-02-06,41.0,20.6,0,59.6,15.2
2023-02-07,39.2,22.8,0,69.3,2.1
2023-02-08,40.1,30.0,0.21,68.0,4.8
2023-02-09,36.1,24.4,0.55,58.4,10.0
2023-02-10,36.5,28.6,0,81.9,3.7
2023-02-11,41.8,24.7,0,20,7.8
2023-02-12,40.7,21.1,0.43,58.4,5.2
2023-02-13,41.7,21.0,0.44,36.3,9.8
2023-02-14,43.1,29.0,0,69.2,13.5
2023-02-15,42.4,25.3,0.18,46.9,7.8
2023-02-16,40.8,24.0,0.37,88.4,11.6
2023-02-17,38.0,23.5,0.22,53.5,9.3
2023-02-18,38.2,26.7,0.41,63.1,3.5
2023-02-19,35.0,22.3,0.13,50.9,8.4
2023-02-20,41.3,23.3,0,74.4,7.1
2023-02-21,35.1,25.2,0.22,51.5,5.5
2023-02-22,36.3,25.9,0,52.3,6.7
2023-02-23,42.3,27.7,0,86.7,11.7
2023-02-24,44.5,30.6,0.11,51.1,9.6
2023-02-25,40.9,20.7,0,76.2,16.0
2023-02-26,44.9,30.5,0.26,58.3,7.3
2023-02-27,40.5,26.0,0.38,79.0,5.7
2023-02-28,41.1,25.1,0,63.4,6.4
2023-03-01,41.1,32.1,0.19,71.1,5.3
2023-03-02,,32.9,0.09,72.3,6.5
2023-03-03,48.4,26.9,0.2,65.3,1.6
2023-03-04,49.9,31.5,0.08,53.3,8.4
2023-03-05,48.0,31.0,0.11,53.3,8.1
2023-03-06,43.6,32.9,0.03,37.8,2.3
2023-03-07,44.0,35.9,0.08,74.7,12.2
2023-03-08,47.0,31.2,0,68.3,7.2
2023-03-09,46.8,25.1,0,69.7,14.0
2023-03-10,49.2,31.4,0.2,56.1,8.6
2023-03-11,46.8,29.6,0,51.0,13.9
2023-03-12,41.0,29.0,0.06,60.1,11.7
2023-03-13,45.6,29.5,0.53,67.2,12.3
2023-03-14,44.9,32.7,0.61,64.7,7.8
2023-03-15,42.3,30.7,0.22,44.5,10.7
2023-03-16,41.0,27.9,0,59.7,8.0
2023-03-17,43.0,28.9,0.24,81.6,11.6
2023-03-18,45.6,31.2,0.03,38.4,9.0
2023-03-19,42.2,26.5,0.49,26.0,6.7
2023-03-20,41.4,34.7,0.47,58.7,6.1
2023-03-21,43.9,25.4,0.21,36.6,11.2
2023-03-22,47.7,28.8,0.31,39.6,0
2023-03-23,40.5,32.3,0.3,45.4,0
2023-03-24,41.3,27.0,0.08,34.9,3.1
2023-03-25,49.2,26.8,0.01,98.2,12.3
2023-03-26,47.5,26.8,0.06,51.1,0.4
2023-03-27,42.0,29.4,0.05,73.4,2.7
2023-03-28,46.9,28.9,0,70.5,10.5
2023-03-29,44.2,29.8,0.25,49.7,12.2
2023-03-30,46.7,31.7,0,60.0,5.6
2023-03-31,46.9,25.4,0.12,56.2,8.7
2023-04-01,52.4,31.7,0,62.0,15.0
2023-04-02,,32.7,0.91,49.0,6.1
2023-04-03,52.8,36.0,0.47,75.9,0.3
2023-04-04,50.5,33.1,0.25,21.8,7.3
2023-04-05,50.1,37.5,0.3,42.8,10.2
2023-04-06,48.3,38.7,0.22,67.2,7.4
2023-04-07,49.9,33.8,0.21,43.5,13.4
2023-04-08,45.7,38.2,0,69.4,10.4
2023-04-09,47.2,37.9,0.24,20,5.4
2023-04-10,51.7,39.6,0.46,48.3,0.7
2023-04-11,54.4,30.2,0,48.2,7.2
2023-04-12,53.0,35.9,0.74,68.7,9.7
2023-04-13,50.4,27.5,0.46,80.5,10.4
2023-04-14,46.0,36.0,0,20.8,8.9
2023-04-15,49.6,37.5,0,64.3,8.7
2023-04-16,47.3,32.8,0,73.7,7.3
2023-04-17,51.2,35.1,0.14,40.0,4.8
2023-04-18,52.9,37.7,0.56,73.2,4.3
2023-04-19,46.4,34.0,0.23,65.5,3.2
2023-04-20,54.1,35.0,0.08,45.6,12.8
2023-04-21,51.0,40.2,0.0,72.1,6.9
2023-04-22,49.1,37.4,0,59.3,9.4
2023-04-23,53.5,34.1,0.68,100,2.7
2023-04-24,45.7,34.7,0.07,42.9,7.0
2023-04-25,54.0,32.7,0.26,40.2,9.7
2023-04-26,48.6,33.2,0.09,60.6,8.1
2023-04-27,46.3,33.0,0.33,72.0,4.9
2023-04-28,46.8,35.1,0.44,35.1,11.2
2023-04-29,45.8,36.3,0.41,56.2,8.0
2023-04-30,54.1,34.4,0,45.2,1.2
2023-05-01,57.3,36.0,0.21,42.5,9.1
2023-05-02,58.5,40.2,0,54.1,3.7
2023-05-03,59.7,39.8,0.09,45.9,8.4
2023-05-04,53.7,41.6,0.3,91.5,5.1
2023-05-05,53.2,36.4,0.38,32.0,7.0
2023-05-06,51.7,40.5,0,76.4,10.5
2023-05-07,53.5,42.0,0,42.9,8.4
2023-05-08,51.7,41.1,0,51.9,9.5
2023-05-09,58.1,44.0,0.38,43.0,8.5
2023-05-10,50.2,33.9,0,56.0,7.2
2023-05-11,,45.2,0.06,44.3,5.0
2023-05-12,52.8,35.9,0,74.8,9.6
2023-05-13,58.2,35.1,0,53.7,5.4
2023-05-14,55.9,38.8,0.01,64.7,10.3
2023-05-15,51.0,43.4,0.69,56.8,7.3
2023-05-16,54.8,41.6,0,43.0,13.5
2023-05-17,50.4,41.5,0,63.5,15.1
2023-05-18,57.4,40.7,0.08,53.6,11.0
2023-05-19,58.8,41.6,0.37,68.8,13.8
2023-05-20,50.1,44.7,0.02,47.9,6.5
2023-05-21,54.2,35.6,0.25,56.4,14.0
2023-05-22,54.8,36.4,0,56.1,6.7
2023-05-23,56.6,37.9,0.38,38.0,10.0
2023-05-24,,41.3,0,37.8,13.5
2023-05-25,59.3,43.2,0.78,69.8,9.1
2023-05-26,59.8,41.8,0,56.9,0.1
2023-05-27,52.0,41.6,0,64.1,4.9
2023-05-28,52.3,37.9,0.34,62.5,10.3
2023-05-29,54.0,42.0,0.12,35.6,7.3
2023-05-30,58.3,44.6,0,91.5,7.1
2023-05-31,52.6,38.7,0.52,64.6,9.0
2023-06-01,64.6,44.2,0.27,41.9,4.4
2023-06-02,64.6,42.2,0,40.7,9.3
2023-06-03,61.3,52.3,0.02,,4.0
2023-06-04,57.5,39.2,0.81,47.2,1.4
2023-06-05,58.5,47.6,0.03,96.1,4.4
2023-06-06,63.7,40.9,0,63.3,10.9
2023-06-07,64.2,50.0,0,42.3,8.4
2023-06-08,59.9,46.7,0,84.1,3.1
2023-06-09,57.8,39.2,0.03,57.7,9.4
2023-06-10,61.9,44.1,0,83.0,7.1
2023-06-11,57.1,50.4,0,78.4,7.7
2023-06-12,58.7,43.9,0.5,65.7,14.0
2023-06-13,56.8,45.0,0,55.0,10.6
2023-06-14,56.5,48.9,0.26,76.0,13.8
2023-06-15,63.5,40.1,0.02,34.1,6.4
