incident_id,date,crime_type
10097,2022-01-04,ASSAULT
10098,01/04/2022,DRUG OFFENSE
10099,2022-01-04,THEFT
10100,01/04/2022,BURGLARY
10101,04-Jan-2022,VANDALISM
10102,01/04/2022,ROBBERY
10103,01/04/2022,OTHER
10104,01/04/2022,ASSAULT
10105,04-Jan-2022,VANDALISM
10106,2022-01-04,ASSAULT
10107,01/04/2022,OTHER
10108,2022-01-04,DRUG OFFENSE
10109,01/04/2022,FRAUD
10110,01/04/2022,BURGLARY
10111,04-Jan-2022,ROBBERY
10112,2022-01-04,ROBBERY
10113,01/04/2022,THEFT
10114,2022-01-04,FRAUD
10115,04-Jan-2022,ROBBERY
10116,04-Jan-2022,DRUG OFFENSE
10117,01/04/2022,VANDALISM
10118,01/04/2022,FRAUD
10119,04-Jan-2022,THEFT
10120,01/05/2022,DRUG OFFENSE
10121,01/05/2022,ROBBERY
10122,2022-01-05,OTHER
10123,05-Jan-2022,OTHER
10124,01/05/2022,BURGLARY
10125,2022-01-05,FRAUD
10126,01/05/2022,FRAUD
10127,01/05/2022,ROBBERY
10128,01/05/2022,THEFT
10129,2022-01-05,ASSAULT
10130,2022-01-05,ASSAULT
10131,01/05/2022,DRUG OFFENSE
10132,2022-01-05,BURGLARY
10133,01/05/2022,THEFT
10134,01/05/2022,ASSAULT
10135,01/05/2022,ASSAULT
10136,2022-01-05,OTHER
10137,01/05/2022,DRUG OFFENSE
10138,01/05/2022,BURGLARY
10139,01/05/2022,ASSAULT
10140,01/05/2022,THEFT
10141,2022-01-05,ROBBERY
10142,01/05/2022,DRUG OFFENSE
10143,01/06/2022,BURGLARY
10144,01/06/2022,THEFT
10145,01/06/2022,DRUG OFFENSE
10146,2022-01-06,ROBBERY
10147,01/06/2022,ASSAULT
10148,01/06/2022,ROBBERY
10149,2022-01-06,BURGLARY
10150,06-Jan-2022,VANDALISM
10151,01/06/2022,FRAUD
10152,06-Jan-2022,BURGLARY
10153,01/06/2022,VANDALISM
10154,06-Jan-2022,THEFT
10155,2022-01-06,THEFT
10156,2022-01-06,BURGLARY
10157,06-Jan-2022,ASSAULT
10158,01/06/2022,ROBBERY
10159,01/06/2022,ASSAULT
10160,2022-01-06,FRAUD
10161,01/06/2022,BURGLARY
10162,06-Jan-2022,VANDALISM
10163,2022-01-06,BURGLARY
10164,01/06/2022,ASSAULT
10165,01/06/2022,ASSAULT
10166,01/06/2022,ASSAULT
10167,01/06/2022,VANDALISM
10168,06-Jan-2022,VANDALISM
10169,2022-01-06,ASSAULT
10170,01/06/2022,FRAUD
10171,2022-01-06,VANDALISM
10172,06-Jan-2022,ASSAULT
10173,06-Jan-2022,OTHER
10174,2022-01-07,BURGLARY
10175,2022-01-07,THEFT
10176,2022-01-07,THEFT
10177,01/07/2022,ASSAULT
10178,07-Jan-2022,VANDALISM
10179,2022-01-07,DRUG OFFENSE
10180,01/07/2022,THEFT
10181,01/07/2022,DRUG OFFENSE
10182,07-Jan-2022,THEFT
10183,2022-01-07,ROBBERY
10184,07-Jan-2022,FRAUD
10185,01/07/2022,VANDALISM
10186,2022-01-07,ROBBERY
10187,01/07/2022,DRUG OFFENSE
10188,01/07/2022,BURGLARY
10189,07-Jan-2022,THEFT
10190,07-Jan-2022,ASSAULT
10191,07-Jan-2022,DRUG OFFENSE
10192,07-Jan-2022,DRUG OFFENSE
10193,07-Jan-2022,ASSAULT
10194,07-Jan-2022,ASSAULT
10195,2022-01-07,VANDALISM
10196,01/07/2022,THEFT
10197,2022-01-07,ASSAULT
10198,07-Jan-2022,DRUG OFFENSE
10199,01/07/2022,DRUG OFFENSE
10200,2022-01-07,BURGLARY
10201,2022-01-07,DRUG OFFENSE
10202,01/07/2022,THEFT
10203,07-Jan-2022,BURGLARY
10204,01/07/2022,VANDALISM
10205,2022-01-07,DRUG OFFENSE
10206,07-Jan-2022,BURGLARY
10207,07-Jan-2022,ASSAULT
10208,08-Jan-2022,BURGLARY
10209,08-Jan-2022,ASSAULT
10210,01/08/2022,OTHER
10211,2022-01-08,VANDALISM
10212,08-Jan-2022,VANDALISM
10213,01/08/2022,FRAUD
10214,01/08/2022,THEFT
10215,2022-01-08,ASSAULT
10216,08-Jan-2022,DRUG OFFENSE
10217,01/08/2022,ASSAULT
10218,08-Jan-2022,DRUG OFFENSE
10219,2022-01-08,ASSAULT
10220,08-Jan-2022,ROBBERY
10221,01/08/2022,OTHER
10222,08-Jan-2022,DRUG OFFENSE
10223,01/08/2022,VANDALISM
10224,01/08/2022,OTHER
10225,08-Jan-2022,ASSAULT
10226,01/08/2022,BURGLARY
10227,01/08/2022,THEFT
10228,2022-01-08,BURGLARY
10229,08-Jan-2022,BURGLARY
10230,2022-01-08,BURGLARY
10231,2022-01-08,THEFT
10232,01/08/2022,OTHER
10233,08-Jan-2022,DRUG OFFENSE
10234,01/08/2022,DRUG OFFENSE
10235,08-Jan-2022,DRUG OFFENSE
10236,2022-01-08,FRAUD
10237,2022-01-08,THEFT
10238,09-Jan-2022,OTHER
10239,2022-01-09,FRAUD
10240,2022-01-09,BURGLARY
10241,09-Jan-2022,OTHER
10242,09-Jan-2022,FRAUD
10243,2022-01-09,VANDALISM
10244,2022-01-09,VANDALISM
10245,01/09/2022,THEFT
10246,2022-01-09,BURGLARY
10247,2022-01-09,OTHER
10248,01/09/2022,OTHER
10249,01/09/2022,ROBBERY
10250,01/09/2022,ROBBERY
10251,2022-01-09,DRUG OFFENSE
10252,01/09/2022,ASSAULT
10253,01/09/2022,DRUG OFFENSE
10254,01/09/2022,VANDALISM
10255,01/09/2022,ASSAULT
10256,01/09/2022,ROBBERY
10257,09-Jan-2022,ASSAULT
10258,2022-01-09,OTHER
10259,2022-01-09,OTHER
10260,09-Jan-2022,ASSAULT
10261,01/09/2022,DRUG OFFENSE
10262,01/09/2022,FRAUD
10263,01/09/2022,ASSAULT
10264,01/09/2022,BURGLARY
10265,01/09/2022,OTHER
10266,01/09/2022,FRAUD
10267,2022-01-09,ROBBERY
10268,01/09/2022,VANDALISM
10269,01/09/2022,OTHER
10270,10-Jan-2022,THEFT
10271,01/10/2022,ROBBERY
10272,10-Jan-2022,OTHER
10273,01/10/2022,BURGLARY
10274,2022-01-10,OTHER
10275,10-Jan-2022,OTHER
10276,2022-01-10,DRUG OFFENSE
10277,10-Jan-2022,DRUG OFFENSE
10278,01/10/2022,FRAUD
10279,01/10/2022,BURGLARY
10280,01/10/2022,THEFT
10281,2022-01-10,DRUG OFFENSE
10282,10-Jan-2022,VANDALISM
10283,2022-01-10,BURGLARY
10284,10-Jan-2022,DRUG OFFENSE
10285,2022-01-10,DRUG OFFENSE
10286,2022-01-10,BURGLARY
10287,01/10/2022,BURGLARY
10288,2022-01-10,VANDALISM
10289,10-Jan-2022,VANDALISM
10290,01/10/2022,ROBBERY
10291,2022-01-10,THEFT
10292,2022-01-10,ROBBERY
10293,10-Jan-2022,BURGLARY
10294,01/10/2022,BURGLARY
10295,01/10/2022,ASSAULT
10296,01/10/2022,FRAUD
10297,2022-01-10,BURGLARY
10298,10-Jan-2022,ASSAULT
10299,2022-01-10,ROBBERY
10300,01/10/2022,BURGLARY
10301,01/10/2022,VANDALISM
10302,10-Jan-2022,BURGLARY
10303,2022-01-10,THEFT
10304,01/11/2022,BURGLARY
10305,11-Jan-2022,VANDALISM
10306,11-Jan-2022,BURGLARY
10307,01/11/2022,ROBBERY
10308,01/11/2022,BURGLARY
10309,01/11/2022,ASSAULT
10310,2022-01-11,BURGLARY
10311,01/11/2022,DRUG OFFENSE
10312,2022-01-11,ROBBERY
10313,2022-01-11,ASSAULT
10314,01/11/2022,VANDALISM
10315,11-Jan-2022,BURGLARY
10316,11-Jan-2022,THEFT
10317,11-Jan-2022,DRUG OFFENSE
10318,01/11/2022,ASSAULT
10319,2022-01-11,FRAUD
10320,01/11/2022,VANDALISM
10321,2022-01-11,OTHER
10322,01/11/2022,FRAUD
10323,2022-01-11,OTHER
10324,2022-01-11,OTHER
10325,01/11/2022,ASSAULT
10326,12-Jan-2022,FRAUD
10327,2022-01-12,VANDALISM
10328,2022-01-12,THEFT
10329,2022-01-12,OTHER
10330,01/12/2022,ROBBERY
10331,01/12/2022,FRAUD
10332,12-Jan-2022,OTHER
10333,2022-01-12,ROBBERY
10334,01/12/2022,DRUG OFFENSE
10335,12-Jan-2022,FRAUD
10336,2022-01-12,DRUG OFFENSE
10337,2022-01-12,THEFT
10338,01/12/2022,OTHER
10339,01/12/2022,ROBBERY
10340,12-Jan-2022,FRAUD
10341,2022-01-12,FRAUD
10342,01/12/2022,OTHER
10343,01/12/2022,THEFT
10344,01/12/2022,VANDALISM
10345,01/12/2022,VANDALISM
10346,12-Jan-2022,BURGLARY
10347,01/12/2022,BURGLARY
10348,01/12/2022,BURGLARY
10349,12-Jan-2022,VANDALISM
10350,01/12/2022,THEFT
10351,01/12/2022,DRUG OFFENSE
10352,2022-01-12,FRAUD
10353,2022-01-12,OTHER
10354,2022-01-12,ASSAULT
10355,01/12/2022,DRUG OFFENSE
10356,2022-01-12,OTHER
10357,01/12/2022,THEFT
10358,2022-01-12,BURGLARY
10359,2022-01-13,FRAUD
10360,01/13/2022,ROBBERY
10361,01/13/2022,ASSAULT
10362,2022-01-13,OTHER
10363,01/13/2022,ROBBERY
10364,13-Jan-2022,DRUG OFFENSE
10365,2022-01-13,ROBBERY
10366,2022-01-13,ROBBERY
10367,01/13/2022,OTHER
10368,01/13/2022,DRUG OFFENSE
10369,01/13/2022,ROBBERY
10370,13-Jan-2022,FRAUD
10371,13-Jan-2022,ASSAULT
10372,01/13/2022,THEFT
10373,2022-01-13,THEFT
10374,2022-01-13,FRAUD
10375,13-Jan-2022,ROBBERY
10376,2022-01-13,VANDALISM
10377,01/13/2022,VANDALISM
10378,01/13/2022,FRAUD
10379,13-Jan-2022,OTHER
10380,2022-01-13,VANDALISM
10381,01/13/2022,FRAUD
10382,13-Jan-2022,OTHER
10383,13-Jan-2022,BURGLARY
10384,01/13/2022,FRAUD
10385,2022-01-13,OTHER
10386,01/13/2022,THEFT
10387,01/13/2022,ROBBERY
10388,01/13/2022,BURGLARY
10389,01/13/2022,DRUG OFFENSE
10390,01/13/2022,DRUG OFFENSE
10391,2022-01-13,ROBBERY
10392,13-Jan-2022,ROBBERY
10393,01/13/2022,ROBBERY
10394,01/14/2022,OTHER
10395,2022-01-14,ROBBERY
10396,2022-01-14,ASSAULT
10397,14-Jan-2022,DRUG OFFENSE
10398,01/14/2022,DRUG OFFENSE
10399,01/14/2022,ROBBERY
10400,01/14/2022,THEFT
10401,14-Jan-2022,DRUG OFFENSE
10402,01/14/2022,ASSAULT
10403,14-Jan-2022,THEFT
10404,01/14/2022,DRUG OFFENSE
10405,01/14/2022,ASSAULT
10406,2022-01-14,ROBBERY
10407,2022-01-14,ROBBERY
10408,14-Jan-2022,ROBBERY
10409,2022-01-14,BURGLARY
10410,14-Jan-2022,OTHER
10411,01/14/2022,ROBBERY
10412,14-Jan-2022,ASSAULT
10413,14-Jan-2022,FRAUD
10414,01/14/2022,ASSAULT
10415,2022-01-14,OTHER
10416,01/14/2022,BURGLARY
10417,01/14/2022,ROBBERY
10418,2022-01-14,VANDALISM
10419,01/14/2022,ROBBERY
10420,01/14/2022,VANDALISM
10421,2022-01-14,FRAUD
10422,01/14/2022,VANDALISM
10423,14-Jan-2022,ASSAULT
10424,14-Jan-2022,ASSAULT
10425,01/14/2022,DRUG OFFENSE
10426,14-Jan-2022,FRAUD
10427,2022-01-14,ROBBERY
10428,01/15/2022,ASSAULT
10429,01/15/2022,OTHER
10430,15-Jan-2022,THEFT
10431,15-Jan-2022,ROBBERY
10432,01/15/2022,BURGLARY
10433,15-Jan-2022,BURGLARY
10434,2022-01-15,VANDALISM
10435,01/15/2022,OTHER
10436,01/15/2022,ASSAULT
10437,01/15/2022,ASSAULT
10438,01/15/2022,OTHER
10439,2022-01-15,BURGLARY
10440,15-Jan-2022,VANDALISM
10441,15-Jan-2022,FRAUD
10442,01/15/2022,VANDALISM
10443,2022-01-15,ROBBERY
10444,01/15/2022,ASSAULT
10445,2022-01-15,ROBBERY
10446,01/15/2022,DRUG OFFENSE
10447,15-Jan-2022,VANDALISM
10448,2022-01-15,THEFT
10449,01/15/2022,BURGLARY
10450,01/15/2022,DRUG OFFENSE
10451,2022-01-15,OTHER
10452,01/15/2022,VANDALISM
10453,01/15/2022,ROBBERY
10454,01/15/2022,VANDALISM
10455,2022-01-15,FRAUD
10456,01/15/2022,ASSAULT
10457,2022-01-15,THEFT
10458,15-Jan-2022,DRUG OFFENSE
10459,2022-01-15,VANDALISM
10460,2022-01-15,OTHER
10461,01/15/2022,ASSAULT
10462,15-Jan-2022,BURGLARY
10463,01/15/2022,BURGLARY
10464,01/15/2022,VANDALISM
10465,2022-01-15,FRAUD
10466,2022-01-15,OTHER
10467,2022-01-15,THEFT
10468,01/15/2022,DRUG OFFENSE
10469,01/15/2022,VANDALISM
10470,2022-01-15,THEFT
10471,01/16/2022,OTHER
10472,01/16/2022,THEFT
10473,2022-01-16,BURGLARY
10474,01/16/2022,ASSAULT
10475,2022-01-16,OTHER
10476,01/16/2022,BURGLARY
10477,16-Jan-2022,BURGLARY
10478,01/16/2022,THEFT
10479,01/16/2022,ASSAULT
10480,16-Jan-2022,OTHER
10481,01/16/2022,FRAUD
10482,2022-01-16,DRUG OFFENSE
10483,01/16/2022,VANDALISM
10484,2022-01-16,DRUG OFFENSE
10485,2022-01-16,THEFT
10486,2022-01-16,VANDALISM
10487,2022-01-16,DRUG OFFENSE
10488,16-Jan-2022,OTHER
10489,16-Jan-2022,OTHER
10490,16-Jan-2022,ASSAULT
10491,16-Jan-2022,OTHER
10492,01/16/2022,ROBBERY
10493,01/16/2022,THEFT
10494,16-Jan-2022,OTHER
10495,16-Jan-2022,THEFT
10496,2022-01-16,OTHER
10497,01/16/2022,DRUG OFFENSE
10498,01/16/2022,DRUG OFFENSE
10499,01/16/2022,ROBBERY
10500,16-Jan-2022,ROBBERY
10501,01/16/2022,ROBBERY
10502,01/16/2022,DRUG OFFENSE
10503,2022-01-16,BURGLARY
10504,2022-01-16,VANDALISM
10505,2022-01-16,FRAUD
10506,16-Jan-2022,FRAUD
10507,01/16/2022,OTHER
10508,16-Jan-2022,BURGLARY
10509,01/16/2022,ASSAULT
10510,17-Jan-2022,THEFT
10511,01/17/2022,ASSAULT
10512,2022-01-17,FRAUD
10513,01/17/2022,BURGLARY
10514,17-Jan-2022,BURGLARY
10515,01/17/2022,THEFT
10516,01/17/2022,VANDALISM
10517,2022-01-17,ASSAULT
10518,17-Jan-2022,ASSAULT
10519,01/17/2022,ROBBERY
10520,2022-01-17,OTHER
10521,17-Jan-2022,VANDALISM
10522,17-Jan-2022,VANDALISM
10523,2022-01-17,ROBBERY
10524,01/17/2022,DRUG OFFENSE
10525,2022-01-17,BURGLARY
10526,01/17/2022,OTHER
10527,01/17/2022,FRAUD
10528,01/17/2022,THEFT
10529,2022-01-17,BURGLARY
10530,01/17/2022,FRAUD
10531,17-Jan-2022,FRAUD
10532,01/17/2022,THEFT
10533,2022-01-17,BURGLARY
10534,2022-01-17,ROBBERY
10535,17-Jan-2022,ROBBERY
10536,2022-01-17,ROBBERY
10537,2022-01-17,OTHER
10538,17-Jan-2022,DRUG OFFENSE
10539,17-Jan-2022,OTHER
10540,17-Jan-2022,ASSAULT
10541,18-Jan-2022,VANDALISM
10542,01/18/2022,ASSAULT
10543,01/18/2022,ASSAULT
10544,01/18/2022,OTHER
10545,18-Jan-2022,FRAUD
10546,01/18/2022,ROBBERY
10547,01/18/2022,DRUG OFFENSE
10548,01/18/2022,DRUG OFFENSE
10549,2022-01-18,OTHER
10550,01/18/2022,ROBBERY
10551,2022-01-18,ROBBERY
10552,18-Jan-2022,THEFT
10553,2022-01-18,BURGLARY
10554,18-Jan-2022,THEFT
10555,2022-01-18,ROBBERY
10556,01/18/2022,BURGLARY
10557,2022-01-18,BURGLARY
10558,18-Jan-2022,ASSAULT
10559,18-Jan-2022,ASSAULT
10560,01/18/2022,ASSAULT
10561,01/18/2022,ASSAULT
10562,2022-01-18,OTHER
10563,01/18/2022,THEFT
10564,2022-01-18,ASSAULT
10565,18-Jan-2022,DRUG OFFENSE
10566,18-Jan-2022,ROBBERY
10567,18-Jan-2022,ASSAULT
10568,18-Jan-2022,DRUG OFFENSE
10569,01/19/2022,ASSAULT
10570,2022-01-19,OTHER
10571,01/19/2022,DRUG OFFENSE
10572,01/19/2022,ROBBERY
10573,01/19/2022,FRAUD
10574,19-Jan-2022,ASSAULT
10575,2022-01-19,DRUG OFFENSE
10576,2022-01-19,VANDALISM
10577,19-Jan-2022,OTHER
10578,2022-01-19,FRAUD
10579,2022-01-19,DRUG OFFENSE
10580,2022-01-19,OTHER
10581,19-Jan-2022,FRAUD
10582,2022-01-19,ROBBERY
10583,01/19/2022,DRUG OFFENSE
10584,01/19/2022,FRAUD
10585,19-Jan-2022,ASSAULT
10586,19-Jan-2022,FRAUD
10587,2022-01-19,DRUG OFFENSE
10588,2022-01-19,BURGLARY
10589,2022-01-19,THEFT
10590,2022-01-19,DRUG OFFENSE
10591,2022-01-19,VANDALISM
10592,2022-01-19,ASSAULT
10593,01/20/2022,ASSAULT
10594,2022-01-20,FRAUD
10595,2022-01-20,DRUG OFFENSE
10596,2022-01-20,ROBBERY
10597,01/20/2022,VANDALISM
10598,01/20/2022,DRUG OFFENSE
10599,01/20/2022,THEFT
10600,20-Jan-2022,ROBBERY
10601,2022-01-20,THEFT
10602,20-Jan-2022,DRUG OFFENSE
10603,2022-01-20,ASSAULT
10604,01/20/2022,ASSAULT
10605,20-Jan-2022,THEFT
10606,01/20/2022,BURGLARY
10607,2022-01-20,VANDALISM
10608,2022-01-20,FRAUD
10609,01/20/2022,ASSAULT
10610,01/20/2022,DRUG OFFENSE
10611,2022-01-20,ROBBERY
10612,01/20/2022,BURGLARY
10613,01/20/2022,DRUG OFFENSE
10614,01/20/2022,BURGLARY
10615,01/20/2022,FRAUD
10616,2022-01-20,DRUG OFFENSE
10617,01/20/2022,FRAUD
10618,20-Jan-2022,FRAUD
10619,01/20/2022,ROBBERY
10620,2022-01-20,FRAUD
10621,01/20/2022,OTHER
10622,01/20/2022,THEFT
10623,01/20/2022,BURGLARY
10624,21-Jan-2022,ROBBERY
10625,21-Jan-2022,THEFT
10626,01/21/2022,BURGLARY
10627,01/21/2022,ASSAULT
10628,2022-01-21,ROBBERY
10629,2022-01-21,THEFT
10630,21-Jan-2022,FRAUD
10631,21-Jan-2022,ASSAULT
10632,01/21/2022,DRUG OFFENSE
10633,01/21/2022,THEFT
10634,21-Jan-2022,THEFT
10635,21-Jan-2022,VANDALISM
10636,01/21/2022,OTHER
10637,21-Jan-2022,OTHER
10638,21-Jan-2022,FRAUD
10639,01/21/2022,FRAUD
10640,01/21/2022,OTHER
10641,2022-01-21,FRAUD
10642,21-Jan-2022,THEFT
10643,01/21/2022,OTHER
10644,21-Jan-2022,OTHER
10645,21-Jan-2022,BURGLARY
10646,21-Jan-2022,FRAUD
10647,2022-01-21,OTHER
10648,01/21/2022,FRAUD
10649,21-Jan-2022,VANDALISM
10650,21-Jan-2022,FRAUD
10651,21-Jan-2022,DRUG OFFENSE
10652,2022-01-21,BURGLARY
10653,22-Jan-2022,BURGLARY
10654,22-Jan-2022,ASSAULT
10655,22-Jan-2022,VANDALISM
10656,01/22/2022,VANDALISM
10657,01/22/2022,ASSAULT
10658,2022-01-22,BURGLARY
10659,01/22/2022,FRAUD
10660,22-Jan-2022,VANDALISM
10661,01/22/2022,FRAUD
10662,22-Jan-2022,DRUG OFFENSE
10663,22-Jan-2022,DRUG OFFENSE
10664,01/22/2022,VANDALISM
10665,22-Jan-2022,BURGLARY
10666,01/22/2022,OTHER
10667,22-Jan-2022,FRAUD
10668,2022-01-22,OTHER
10669,22-Jan-2022,ASSAULT
10670,2022-01-22,FRAUD
10671,2022-01-22,VANDALISM
10672,01/22/2022,ROBBERY
10673,01/22/2022,BURGLARY
10674,01/22/2022,VANDALISM
10675,01/22/2022,VANDALISM
10676,01/22/2022,ASSAULT
10677,2022-01-22,ASSAULT
10678,2022-01-22,THEFT
10679,22-Jan-2022,ASSAULT
10680,2022-01-22,ROBBERY
10681,01/22/2022,ASSAULT
10682,01/22/2022,VANDALISM
10683,2022-01-22,ASSAULT
10684,2022-01-23,OTHER
10685,2022-01-23,FRAUD
10686,2022-01-23,DRUG OFFENSE
10687,2022-01-23,OTHER
10688,01/23/2022,OTHER
10689,23-Jan-2022,THEFT
10690,23-Jan-2022,VANDALISM
10691,01/23/2022,ASSAULT
10692,2022-01-23,ASSAULT
10693,01/23/2022,THEFT
10694,01/23/2022,ASSAULT
10695,2022-01-23,ROBBERY
10696,23-Jan-2022,THEFT
10697,23-Jan-2022,ROBBERY
10698,01/23/2022,OTHER
10699,23-Jan-2022,ASSAULT
10700,2022-01-23,OTHER
10701,2022-01-23,ROBBERY
10702,23-Jan-2022,FRAUD
10703,2022-01-23,VANDALISM
10704,01/23/2022,FRAUD
10705,2022-01-23,OTHER
10706,2022-01-24,ROBBERY
10707,2022-01-24,DRUG OFFENSE
10708,2022-01-24,ROBBERY
10709,2022-01-24,ROBBERY
10710,2022-01-24,BURGLARY
10711,2022-01-24,DRUG OFFENSE
10712,2022-01-24,BURGLARY
10713,24-Jan-2022,FRAUD
10714,2022-01-24,BURGLARY
10715,2022-01-24,FRAUD
10716,24-Jan-2022,FRAUD
10717,01/24/2022,VANDALISM
10718,01/24/2022,BURGLARY
10719,2022-01-24,DRUG OFFENSE
10720,01/24/2022,ROBBERY
10721,2022-01-24,FRAUD
10722,2022-01-24,VANDALISM
10723,2022-01-24,OTHER
10724,01/24/2022,ASSAULT
10725,24-Jan-2022,ASSAULT
10726,01/24/2022,ROBBERY
10727,2022-01-24,BURGLARY
10728,01/24/2022,DRUG OFFENSE
10729,01/24/2022,OTHER
10730,2022-01-24,OTHER
10731,2022-01-24,BURGLARY
10732,2022-01-24,THEFT
10733,2022-01-24,FRAUD
10734,01/24/2022,VANDALISM
10735,01/24/2022,OTHER
10736,24-Jan-2022,VANDALISM
10737,01/24/2022,BURGLARY
10738,24-Jan-2022,ASSAULT
10739,01/25/2022,FRAUD
10740,2022-01-25,ROBBERY
10741,25-Jan-2022,OTHER
10742,25-Jan-2022,THEFT
10743,2022-01-25,ROBBERY
10744,01/25/2022,FRAUD
10745,01/25/2022,OTHER
10746,01/25/2022,VANDALISM
10747,25-Jan-2022,FRAUD
10748,25-Jan-2022,DRUG OFFENSE
10749,2022-01-25,BURGLARY
10750,2022-01-25,ASSAULT
10751,01/25/2022,ASSAULT
10752,25-Jan-2022,OTHER
10753,25-Jan-2022,ASSAULT
10754,25-Jan-2022,DRUG OFFENSE
10755,01/25/2022,DRUG OFFENSE
10756,2022-01-25,BURGLARY
10757,2022-01-25,FRAUD
10758,25-Jan-2022,THEFT
10759,01/25/2022,BURGLARY
10760,25-Jan-2022,THEFT
10761,01/25/2022,VANDALISM
10762,01/25/2022,DRUG OFFENSE
10763,25-Jan-2022,BURGLARY
10764,25-Jan-2022,DRUG OFFENSE
10765,25-Jan-2022,THEFT
10766,25-Jan-2022,THEFT
10767,2022-01-25,OTHER
10768,25-Jan-2022,DRUG OFFENSE
10769,2022-01-25,ASSAULT
10770,2022-01-25,BURGLARY
10771,25-Jan-2022,FRAUD
10772,01/25/2022,VANDALISM
10773,2022-01-26,THEFT
10774,2022-01-26,ROBBERY
10775,2022-01-26,VANDALISM
10776,26-Jan-2022,BURGLARY
10777,26-Jan-2022,ROBBERY
10778,26-Jan-2022,THEFT
10779,01/26/2022,BURGLARY
10780,2022-01-26,BURGLARY
10781,26-Jan-2022,ASSAULT
10782,01/26/2022,VANDALISM
10783,26-Jan-2022,ROBBERY
10784,26-Jan-2022,ASSAULT
10785,01/26/2022,BURGLARY
10786,26-Jan-2022,BURGLARY
10787,26-Jan-2022,DRUG OFFENSE
10788,01/26/2022,ASSAULT
10789,2022-01-26,FRAUD
10790,01/26/2022,THEFT
10791,2022-01-26,THEFT
10792,2022-01-26,BURGLARY
10793,01/26/2022,BURGLARY
10794,2022-01-26,BURGLARY
10795,01/26/2022,VANDALISM
10796,2022-01-26,ASSAULT
10797,01/27/2022,BURGLARY
10798,27-Jan-2022,ASSAULT
10799,27-Jan-2022,VANDALISM
