Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
52319.8278,1037.4961,346.241,190.5727,1.813,0.8293,40478.3538,287.2644,0.8235,0.9476,0.8276,0.6721,0.0065,0.0016,0.5613,0.9752,BARBUNYA
52360.4425,1040.753,416.5546,166.0214,2.2539,0.9131,57052.5508,256.8094,0.7276,0.9486,0.6319,0.6445,0.0066,0.0012,0.4294,0.9546,CALI
47620.5716,1059.3523,395.8016,235.0315,1.6096,0.7606,68303.5564,245.9752,0.734,0.9535,0.8191,0.7273,0.0065,0.0023,0.5956,0.9636,BARBUNYA
64890.4914,1008.6481,364.318,195.2977,1.6101,0.8364,52369.1441,248.1402,0.6341,0.9601,0.7389,0.7748,0.0062,0.0014,0.5026,0.9703,BARBUNYA
39847.5127,911.4363,319.2881,186.0961,1.7414,0.8557,56495.6659,278.3925,0.747,0.9744,0.7455,0.6202,0.0068,0.0022,0.4761,0.9637,BARBUNYA
46194.1127,997.6735,342.206,213.9495,2.1088,0.9092,74818.4216,269.2172,0.713,0.9521,0.6935,0.7696,0.0055,0.0021,0.4982,0.9679,BARBUNYA
27206.5194,637.0079,233.6788,157.7341,1.5873,0.7434,29022.9232,184.3466,0.834,0.98,0.763,0.7946,0.0101,0.0026,0.6453,0.9729,SIRA
32998.7228,955.9615,378.886,153.9076,2.6832,0.9169,54043.4001,219.6928,0.6444,0.9671,0.5638,0.6301,0.0089,0.0012,0.4795,0.9571,HOROZ
28924.0977,657.7603,208.5649,166.6878,1.4761,0.5124,20373.7663,187.2066,0.7328,0.9869,0.883,0.847,0.0084,0.0025,0.6879,0.9906,SEKER
22037.6096,623.1139,189.4061,165.0224,1.3616,0.7184,27812.0377,176.0257,0.8037,0.9583,0.8594,0.8339,0.009,0.0027,0.7335,0.9926,SEKER
24382.0869,585.1113,214.3701,155.1181,1.5097,0.6723,21835.1177,194.815,0.8115,0.9677,0.9009,0.8515,0.0071,0.0027,0.6628,0.9868,SEKER
64669.0653,996.1599,404.5206,221.9063,1.8849,0.7678,65048.5342,262.4754,0.7063,0.946,0.7346,0.7566,0.0068,0.0017,0.597,0.9682,BARBUNYA
55434.3434,1047.9573,404.8448,197.6153,2.2697,0.8903,61664.3625,278.5149,0.6944,0.9567,0.5962,0.7064,0.0083,0.0009,0.5124,0.9388,CALI
29901.7111,687.792,216.9878,163.122,1.5012,0.7496,23146.1454,179.6302,0.7984,0.9715,0.84,0.7723,0.0087,0.0028,0.6205,0.9892,DERMASON
62395.0864,1001.314,360.0238,178.2023,2.2833,0.9225,61949.379,260.9264,0.7,0.9451,0.7303,0.6823,0.0072,0.0016,0.4206,0.9547,CALI
56032.1335,1029.3593,311.3522,197.4065,1.8705,0.9116,51791.6697,283.0816,0.6936,0.9493,0.7583,0.6706,0.0064,0.0022,0.4458,0.9566,BARBUNYA
49094.1807,992.2616,340.9968,191.5509,1.7455,0.8109,49962.2282,271.1529,0.7047,0.9518,0.7367,0.757,0.0067,0.0022,0.5342,0.9732,BARBUNYA
51787.435,1047.3415,437.6634,140.1422,2.9371,0.8803,39014.9776,265.0684,0.6178,0.9667,0.558,0.5895,0.0083,0.001,0.306,0.947,HOROZ
51307.6818,1012.8701,415.7431,185.1407,1.8691,0.8452,63735.3193,290.3312,0.6801,0.9584,0.9175,0.7208,0.0055,0.0018,0.5163,0.9683,BARBUNYA
29069.0568,644.9399,224.8905,146.0806,1.3502,0.6818,23557.2997,184.3285,0.7769,0.9723,0.8525,0.7287,0.0075,0.0024,0.6191,0.9732,DERMASON
48733.448,962.207,440.2354,151.9368,2.2382,0.9076,61192.1516,264.5778,0.7138,0.9607,0.7272,0.6949,0.0085,0.0012,0.489,0.9534,CALI
31556.6775,602.4761,238.8164,126.1585,1.5113,0.7126,27596.4776,172.3957,0.8303,0.9706,0.844,0.861,0.0086,0.0027,0.6592,0.9913,DERMASON
93842.0576,1078.4998,413.1373,266.3536,1.6308,0.7997,102272.1402,320.7845,0.7674,0.969,0.8509,0.7661,0.005,0.0014,0.6478,0.9694,BOMBAY
86614.7592,1095.663,471.4475,239.762,1.5613,0.7523,89140.1062,352.8057,0.7125,0.9691,0.8448,0.8289,0.0044,0.0013,0.5936,0.9708,BOMBAY
61610.9623,1088.4986,400.863,172.1858,2.1772,0.8795,42561.4918,247.9352,0.6356,0.9802,0.6694,0.6759,0.0084,0.0017,0.3855,0.9553,CALI
40731.6,871.9025,382.0558,157.4742,2.784,0.9436,49009.6788,232.8985,0.6585,0.9715,0.5808,0.621,0.0088,0.001,0.3946,0.9536,HOROZ
24250.153,602.5987,231.3411,164.3695,1.4582,0.6658,21972.6463,165.9114,0.7527,0.9779,0.9017,0.7955,0.0088,0.0027,0.6679,1.0,SEKER
22287.8587,613.6652,262.1764,177.4476,1.467,0.7479,19013.0111,213.9425,0.7541,0.9824,0.7962,0.7391,0.0097,0.0015,0.6433,0.9819,SIRA
20574.5595,687.5751,191.6476,140.0602,1.6675,0.7484,30550.9327,202.7595,0.7697,0.9802,0.8157,0.8587,0.0093,0.003,0.6802,0.9823,DERMASON
28089.9407,597.0703,263.4637,137.9394,1.6156,0.8625,33639.5347,177.9295,0.749,0.9501,0.7762,0.7256,0.0093,0.0025,0.6064,0.9828,SIRA
24507.0833,660.7913,232.4706,159.3011,1.5579,0.7061,27994.8645,179.1621,0.6342,0.9584,0.8072,0.8355,0.0102,0.0024,0.753,0.9759,SIRA
28349.7551,604.4873,227.1849,152.9693,1.6299,0.5971,23461.0681,191.1677,0.8643,0.9601,0.9432,0.8225,0.0096,0.0027,0.8315,0.9989,SEKER
81692.0389,1175.1328,443.718,254.068,1.7276,0.7731,70089.1163,332.3717,0.7452,0.9713,0.8577,0.788,0.0047,0.0015,0.5461,0.9776,BOMBAY
42837.9224,990.1996,367.2319,153.8486,2.1889,0.9217,60121.2117,253.6927,0.7372,0.9616,0.6825,0.6999,0.0075,0.0006,0.4693,0.9562,CALI
62653.2056,1003.8609,386.2978,196.4161,1.8332,0.8773,63483.5478,273.6831,0.6953,0.9523,0.7221,0.7451,0.0074,0.0015,0.5696,0.974,BARBUNYA
50382.6003,1008.7544,419.5391,210.124,1.8472,0.9129,47018.4618,264.9974,0.6975,0.9686,0.6662,0.6947,0.0094,0.0015,0.4252,0.9736,CALI
21791.6,619.5278,218.1119,156.5514,1.3732,0.766,30313.2861,191.4315,0.7954,0.9636,0.8085,0.8254,0.0075,0.0029,0.6773,0.9949,DERMASON
43795.6927,989.4589,349.0384,168.5656,1.7212,0.7742,54744.039,234.3355,0.7116,0.963,0.7622,0.7187,0.0068,0.0012,0.5912,0.9553,BARBUNYA
56882.3826,966.9799,408.7772,184.0202,2.3025,0.8778,49838.1141,254.3377,0.612,0.9573,0.654,0.6478,0.0067,0.0016,0.4455,0.9628,CALI
90977.6012,1184.228,449.7957,240.2261,1.5823,0.7972,91141.5946,337.738,0.7483,0.9713,0.8874,0.7669,0.0046,0.0013,0.6365,0.9838,BOMBAY
50981.5888,977.8107,446.8932,137.1471,2.8786,0.933,62960.0263,233.0475,0.6149,0.9801,0.561,0.5897,0.0079,0.0012,0.3944,0.9379,HOROZ
40426.3197,1021.7017,396.0584,151.0305,2.8517,0.9248,53821.374,251.4871,0.6871,0.9689,0.5715,0.665,0.0104,0.001,0.3772,0.9459,HOROZ
52718.7723,1092.0107,382.4535,178.9714,2.3698,0.8885,63636.3655,259.101,0.662,0.9673,0.6592,0.6984,0.0067,0.0018,0.5159,0.9676,CALI
47236.0696,1072.9762,390.1433,156.6255,2.3549,0.927,38119.3906,264.0307,0.6843,0.9788,0.5873,0.6862,0.0072,0.0016,0.3883,0.9521,CALI
30360.6637,662.0519,198.0724,141.273,1.5507,0.7706,20606.5047,160.272,0.7079,0.9634,0.8728,0.7783,0.0085,0.0026,0.722,0.9832,DERMASON
45853.7796,990.1277,435.8944,174.2452,2.4279,0.9655,48260.3519,228.0934,0.5827,0.9682,0.5531,0.6045,0.0099,0.0014,0.3473,0.9469,HOROZ
26395.5795,624.2163,235.4954,146.4768,1.8777,0.7496,25146.6843,176.7164,0.7155,0.979,0.852,0.7933,0.009,0.0023,0.6317,0.9686,DERMASON
89683.5202,1184.4576,438.5391,264.8619,1.5382,0.7157,85920.9962,335.7269,0.7179,0.9665,0.8789,0.7888,0.0052,0.0012,0.653,0.9796,BOMBAY
70151.819,1013.4456,420.8998,165.2618,2.4715,0.9102,60597.9497,257.5613,0.6473,0.9523,0.6074,0.7232,0.0072,0.0014,0.4215,0.9473,CALI
34962.1862,936.8228,377.1962,145.1694,2.9243,0.9404,45961.7006,234.9178,0.6576,0.9701,0.5244,0.6776,0.0084,0.0011,0.4095,0.9662,HOROZ
45155.3433,905.203,399.4457,209.9035,1.8077,0.7967,52271.2416,307.9524,0.6931,0.9687,0.7892,0.7509,0.007,0.0017,0.6179,0.9709,BARBUNYA
21075.5264,642.3723,252.8901,152.8564,1.4475,0.7287,24261.1236,181.8064,0.7084,0.9551,0.794,0.8486,0.0088,0.0029,0.6417,0.9856,DERMASON
17669.8978,581.9247,230.8663,165.1035,1.4838,0.6247,27877.8449,155.3486,0.7347,0.9753,0.7827,0.8745,0.0101,0.0021,0.7071,0.9986,SEKER
27929.3636,616.9148,205.0073,148.3016,1.2542,0.7041,23845.4642,173.6472,0.7904,0.9808,0.8286,0.8395,0.0079,0.0029,0.668,0.986,SEKER
24367.447,565.9403,237.1577,165.0019,1.483,0.6973,25272.8984,172.5372,0.7394,0.9659,0.8974,0.8335,0.0086,0.003,0.6973,0.9949,SEKER
87504.3761,1032.7522,397.3941,260.7519,1.7449,0.7902,84168.638,310.3846,0.6781,0.9757,0.8928,0.7602,0.0052,0.0011,0.5727,0.9851,BOMBAY
43177.2298,942.6343,473.5068,162.5851,2.3945,0.9256,30554.2631,247.9057,0.5035,0.9698,0.4767,0.6175,0.0102,0.001,0.4166,0.9286,HOROZ
21821.0139,674.6493,280.0748,131.8606,1.7509,0.8461,28758.5071,191.794,0.6678,0.9743,0.8421,0.782,0.0097,0.0025,0.587,0.9668,SIRA
26344.4719,713.1724,180.7539,166.3434,1.3655,0.675,34516.197,181.8885,0.8596,0.9656,0.884,0.8353,0.0076,0.0027,0.7059,0.991,SEKER
48917.6322,1049.9472,356.7323,148.9458,2.5493,0.9328,49814.1711,246.8371,0.7311,0.9497,0.4746,0.6306,0.0095,0.0017,0.3744,0.9595,HOROZ
36572.3015,726.4168,218.3934,137.2159,1.577,0.7641,28241.7871,197.1129,0.6998,0.9651,0.8146,0.7637,0.0102,0.0025,0.5707,0.9631,SIRA
62338.3657,905.4968,349.0617,217.6757,1.7333,0.82,54738.419,255.7569,0.5627,0.9444,0.7675,0.795,0.0071,0.0016,0.5423,0.9532,BARBUNYA
56785.0499,867.2353,397.1236,208.5388,1.8411,0.8169,75933.6809,248.3666,0.6936,0.953,0.7573,0.7854,0.0069,0.0017,0.5988,0.9793,BARBUNYA
23908.1438,745.2141,262.1996,162.9816,1.4517,0.738,33579.6172,169.7617,0.7477,0.967,0.7959,0.7637,0.0113,0.0032,0.5575,0.9923,SIRA
23846.4323,666.3502,180.6434,148.5947,1.5125,0.8089,23321.7648,181.081,0.6509,0.9719,0.7265,0.8088,0.0084,0.0019,0.6907,0.9958,SIRA
19380.3975,597.1659,220.826,150.4245,1.6921,0.744,27986.5493,189.6921,0.7153,0.9773,0.9406,0.7657,0.0088,0.0016,0.6521,0.9862,SIRA
25341.8419,608.8683,253.8245,149.4484,1.4968,0.8154,33286.5485,196.2376,0.7482,0.9793,0.8679,0.7999,0.0074,0.003,0.6222,0.9779,SIRA
40383.3547,1043.8344,378.8243,151.2003,2.8676,0.9474,45484.4023,249.9309,0.6237,0.9715,0.6051,0.6175,0.0082,0.001,0.4112,0.9539,HOROZ
84410.2101,1151.8781,437.2098,268.8181,1.6515,0.7591,89579.9699,355.9188,0.6967,0.9737,0.8436,0.7744,0.0053,0.0012,0.606,0.984,BOMBAY
37849.7213,1109.9317,384.637,164.1185,2.6143,0.9482,63476.4649,251.7314,0.7486,0.9594,0.5747,0.6309,0.009,0.001,0.3336,0.9458,HOROZ
31091.6908,648.5182,202.8729,159.5066,1.6046,0.7882,29569.6036,183.3917,0.725,0.9757,0.8229,0.7927,0.0083,0.0024,0.6482,0.9825,DERMASON
27985.7711,626.5359,231.4598,139.0334,1.3223,0.7203,26191.0918,177.215,0.8042,0.9509,0.9167,0.8256,0.0089,0.0027,0.7564,0.995,SEKER
23701.9935,604.3334,200.7507,123.7613,1.6016,0.7458,27923.5848,166.109,0.6909,0.971,0.8587,0.8849,0.01,0.0028,0.6467,0.9752,DERMASON
29443.5244,518.5209,244.0837,142.5672,1.2802,0.6451,32005.6419,178.4586,0.7784,0.9533,0.913,0.842,0.007,0.0028,0.7445,0.9904,SEKER
29571.649,615.7557,198.1244,146.6556,1.3779,0.5588,27803.8595,190.6376,0.7575,0.9651,0.8773,0.8605,0.0094,0.0027,0.6855,0.9877,SEKER
28892.825,605.2336,247.7862,127.406,1.7377,0.8654,26893.7983,166.9299,0.6881,0.9703,0.8587,0.7374,0.0093,0.0033,0.6248,0.9761,SIRA
28652.0446,557.4827,209.8895,173.8377,1.427,0.6936,29557.4131,189.4877,0.7951,0.984,0.8285,0.8479,0.0089,0.003,0.7479,0.9965,SEKER
55875.2931,1069.1174,327.0283,183.6269,1.7221,0.8519,50959.6548,269.9892,0.6435,0.9579,0.7911,0.6304,0.0058,0.0017,0.5344,0.9649,BARBUNYA
19419.9825,547.8787,219.7739,147.8072,1.6046,0.8471,29309.9153,223.7606,0.783,0.9726,0.8292,0.8325,0.0108,0.0028,0.7034,0.9847,DERMASON
29110.1782,647.2805,235.7901,143.5277,1.4616,0.8297,24837.447,173.5945,0.7273,0.9471,0.7317,0.7283,0.0112,0.0028,0.6066,1.0,DERMASON
41557.0829,1091.34,384.2174,127.5439,2.5462,0.9608,42041.175,218.701,0.6055,0.9547,0.5077,0.6489,0.0077,0.0012,0.4535,0.9503,HOROZ
22080.4802,612.1773,233.7888,129.4765,1.5377,0.6725,22093.1807,175.4041,0.7459,0.9663,0.762,0.7699,0.0092,0.0025,0.6599,0.9868,DERMASON
83503.7871,1140.0398,464.4513,269.251,1.7532,0.7824,84854.6045,335.1017,0.7624,0.9714,0.8607,0.8023,0.0049,0.0014,0.6679,0.983,BOMBAY
89284.7235,1130.937,427.5177,262.3334,1.6373,0.7831,84097.5221,354.1652,0.7389,0.9638,0.8769,0.7865,0.005,0.0013,0.6178,0.9739,BOMBAY
49165.1936,951.1563,330.0125,158.9275,1.8672,0.8002,51730.8647,264.1602,0.6791,0.9538,0.791,0.7086,0.0075,0.0022,0.455,0.9612,BARBUNYA
52949.174,1175.1619,457.9233,181.724,2.4878,0.9381,42387.1915,253.0499,0.6752,0.9714,0.514,0.6,0.0083,0.0016,0.3538,0.95,HOROZ
32198.9921,700.6949,255.7126,112.9504,1.5183,0.7747,29694.5605,185.38,0.7551,0.9824,0.8654,0.7914,0.0101,0.0017,0.623,1.0,SIRA
24028.6782,611.087,233.5018,136.2589,1.5324,0.7552,22130.3605,170.437,0.7261,0.9769,0.8461,0.7788,0.0081,0.0032,0.7392,0.9759,DERMASON
50749.7043,943.6172,426.4292,187.7302,1.8711,0.9541,47388.7464,256.9471,0.716,0.9666,0.6828,0.6438,0.0068,0.0019,0.3768,0.958,CALI
54457.0469,1121.1644,386.2963,184.9432,2.1086,0.8994,50894.0401,236.1339,0.7045,0.9651,0.5613,0.6898,0.0074,0.0016,0.4078,0.9807,CALI
25299.9692,630.4962,223.1761,150.573,1.6642,0.7449,33944.5424,169.3871,0.7781,0.9706,0.8686,0.8016,0.0095,0.0022,0.5812,0.9887,SIRA
28379.4852,773.1866,250.2292,141.5001,1.571,0.6866,30000.2779,157.6347,0.7079,0.9683,0.6778,0.7019,0.0074,0.0027,0.6336,0.9851,SIRA
58567.2792,1165.0677,424.7003,155.1453,2.6909,0.9276,41733.4572,227.4112,0.696,0.9588,0.5963,0.5997,0.0099,0.0008,0.347,0.9441,HOROZ
27921.362,592.0032,197.3332,150.2535,1.3353,0.7062,25228.1624,191.8986,0.7935,0.9804,0.906,0.8735,0.0091,0.0025,0.7069,0.9808,SEKER
27042.4024,677.7234,224.2169,175.4642,1.4228,0.752,26145.2734,164.9572,0.7894,0.9664,0.8621,0.8297,0.0097,0.0035,0.6535,0.9971,DERMASON
51323.8616,1089.657,399.2654,166.9089,2.2033,0.8845,48195.132,274.4779,0.6048,0.955,0.6581,0.7137,0.0079,0.0015,0.4104,0.9512,CALI
40872.8484,973.3706,413.9434,153.738,2.8493,0.9551,31166.2355,260.462,0.6611,0.9634,0.6187,0.5898,0.0093,0.0014,0.4078,0.9396,HOROZ
51677.1636,971.2249,376.1017,175.9554,2.5782,0.9375,62140.7966,283.8781,0.5996,0.9737,0.6654,0.7078,0.0079,0.0011,0.3793,0.9651,CALI
60776.954,1052.0007,411.3995,144.2931,2.8514,0.9287,56530.2338,230.0905,0.5095,0.9865,0.6515,0.5509,0.0087,0.0011,0.3937,0.9612,HOROZ
88173.3915,1007.2498,449.7262,249.8777,1.6276,0.7876,94015.9062,347.7451,0.7227,0.966,0.835,0.7656,0.0049,0.0015,0.6242,0.9794,BOMBAY
79655.5247,1095.803,446.5645,246.0221,1.6098,0.7912,97558.0388,331.2021,0.6892,0.9719,0.8406,0.8034,0.0049,0.0009,0.648,0.9821,BOMBAY
97119.2615,1152.4491,419.1795,255.3544,1.6946,0.8178,85568.3849,328.7473,0.7096,0.9747,0.8175,0.8083,0.005,0.001,0.58,0.9781,BOMBAY
45545.6959,958.5409,392.1111,186.0758,2.0459,0.8914,54627.8393,295.3633,0.5928,0.9539,0.7868,0.7779,0.0075,0.0021,0.5524,0.9769,BARBUNYA
29559.6626,572.2122,195.729,157.4062,1.2564,0.6504,30482.6158,173.353,0.7913,0.9565,0.8503,0.8807,0.0085,0.0028,0.8052,0.9965,SEKER
28643.1896,581.3752,239.3836,168.3427,1.5892,0.7863,38061.4492,171.6919,0.7532,0.9687,0.8582,0.8211,0.0083,0.0026,0.7287,0.9829,DERMASON
21772.5944,648.7863,267.5464,153.1943,1.5429,0.6953,32892.6382,181.8036,0.795,0.9651,0.8363,0.8203,0.0092,0.0028,0.5981,0.9889,SIRA
31080.423,652.0318,249.4021,148.5832,1.5986,0.8561,30955.8551,192.3157,0.7549,0.9619,0.7563,0.8157,0.0083,0.0025,0.751,0.9681,SIRA
59747.3353,869.3502,395.6174,196.8461,1.7722,0.7453,69166.2245,280.5507,0.6927,0.9583,0.8003,0.7137,0.0074,0.0023,0.5673,0.9776,BARBUNYA
51659.0303,1110.6442,428.613,206.6729,1.9101,0.8764,50301.5063,275.2712,0.6946,0.9622,0.6874,0.6717,0.0077,0.0016,0.4466,0.9543,CALI
30414.6799,569.9004,257.48,153.4647,1.6664,0.7445,29990.7999,204.9672,0.75,0.949,0.8368,0.8774,0.0087,0.0017,0.7147,0.9794,SIRA
23812.6485,724.997,208.5203,128.7127,1.4909,0.674,21602.7321,171.0516,0.8308,0.9773,0.7739,0.7619,0.0095,0.003,0.6475,0.9894,DERMASON
22144.3263,531.0684,210.9396,159.7482,1.6318,0.7718,25479.0955,196.0862,0.701,0.966,0.9222,0.7925,0.0085,0.0033,0.6606,0.977,DERMASON
31798.3223,631.0448,241.1277,160.0142,1.377,0.7573,32936.969,175.7281,0.7692,0.9773,0.7825,0.8093,0.0098,0.0021,0.7127,0.9827,DERMASON
58621.9852,1064.8933,421.5256,191.1783,2.0729,0.9266,55917.4059,273.3295,0.6401,0.9458,0.7031,0.6342,0.0069,0.0013,0.5258,0.9645,CALI
24462.6936,680.3865,213.0049,165.3175,1.706,0.7198,31854.9494,179.5821,0.7953,0.9627,0.7147,0.7765,0.0095,0.0024,0.6667,0.9944,SIRA
63352.1331,1105.8982,364.2564,189.1994,2.5943,0.889,59307.9717,268.9701,0.6674,0.9621,0.6023,0.6912,0.0089,0.0017,0.4421,0.9523,CALI
25146.3526,659.2878,220.0642,168.0731,1.5739,0.7333,15614.7743,146.5274,0.755,0.9909,0.8339,0.7663,0.008,0.003,0.613,0.9639,DERMASON
66993.9132,997.0951,422.8486,159.4913,3.0976,0.9359,39248.1,246.597,0.5719,0.9619,0.5974,0.6245,0.0088,0.001,0.3763,0.9403,HOROZ
27634.3475,621.6735,223.8094,144.1685,1.3248,0.6374,21869.4778,192.2473,0.8131,0.9761,0.846,0.8339,0.0079,0.0031,0.7463,0.9987,SEKER
30407.4935,570.6421,272.1592,139.4811,1.5878,0.768,19847.8596,161.7759,0.765,0.9605,0.8443,0.8083,0.0074,0.0027,0.5656,0.9752,DERMASON
45091.7234,1032.5459,423.9356,160.9739,2.1505,0.94,71190.5855,272.1388,0.6769,0.9668,0.6128,0.6904,0.0084,0.0019,0.4994,0.964,CALI
57361.4709,922.9312,372.8822,203.1435,1.6279,0.7939,60818.8285,242.4989,0.7327,0.9575,0.7456,0.7665,0.0068,0.002,0.5076,0.9736,BARBUNYA
50365.9344,1034.8997,336.278,198.3472,2.2316,0.8972,53434.6186,253.7519,0.6446,0.9448,0.6585,0.6676,0.0081,0.0019,0.3407,0.9605,CALI
51714.5413,994.2618,332.0891,180.2005,2.2747,0.9456,56901.9243,259.9456,0.6101,0.9578,0.6347,0.6967,0.0082,0.0016,0.4106,0.966,CALI
65803.434,1083.7169,358.579,213.3579,1.9747,0.8055,64026.5894,288.3272,0.7382,0.979,0.8807,0.7487,0.0062,0.002,0.5578,0.978,BARBUNYA
33694.3758,691.4261,235.2993,160.6834,1.8143,0.7476,30586.0361,183.8153,0.8259,0.9655,0.808,0.8699,0.0075,0.0017,0.6813,0.9701,SIRA
24330.0923,583.2258,220.813,143.3629,1.2822,0.8637,25516.3121,190.7085,0.8324,0.9854,0.7965,0.799,0.0101,0.0025,0.6484,0.9717,DERMASON
81579.7969,1127.2956,435.8382,263.6505,1.6612,0.8079,97527.1244,329.9026,0.7161,0.9732,0.8591,0.7773,0.0051,0.0013,0.6086,0.9742,BOMBAY
30580.5485,682.6215,241.5117,147.6386,1.504,0.804,19201.6237,183.9803,0.7444,0.9797,0.8462,0.8047,0.0099,0.0023,0.6671,0.9796,SIRA
97241.0374,1160.0321,455.3532,262.2737,1.5528,0.7841,96131.8435,348.8282,0.7609,0.967,0.8566,0.7687,0.005,0.0011,0.579,0.9773,BOMBAY
