Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20
Scotland,United Kingdom,56.5,-4.0,0,2,4,6,6,217,485,490,772,1013,1229,1261,1362,1632,1822,2082,2313,2344,2453,2594,3461,3900,4499,5252,6458,7478,8279,8708,9042,9992,10920,12043,12593,13624,14091,14714,15583,15902,16772,17494,17894,18429,19595,20016,20793,21218,22186,23343,23805,24620,25658,26261,27087,28114,28698,29428,30587,31386,32174,32728,34273,36011,36917,38312,39312,40962,41851,42603,43778,45237,46543,48192,49349,49964,51153,52374,54186,55983,57595,58509,60033,61746,63347,64663,65953,67693,69415,70797,72339,73608,74604,75703,77484,78878,79966,81417,82116,83377,84955,86345
Wales,United Kingdom,52.1,-3.8,5,10,11,14,14,148,667,1011,1118,1573,1680,2223,2695,2715,2867,3291,3454,3535,4020,4296,5582,7451,9462,10869,12792,13549,15886,17151,19489,21463,23815,25500,26871,28112,29988,32052,34200,35792,37493,38159,40016,40749,41822,43707,45701,46882,47940,50062,50840,52321,53115,55265,57155,59189,59987,61488,62421,64435,65641,66293,67668,70183,71599,73987,76642,79364,82315,84098,86285,89647,92521,96026,97950,99833,101737,103247,106000,108173,111398,113171,115309,118384,120611,123680,125912,127137,130229,132594,136019,137853,139342,142338,144940,147352,150276,152487,155545,157969,159971,162733
Northern Ireland,United Kingdom,54.8,-6.5,0,1,4,8,10,603,910,1631,1938,1965,2819,3498,3908,4194,4207,4791,5681,6388,7189,7956,9135,12597,15610,17761,19682,23147,25569,27445,31031,32788,36310,38315,42070,45749,49516,51055,54607,55983,59532,63158,64298,66542,69326,70441,73793,76266,77783,79131,81318,83635,86315,88013,89814,91334,94522,96999,100152,103186,105281,106933,109943,115644,120979,126804,130735,135996,139162,144177,149700,153045,158297,160726,164602,166868,169402,174449,177331,182812,187540,192464,197184,200769,206191,211444,215684,219140,221467,226663,230237,232252,235293,239448,241912,245732,249199,253912,258937,263648,266679,271031
,Turkey,39.0,35.0,6,16,21,22,32,1957,5829,6044,11129,15738,18435,23442,25265,30580,31107,36322,40135,45888,48373,53701,73080,82903,93483,100968,108187,124160,146302,156107,165291,178984,202598,213043,231778,252642,270799,298769,327591,351292,371025,396270,426079,437142,456736,484196,493440,515474,541647,561020,576186,583258,611877,630018,643137,663665,684236,697972,715856,725111,753579,771615,805456,842585,870338,888322,917368,942408,964627,984629,1015529,1034532,1072249,1095199,1132226,1169180,1204747,1221446,1239103,1266031,1290012,1310138,1344638,1367362,1385610,1419770,1442558,1477772,1500848,1524482,1551248,1572083,1607612,1623704,1648789,1669530,1689789,1723490,1747703,1769420,1789022,1826683
,Italy,42.0,12.0,0,2,2,7,10,4843,7505,7644,9081,11264,11703,12751,16209,20528,21469,21999,25910,29592,32567,36781,61634,70607,90818,112727,125386,150941,157761,184751,207237,222520,242929,269409,275829,283222,304317,322877,342245,351182,372647,392581,400389,408436,424390,449722,459982,467534,477069,491480,517337,543481,568062,591430,607485,625366,650341,673126,688189,708456,730421,755659,784155,801804,819953,855806,891535,924001,945446,973938,1003134,1025021,1052980,1078486,1107746,1135211,1163242,1180757,1205398,1233782,1258422,1281174,1307839,1327240,1357180,1373779,1391168,1408365,1425819,1454370,1471934,1498544,1517207,1549838,1566203,1599820,1632622,1665427,1690628,1709033,1736894,1762880
,Germany,51.0,9.0,10,16,16,20,29,2598,5488,6346,11090,15256,17008,18285,22245,24092,24988,27866,32432,35453,36404,38696,62308,74518,93379,116560,139603,145263,158826,164574,175285,189039,203963,219898,236200,241200,251944,261438,284795,302727,309807,319255,325059,332865,355047,366896,384023,402580,422245,438215,448172,465097,480108,495537,518935,526518,533041,542939,552897,559327,566800,580516,607835,634529,663243,690527,716898,738649,758512,788100,804629,828739,855626,872059,894140,922885,952951,975857,990145,1010170,1035921,1050516,1063567,1083065,1105741,1125462,1142758,1163930,1186214,1209765,1226496,1239549,1268647,1295558,1314115,1331148,1356406,1386657,1406997,1436189,1467297,1491702
,Spain,40.0,-4.0,1,7,7,13,13,3789,4436,7010,10536,13859,17290,19671,20624,23952,24132,26802,28219,31998,34972,35703,54213,61881,74053,92529,109850,116627,133795,148162,163487,174947,190060,199769,206471,227398,235334,256244,266797,282445,298149,307188,319130,326698,335696,348283,358947,368832,378041,384710,394714,415105,434507,453416,468206,482765,491911,510521,516958,536523,555213,569335,589535,602575,625307,653131,666762,688133,714463,740471,752903,765967,789249,809855,823569,837727,865542,889340,915702,928246,954182,971550,993285,1020070,1047698,1063841,1077068,1103030,1117621,1140074,1154037,1181770,1198624,1211106,1230424,1255968,1281566,1297967,1321091,1344508,1364977,1388871
,Argentina,-38.0,-63.0,6,11,21,30,30,3272,5866,8527,9907,10186,11546,11943,14238,17026,18619,19792,20834,23808,27306,30005,43479,61386,67449,76510,81445,94592,109064,114981,124312,132994,147342,162385,176833,186854,192566,205915,221128,226116,234788,247545,257316,271458,288028,297009,313932,319625,334204,349319,366500,382204,397033,409257,414388,428572,443156,453693,465624,475152,479050,488590,503250,515803,528912,544110,566262,583829,596574,609885,621738,633876,644740,659186,682621,705133,716390,734307,756537,774980,798262,819963,838189,848407,868852,883969,907927,930082,949807,961554,980939,996711,1008838,1021096,1033658,1056878,1077829,1100062,1119897,1142752,1155064,1176479
,Colombia,4.0,-72.0,7,7,13,18,28,2985,3967,5796,8306,9483,11331,12299,14496,15485,16762,18693,19497,21013,23801,26147,36365,46929,54545,63801,75040,86681,96540,102195,108466,121372,126639,133735,137589,151094,161967,171048,183133,187813,202468,213920,218962,226632,231006,236632,244101,254462,265872,271286,281453,285955,292592,302983,311710,315146,324943,328815,338310,349534,358660,365522,379848,389185,403327,415005,423466,436687,446310,466019,484667,498160,508552,518806,527433,540133,555873,575277,585550,605109,620794,636143,654224,662310,671608,679919,692112,703645,714094,731085,751000,768975,785622,800556,810377,823097,834990,847924,857920,866702,878608,893486
,Mexico,23.0,-102.0,10,19,26,27,28,2085,4290,4367,6487,8852,9852,10450,11653,13421,13437,14892,15887,18234,19950,20727,24529,35505,43813,47321,58339,69653,80365,91081,102560,105293,114090,124192,127305,136043,144559,151114,153780,162030,165536,173585,179935,184033,195966,203813,208398,211524,219696,231041,238987,244255,254267,264507,269893,274502,277935,287833,290838,298045,303747,306864,316532,323618,335188,346668,361512,374436,389733,403889,414439,421438,430969,442056,454304,461487,473325,484201,492640,505069,518628,531581,545185,557919,569873,579333,593862,608413,620831,635738,646507,654260,667615,675308,688763,698119,713456,724669,736331,744411,752122,763894
,Poland,52.0,20.0,10,14,18,25,34,1513,2395,2746,4168,5087,5816,6741,6837,8335,10126,10858,12127,13027,13599,14918,23201,25470,27884,35182,42204,47331,52107,58110,66472,74415,81780,84890,86945,89914,98666,105443,112797,120997,126386,128471,131305,133655,137388,145565,152650,157450,162216,167152,173598,175663,182419,185475,192837,198322,203160,208007,213443,221494,223923,230424,236351,245488,253294,261354,268729,278850,285933,292777,298506,303518,314344,320668,329556,338597,346567,355968,361732,368676,379824,386756,397323,405778,412335,422147,429286,439771,448594,455033,460837,466748,478534,483940,492443,498657,509300,517746,523265,534704,545090,556816
,South Africa,-30.0,22.0,5,15,20,21,29,1149,1753,2377,2709,3075,3825,4876,5345,5603,6024,6318,6812,7833,7896,8645,14383,20271,24493,29521,35240,37503,39409,41147,44880,49341,54462,59968,64533,69087,74996,76800,79026,82823,84630,89516,94532,99970,103992,106243,111959,114649,116906,121650,126969,128622,130839,136283,138736,142427,144975,147501,151344,154391,158425,163875,169401,173247,178499,183307,191019,196467,200692,206372,213942,217907,225224,229805,237761,242224,246826,252791,260608,264145,267577,271442,275014,282938,288306,293232,301118,307730,311178,318457,326126,331698,337372,344528,349734,356260,361896,368811,372608,376298,380792,387593
