checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
0<=X<200,8,existing paid,new car,8986,<100,1<=X<4,4,male single,none,4,car,72,none,own,3,skilled,1,none,yes,good
0<=X<200,66,no credits/all paid,radio/tv,12954,<100,1<=X<4,3,male single,none,3,real estate,66,bank,own,2,unemp/unskilled non res,1,none,no,bad
>=200,4,critical/other existing credit,radio/tv,887,<100,>=7,3,female div/dep/mar,none,4,real estate,62,none,for free,2,skilled,1,none,yes,good
<0,18,no credits/all paid,new car,5132,<100,<1,4,male single,co applicant,3,life insurance,50,bank,own,1,high qualif/self emp/mgmt,2,none,yes,good
no checking,41,critical/other existing credit,furniture/equipment,16078,<100,>=7,2,female div/dep/mar,none,4,no known property,53,bank,own,2,skilled,1,none,yes,bad
no checking,45,existing paid,furniture/equipment,3922,<100,4<=X<7,2,male single,guarantor,4,car,32,stores,own,2,skilled,1,none,yes,bad
no checking,49,critical/other existing credit,new car,12579,<100,>=7,2,female div/dep/mar,none,3,no known property,67,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,good
no checking,56,critical/other existing credit,business,15217,<100,1<=X<4,2,female div/dep/mar,none,4,life insurance,72,none,own,1,skilled,2,yes,yes,good
>=200,29,critical/other existing credit,education,4961,100<=X<500,>=7,2,male single,none,2,life insurance,34,none,own,1,skilled,1,yes,yes,good
no checking,64,existing paid,radio/tv,13485,no known savings,unemployed,3,male single,none,2,real estate,39,none,for free,1,skilled,1,none,yes,good
<0,70,critical/other existing credit,furniture/equipment,409,100<=X<500,>=7,4,male single,none,1,car,30,none,own,1,skilled,1,yes,yes,good
<0,57,existing paid,furniture/equipment,10394,<100,unemployed,4,female div/dep/mar,none,4,real estate,42,none,own,1,skilled,1,yes,yes,good
<0,25,existing paid,radio/tv,15043,<100,>=7,2,male single,none,4,no known property,52,none,own,1,skilled,2,none,yes,good
0<=X<200,29,delayed previously,radio/tv,10173,no known savings,>=7,4,female div/dep/mar,none,4,no known property,26,none,own,1,skilled,2,yes,yes,good
0<=X<200,63,critical/other existing credit,new car,6188,<100,1<=X<4,4,male mar/wid,none,2,no known property,62,none,for free,1,skilled,2,yes,yes,good
<0,42,critical/other existing credit,furniture/equipment,11604,<100,<1,3,male mar/wid,none,3,car,39,none,own,1,unskilled resident,2,none,yes,good
no checking,39,critical/other existing credit,domestic appliance,10174,<100,>=7,4,male single,none,2,car,66,none,own,2,skilled,2,yes,yes,good
0<=X<200,24,existing paid,furniture/equipment,830,100<=X<500,1<=X<4,4,female div/dep/mar,none,4,car,26,stores,own,1,skilled,1,yes,yes,good
0<=X<200,44,existing paid,new car,4724,100<=X<500,>=7,4,male single,none,2,real estate,46,none,own,1,unskilled resident,1,none,yes,bad
0<=X<200,51,critical/other existing credit,radio/tv,10191,<100,<1,2,male div/sep,none,4,car,34,bank,own,1,skilled,1,none,yes,good
<0,29,existing paid,new car,7323,<100,<1,3,male single,none,2,real estate,28,none,own,1,skilled,2,none,yes,good
no checking,66,existing paid,used car,9912,no known savings,>=7,4,female div/dep/mar,none,2,life insurance,70,none,own,2,skilled,1,none,no,bad
<0,39,existing paid,new car,5309,<100,4<=X<7,3,male mar/wid,none,4,real estate,33,none,rent,1,skilled,1,none,yes,good
no checking,27,existing paid,used car,13707,100<=X<500,>=7,4,male div/sep,none,3,real estate,22,none,rent,1,high qualif/self emp/mgmt,1,none,yes,bad
no checking,24,existing paid,radio/tv,4578,500<=X<1000,1<=X<4,4,male single,guarantor,1,life insurance,44,none,own,3,high qualif/self emp/mgmt,1,none,yes,good
<0,21,existing paid,radio/tv,18028,100<=X<500,4<=X<7,4,male single,none,3,life insurance,33,none,own,1,skilled,1,yes,yes,good
<0,18,all paid,new car,1171,<100,4<=X<7,2,male single,none,1,car,54,none,own,1,skilled,1,none,yes,good
no checking,9,no credits/all paid,education,3023,<100,4<=X<7,3,female div/dep/mar,none,4,real estate,50,none,own,1,skilled,1,none,yes,good
no checking,46,critical/other existing credit,education,4712,<100,4<=X<7,1,male mar/wid,none,4,life insurance,61,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
no checking,34,existing paid,education,6983,no known savings,4<=X<7,4,male single,none,2,real estate,56,none,own,3,skilled,1,none,yes,good
no checking,31,existing paid,used car,12024,no known savings,1<=X<4,4,male single,none,3,car,22,none,own,1,unskilled resident,1,none,yes,good
<0,11,delayed previously,furniture/equipment,9560,<100,1<=X<4,1,female div/dep/mar,none,1,car,59,none,own,2,skilled,2,none,yes,bad
0<=X<200,32,existing paid,business,2115,<100,>=7,4,male single,none,4,car,27,none,own,4,unskilled resident,1,none,yes,good
<0,24,critical/other existing credit,radio/tv,17358,no known savings,<1,3,male single,none,4,car,53,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,61,critical/other existing credit,new car,961,500<=X<1000,4<=X<7,1,female div/dep/mar,none,4,life insurance,73,none,own,1,skilled,1,yes,yes,good
no checking,63,existing paid,new car,7960,no known savings,<1,3,female div/dep/mar,guarantor,2,car,46,stores,own,1,skilled,1,none,yes,good
0<=X<200,53,existing paid,furniture/equipment,13696,<100,4<=X<7,2,male single,none,2,life insurance,55,none,own,1,skilled,1,none,yes,bad
<0,34,critical/other existing credit,business,13644,<100,>=7,3,female div/dep/mar,none,1,life insurance,65,bank,own,1,skilled,1,yes,yes,good
0<=X<200,50,critical/other existing credit,radio/tv,640,100<=X<500,<1,3,female div/dep/mar,none,4,car,27,none,own,1,unskilled resident,1,yes,yes,good
0<=X<200,37,existing paid,furniture/equipment,9512,100<=X<500,unemployed,4,male single,none,3,real estate,20,none,rent,1,skilled,1,none,yes,bad
no checking,5,existing paid,new car,4737,<100,<1,4,male single,none,3,car,21,none,own,2,skilled,1,yes,yes,bad
no checking,70,existing paid,radio/tv,10870,<100,4<=X<7,4,female div/dep/mar,none,4,car,71,none,for free,1,skilled,1,none,yes,good
no checking,55,critical/other existing credit,repairs,13820,<100,>=7,1,male single,none,2,life insurance,62,bank,own,2,skilled,1,none,yes,good
0<=X<200,10,existing paid,furniture/equipment,6316,<100,unemployed,4,female div/dep/mar,none,1,real estate,66,none,own,2,skilled,2,yes,yes,good
<0,22,critical/other existing credit,radio/tv,4744,<100,4<=X<7,4,male div/sep,none,1,real estate,23,none,own,1,unskilled resident,1,yes,yes,good
no checking,18,delayed previously,business,3822,no known savings,1<=X<4,1,female div/dep/mar,none,2,no known property,28,none,rent,1,unskilled resident,1,yes,yes,good
no checking,51,existing paid,new car,12920,<100,1<=X<4,4,male single,none,1,car,46,none,own,1,skilled,1,none,yes,good
>=200,17,existing paid,radio/tv,16189,no known savings,>=7,2,female div/dep/mar,none,3,real estate,33,none,own,1,skilled,1,none,yes,bad
no checking,6,existing paid,used car,16510,<100,1<=X<4,3,male div/sep,none,2,life insurance,32,none,own,1,skilled,1,none,yes,good
0<=X<200,53,existing paid,radio/tv,10499,100<=X<500,1<=X<4,3,male single,none,2,car,64,none,own,1,skilled,1,none,yes,good
0<=X<200,57,existing paid,radio/tv,2561,no known savings,unemployed,3,male single,none,4,car,41,bank,own,1,skilled,1,yes,yes,good
0<=X<200,9,existing paid,radio/tv,11321,<100,<1,4,female div/dep/mar,none,2,real estate,31,none,rent,3,skilled,1,yes,yes,good
<0,52,critical/other existing credit,radio/tv,7023,<100,1<=X<4,3,male single,none,4,real estate,34,none,for free,1,skilled,1,yes,yes,good
<0,26,existing paid,furniture/equipment,7155,<100,unemployed,1,male div/sep,none,2,no known property,48,none,own,1,unskilled resident,1,yes,yes,good
<0,23,all paid,business,3892,<100,4<=X<7,4,male single,none,3,real estate,58,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
no checking,63,critical/other existing credit,radio/tv,6588,500<=X<1000,1<=X<4,4,male single,none,4,real estate,26,none,own,1,skilled,2,yes,yes,good
0<=X<200,48,critical/other existing credit,new car,16596,no known savings,1<=X<4,4,male single,none,1,no known property,35,none,own,1,high qualif/self emp/mgmt,1,yes,no,good
0<=X<200,64,critical/other existing credit,radio/tv,9872,<100,<1,3,female div/dep/mar,none,3,car,48,bank,own,2,skilled,1,none,yes,good
no checking,59,critical/other existing credit,radio/tv,15905,<100,1<=X<4,1,female div/dep/mar,none,4,real estate,35,none,rent,1,skilled,1,yes,yes,good
<0,5,existing paid,used car,10355,<100,4<=X<7,4,female div/dep/mar,none,4,real estate,53,none,own,1,skilled,1,none,yes,good
0<=X<200,48,existing paid,education,6490,500<=X<1000,>=7,1,male single,none,2,real estate,19,none,rent,1,skilled,1,yes,yes,good
no checking,43,critical/other existing credit,business,15047,<100,unemployed,1,female div/dep/mar,none,2,real estate,67,none,own,1,skilled,1,none,yes,good
<0,27,delayed previously,used car,8056,<100,>=7,3,male single,none,4,no known property,42,none,own,1,skilled,1,none,yes,bad
<0,32,existing paid,business,1007,100<=X<500,4<=X<7,2,male mar/wid,co applicant,4,life insurance,66,none,own,1,unskilled resident,1,yes,yes,bad
0<=X<200,70,critical/other existing credit,new car,6470,100<=X<500,1<=X<4,1,male mar/wid,guarantor,1,car,67,none,for free,1,skilled,1,yes,yes,good
<0,71,existing paid,new car,10354,<100,1<=X<4,3,male single,none,1,no known property,43,none,own,1,unskilled resident,1,none,yes,bad
no checking,69,existing paid,new car,14566,500<=X<1000,<1,2,male single,co applicant,2,life insurance,20,none,own,1,skilled,1,none,yes,good
no checking,57,existing paid,retraining,9576,<100,<1,2,male single,none,2,real estate,43,none,own,1,skilled,1,none,yes,bad
no checking,56,existing paid,radio/tv,9206,<100,4<=X<7,1,female div/dep/mar,none,2,car,32,none,own,1,unskilled resident,1,none,no,good
no checking,52,existing paid,new car,3747,no known savings,1<=X<4,2,male single,none,2,no known property,57,none,own,3,unskilled resident,1,yes,yes,good
no checking,35,existing paid,furniture/equipment,10114,500<=X<1000,>=7,4,male single,none,2,car,75,none,own,1,unskilled resident,1,yes,yes,good
<0,64,critical/other existing credit,radio/tv,9024,<100,1<=X<4,4,male single,guarantor,2,real estate,69,none,for free,2,skilled,1,none,yes,good
no checking,45,existing paid,new car,14289,<100,<1,3,male single,none,4,car,51,stores,for free,1,unskilled resident,1,yes,yes,bad
0<=X<200,4,existing paid,vacation,2071,<100,4<=X<7,3,female div/dep/mar,none,2,car,35,none,own,1,skilled,1,none,yes,good
no checking,66,critical/other existing credit,domestic appliance,17819,<100,1<=X<4,1,female div/dep/mar,none,2,no known property,49,none,own,1,unemp/unskilled non res,1,yes,yes,good
no checking,38,critical/other existing credit,furniture/equipment,12967,<100,1<=X<4,1,male mar/wid,none,2,real estate,28,none,own,1,skilled,2,none,yes,good
0<=X<200,54,critical/other existing credit,business,18271,<100,4<=X<7,2,female div/dep/mar,none,4,car,24,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good
<0,48,critical/other existing credit,furniture/equipment,10622,<100,>=7,3,male single,guarantor,4,no known property,57,none,for free,1,skilled,1,yes,no,good
<0,68,delayed previously,business,8630,500<=X<1000,>=7,4,male mar/wid,none,4,life insurance,43,none,own,2,unskilled resident,1,none,yes,good
0<=X<200,17,existing paid,radio/tv,1996,100<=X<500,4<=X<7,4,male single,none,1,life insurance,56,bank,for free,2,skilled,1,yes,yes,good
no checking,6,all paid,radio/tv,6047,100<=X<500,4<=X<7,3,male single,none,4,real estate,55,bank,own,1,skilled,1,yes,yes,bad
no checking,27,existing paid,new car,16533,<100,>=7,1,female div/dep/mar,none,2,real estate,48,none,own,1,skilled,1,none,no,good
<0,68,existing paid,education,8339,no known savings,1<=X<4,4,female div/dep/mar,none,2,life insurance,52,none,own,2,skilled,2,none,yes,good
0<=X<200,51,existing paid,furniture/equipment,12387,no known savings,unemployed,2,male single,none,3,no known property,36,none,for free,2,skilled,2,yes,yes,good
0<=X<200,13,critical/other existing credit,new car,7847,>=1000,1<=X<4,4,male single,none,4,life insurance,42,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
<0,16,existing paid,new car,6357,no known savings,<1,3,male single,none,4,life insurance,67,none,own,2,skilled,1,none,yes,good
<0,17,all paid,radio/tv,3043,no known savings,4<=X<7,4,female div/dep/mar,none,4,car,74,none,own,1,skilled,1,none,yes,good
0<=X<200,13,existing paid,radio/tv,11388,<100,4<=X<7,4,male div/sep,none,4,real estate,45,none,own,1,skilled,1,yes,yes,bad
no checking,43,delayed previously,radio/tv,2750,<100,4<=X<7,4,male mar/wid,none,2,life insurance,45,none,own,1,unskilled resident,1,none,yes,good
0<=X<200,26,all paid,vacation,13388,100<=X<500,unemployed,3,male single,none,2,car,73,bank,own,2,unemp/unskilled non res,1,none,yes,good
0<=X<200,58,critical/other existing credit,new car,8611,500<=X<1000,4<=X<7,3,male single,none,1,no known property,57,none,own,2,unskilled resident,1,none,yes,good
no checking,66,existing paid,radio/tv,5175,500<=X<1000,1<=X<4,2,female div/dep/mar,co applicant,4,car,39,none,own,2,skilled,2,yes,yes,bad
0<=X<200,45,existing paid,new car,17714,<100,4<=X<7,4,male single,none,2,car,37,none,own,1,skilled,1,yes,yes,bad
no checking,69,existing paid,education,4703,<100,1<=X<4,3,male mar/wid,none,4,real estate,57,none,own,2,skilled,1,yes,yes,bad
no checking,50,critical/other existing credit,repairs,15029,<100,1<=X<4,1,male single,none,2,no known property,41,bank,own,1,unskilled resident,1,yes,yes,good
<0,55,existing paid,radio/tv,12350,no known savings,<1,3,female div/dep/mar,none,2,real estate,57,none,own,1,skilled,1,yes,yes,good
0<=X<200,21,delayed previously,radio/tv,15412,<100,<1,1,male single,none,1,car,66,none,for free,1,high qualif/self emp/mgmt,2,none,yes,good
0<=X<200,21,existing paid,used car,1575,<100,>=7,3,male single,none,2,real estate,62,none,own,1,skilled,2,yes,yes,bad
0<=X<200,27,existing paid,furniture/equipment,11619,<100,>=7,3,male single,none,4,no known property,65,none,own,1,skilled,1,none,yes,bad
<0,26,critical/other existing credit,repairs,10590,<100,4<=X<7,2,male single,none,1,car,33,bank,own,1,skilled,1,yes,yes,good
no checking,15,critical/other existing credit,furniture/equipment,13658,no known savings,<1,1,male single,none,2,car,61,none,own,2,skilled,1,none,yes,good
0<=X<200,26,delayed previously,furniture/equipment,18322,100<=X<500,1<=X<4,4,male single,none,1,real estate,20,none,own,1,skilled,1,none,yes,good
<0,24,critical/other existing credit,furniture/equipment,1711,>=1000,4<=X<7,4,male single,none,2,life insurance,53,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
0<=X<200,67,critical/other existing credit,repairs,9844,<100,>=7,4,female div/dep/mar,co applicant,2,car,69,none,own,2,skilled,1,yes,yes,good
no checking,37,critical/other existing credit,used car,322,100<=X<500,<1,2,female div/dep/mar,none,2,car,38,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
<0,5,critical/other existing credit,new car,6280,<100,unemployed,4,female div/dep/mar,none,4,real estate,46,none,own,1,skilled,1,yes,yes,good
<0,72,delayed previously,radio/tv,7967,100<=X<500,4<=X<7,3,male mar/wid,none,2,no known property,75,bank,rent,2,skilled,1,none,yes,good
0<=X<200,34,delayed previously,repairs,13581,<100,1<=X<4,2,male single,none,2,no known property,33,none,own,1,unskilled resident,1,none,yes,bad
no checking,71,existing paid,new car,14186,<100,1<=X<4,1,male single,none,4,real estate,34,none,rent,2,skilled,1,yes,yes,bad
<0,22,critical/other existing credit,used car,3826,100<=X<500,unemployed,2,female div/dep/mar,none,2,car,51,stores,rent,1,skilled,1,none,yes,bad
no checking,16,existing paid,new car,8350,no known savings,1<=X<4,2,female div/dep/mar,none,2,car,65,none,for free,2,skilled,1,yes,yes,bad
no checking,68,critical/other existing credit,furniture/equipment,13862,<100,>=7,4,male single,none,3,life insurance,30,none,own,1,skilled,1,none,yes,good
<0,9,critical/other existing credit,furniture/equipment,5978,no known savings,>=7,1,male single,none,2,life insurance,57,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,30,no credits/all paid,radio/tv,282,<100,1<=X<4,3,female div/dep/mar,none,4,car,57,none,own,1,skilled,2,yes,yes,bad
0<=X<200,55,critical/other existing credit,radio/tv,11136,<100,1<=X<4,3,male single,none,3,car,61,none,for free,1,skilled,2,none,yes,good
no checking,51,existing paid,radio/tv,14328,<100,<1,2,male div/sep,none,4,life insurance,38,bank,own,2,skilled,1,none,yes,good
no checking,71,existing paid,furniture/equipment,4623,<100,1<=X<4,3,female div/dep/mar,none,4,car,47,none,own,2,skilled,1,yes,yes,good
0<=X<200,47,critical/other existing credit,education,14718,<100,1<=X<4,2,male single,none,1,car,61,none,own,2,skilled,1,yes,yes,bad
<0,20,existing paid,furniture/equipment,13287,<100,4<=X<7,4,female div/dep/mar,none,2,car,67,none,for free,1,high qualif/self emp/mgmt,1,none,yes,good
no checking,41,critical/other existing credit,business,14711,<100,1<=X<4,2,male mar/wid,none,2,real estate,21,none,own,2,unskilled resident,1,none,yes,good
0<=X<200,13,critical/other existing credit,radio/tv,2642,no known savings,1<=X<4,4,female div/dep/mar,none,2,no known property,66,bank,own,1,skilled,1,none,yes,good
<0,57,existing paid,new car,11313,<100,<1,4,female div/dep/mar,guarantor,4,life insurance,23,none,rent,1,skilled,1,none,yes,bad
<0,9,no credits/all paid,radio/tv,18035,500<=X<1000,1<=X<4,4,female div/dep/mar,none,4,real estate,20,none,own,1,skilled,1,none,yes,good
>=200,9,existing paid,used car,1067,<100,<1,4,male single,none,3,real estate,41,none,own,1,skilled,1,none,yes,good
no checking,55,existing paid,radio/tv,6453,100<=X<500,<1,4,male single,none,3,life insurance,44,none,own,2,skilled,2,yes,yes,good
<0,18,critical/other existing credit,new car,2688,<100,>=7,3,male single,none,1,no known property,44,none,own,1,unskilled resident,1,yes,yes,bad
0<=X<200,71,delayed previously,new car,17844,<100,1<=X<4,3,male div/sep,none,3,life insurance,25,none,rent,1,skilled,2,yes,yes,bad
<0,60,existing paid,education,6891,<100,1<=X<4,4,male div/sep,none,4,car,28,none,rent,2,skilled,1,yes,no,good
no checking,59,delayed previously,new car,17233,<100,>=7,4,male single,none,3,real estate,23,none,own,2,unskilled resident,1,yes,yes,good
<0,10,existing paid,education,14276,<100,>=7,1,male single,none,2,life insurance,65,none,own,2,unskilled resident,1,none,yes,bad
no checking,54,critical/other existing credit,used car,17313,100<=X<500,4<=X<7,3,male single,none,4,no known property,30,none,own,1,skilled,1,yes,yes,good
0<=X<200,61,existing paid,radio/tv,2085,no known savings,>=7,4,female div/dep/mar,none,2,car,50,none,own,2,skilled,1,yes,yes,bad
no checking,67,critical/other existing credit,radio/tv,12472,>=1000,1<=X<4,3,male single,none,3,real estate,60,bank,own,1,skilled,1,yes,yes,good
<0,29,existing paid,furniture/equipment,2427,100<=X<500,1<=X<4,2,male mar/wid,none,3,life insurance,49,bank,rent,1,skilled,1,none,yes,good
0<=X<200,61,critical/other existing credit,used car,8392,<100,1<=X<4,3,male single,none,2,real estate,40,bank,own,2,skilled,1,yes,yes,bad
<0,34,existing paid,new car,398,<100,4<=X<7,4,male single,none,4,life insurance,35,stores,own,2,skilled,1,yes,yes,good
no checking,69,delayed previously,new car,18129,<100,4<=X<7,4,female div/dep/mar,none,4,car,38,bank,rent,2,skilled,1,yes,yes,good
no checking,16,critical/other existing credit,used car,13355,<100,1<=X<4,3,male mar/wid,guarantor,1,car,38,none,own,1,skilled,1,none,yes,good
<0,21,existing paid,radio/tv,1994,<100,<1,2,male single,none,4,real estate,61,none,own,2,skilled,2,yes,yes,bad
no checking,16,critical/other existing credit,business,1896,<100,4<=X<7,2,male mar/wid,none,3,no known property,26,stores,own,2,skilled,1,yes,yes,good
no checking,27,delayed previously,education,10114,<100,<1,1,male single,none,4,car,65,none,own,1,skilled,1,none,yes,good
>=200,60,all paid,radio/tv,13916,<100,4<=X<7,3,male single,none,4,life insurance,52,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
0<=X<200,32,existing paid,radio/tv,3917,no known savings,4<=X<7,3,male mar/wid,none,3,life insurance,67,none,for free,2,unskilled resident,2,none,yes,good
<0,59,critical/other existing credit,radio/tv,17210,>=1000,4<=X<7,2,female div/dep/mar,none,4,car,41,none,own,1,unskilled resident,1,yes,yes,good
<0,57,all paid,used car,11537,<100,>=7,4,female div/dep/mar,none,2,car,56,none,for free,3,skilled,1,yes,yes,good
no checking,8,existing paid,business,16552,no known savings,>=7,4,male single,none,2,life insurance,71,none,rent,1,skilled,1,none,yes,bad
no checking,38,existing paid,radio/tv,13260,no known savings,1<=X<4,2,male single,none,4,life insurance,46,none,for free,2,unemp/unskilled non res,1,none,yes,good
no checking,22,delayed previously,radio/tv,5029,<100,4<=X<7,2,male mar/wid,co applicant,4,real estate,31,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
0<=X<200,58,all paid,new car,8437,<100,4<=X<7,4,female div/dep/mar,none,4,car,47,none,own,1,skilled,1,none,yes,good
0<=X<200,72,critical/other existing credit,furniture/equipment,13279,<100,<1,3,male single,none,4,car,26,none,rent,2,high qualif/self emp/mgmt,2,none,yes,bad
