timestamp	index	task_name	image	dockerfile
2026-06-09T20:51:24Z	229	fix-git-lfs-upload	hub.byted.org/dwn_open_docker/litecoder-terminal--fix-git-lfs-upload:opencode-1.15.4-cc95faccf3c3	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/fix-git-lfs-upload/environment/Dockerfile.prebuilt
2026-06-09T20:52:29Z	229	fix-git-lfs-upload	hub.byted.org/dwn_open_docker/litecoder-terminal--fix-git-lfs-upload:opencode-1.15.4-cc95faccf3c3	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/fix-git-lfs-upload/environment/Dockerfile.prebuilt
2026-06-09T20:53:48Z	229	fix-git-lfs-upload	hub.byted.org/dwn_open_docker/litecoder-terminal--fix-git-lfs-upload:opencode-1.15.4-cc95faccf3c3	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/fix-git-lfs-upload/environment/Dockerfile.prebuilt
2026-06-09T21:07:44Z	286	go-gin-static-site-deploy	hub.byted.org/dwn_open_docker/litecoder-terminal--go-gin-static-site-deploy:opencode-1.15.4-a672811ba8c3	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/go-gin-static-site-deploy/environment/Dockerfile.prebuilt
2026-06-09T21:13:12Z	292	haproxy-docker-load-balancer	hub.byted.org/dwn_open_docker/litecoder-terminal--haproxy-docker-load-balancer:opencode-1.15.4-b8f6bb660b6a	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/haproxy-docker-load-balancer/environment/Dockerfile.prebuilt
2026-06-09T21:17:18Z	292	haproxy-docker-load-balancer	hub.byted.org/dwn_open_docker/litecoder-terminal--haproxy-docker-load-balancer:opencode-1.15.4-b8f6bb660b6a	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/haproxy-docker-load-balancer/environment/Dockerfile.prebuilt
2026-06-09T21:34:01Z	354	multi-container-https-compose	hub.byted.org/dwn_open_docker/litecoder-terminal--multi-container-https-compose:opencode-1.15.4-9bde9aff108b	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/multi-container-https-compose/environment/Dockerfile.prebuilt
2026-06-09T21:47:48Z	358	multi-service-docker-compose-setup	hub.byted.org/dwn_open_docker/litecoder-terminal--multi-service-docker-compose-setup:opencode-1.15.4-f773a6272fba	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/multi-service-docker-compose-setup/environment/Dockerfile.prebuilt
2026-06-09T21:48:21Z	358	multi-service-docker-compose-setup	hub.byted.org/dwn_open_docker/litecoder-terminal--multi-service-docker-compose-setup:opencode-1.15.4-f773a6272fba	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/multi-service-docker-compose-setup/environment/Dockerfile.prebuilt
2026-06-09T21:48:39Z	358	multi-service-docker-compose-setup	hub.byted.org/dwn_open_docker/litecoder-terminal--multi-service-docker-compose-setup:opencode-1.15.4-f773a6272fba	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/multi-service-docker-compose-setup/environment/Dockerfile.prebuilt
2026-06-09T21:49:21Z	358	multi-service-docker-compose-setup	hub.byted.org/dwn_open_docker/litecoder-terminal--multi-service-docker-compose-setup:opencode-1.15.4-f773a6272fba	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/multi-service-docker-compose-setup/environment/Dockerfile.prebuilt
2026-06-09T22:09:54Z	358	multi-service-docker-compose-setup	hub.byted.org/dwn_open_docker/litecoder-terminal--multi-service-docker-compose-setup:opencode-1.15.4-f773a6272fba	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/multi-service-docker-compose-setup/environment/Dockerfile.prebuilt
2026-06-09T22:10:42Z	361	multisite-wordpress-docker-cdn	hub.byted.org/dwn_open_docker/litecoder-terminal--multisite-wordpress-docker-cdn:opencode-1.15.4-e837a6d39d07	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/multisite-wordpress-docker-cdn/environment/Dockerfile.prebuilt
2026-06-09T22:25:32Z	381	nginx-docker-load-balancer__sample_0196_af84f729	hub.byted.org/dwn_open_docker/litecoder-terminal--nginx-docker-load-balancer__sample_0196_af84f729:opencode-1.15.4-06541f27252e	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/nginx-docker-load-balancer__sample_0196_af84f729/environment/Dockerfile.prebuilt
2026-06-09T22:37:25Z	405	nginx-ssl-load-balancer-setup	hub.byted.org/dwn_open_docker/litecoder-terminal--nginx-ssl-load-balancer-setup:opencode-1.15.4-fff14118afd0	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/nginx-ssl-load-balancer-setup/environment/Dockerfile.prebuilt
2026-06-09T23:54:31Z	592	wordpress-docker-compose-ssl	hub.byted.org/dwn_open_docker/litecoder-terminal--wordpress-docker-compose-ssl:opencode-1.15.4-a1525ff9d942	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/wordpress-docker-compose-ssl/environment/Dockerfile.prebuilt
2026-06-10T00:12:00Z	592	wordpress-docker-compose-ssl	hub.byted.org/dwn_open_docker/litecoder-terminal--wordpress-docker-compose-ssl:opencode-1.15.4-a1525ff9d942	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/wordpress-docker-compose-ssl/environment/Dockerfile.prebuilt
2026-06-10T00:12:19Z	592	wordpress-docker-compose-ssl	hub.byted.org/dwn_open_docker/litecoder-terminal--wordpress-docker-compose-ssl:opencode-1.15.4-a1525ff9d942	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/wordpress-docker-compose-ssl/environment/Dockerfile.prebuilt
2026-06-10T00:15:09Z	592	wordpress-docker-compose-ssl	hub.byted.org/dwn_open_docker/litecoder-terminal--wordpress-docker-compose-ssl:opencode-1.15.4-a1525ff9d942	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/wordpress-docker-compose-ssl/environment/Dockerfile.prebuilt
