timestamp,machine_id,temperature,vibration,pressure,power_consumption,failure_occurred
2022-01-01 01:00:00,M003,73.1,3.5,4.9,119.8,0
2022-01-01 02:00:00,M003,72.8,3.4,5.0,119.2,0
2022-01-01 03:00:00,M003,73.5,3.6,4.9,120.5,0
2022-01-01 04:00:00,M003,74.2,3.7,4.8,121.8,0
2022-01-01 05:00:00,M003,73.9,3.6,4.9,121.0,0
2022-01-01 06:00:00,M003,74.5,3.7,4.8,122.3,0
2022-01-01 07:00:00,M003,75.8,3.9,4.7,124.1,0
2022-01-01 08:00:00,M003,76.5,4.0,4.6,125.3,0
2022-01-01 09:00:00,M003,77.2,4.2,4.5,126.8,0
2022-01-01 10:00:00,M003,78.5,4.4,4.4,128.5,0
2022-01-01 11:00:00,M003,79.8,4.6,4.3,130.2,0
2022-01-01 12:00:00,M003,81.2,4.9,4.2,132.5,1
2022-01-01 13:00:00,M003,74.0,3.6,4.9,121.5,0
2022-01-01 14:00:00,M003,73.2,3.5,5.0,120.0,0
2022-06-15 00:00:00,M001,76.5,3.2,5.1,121.8,0
2022-06-15 01:00:00,M001,77.2,3.4,5.0,123.0,0
2022-06-15 02:00:00,M001,76.8,3.3,5.1,122.3,0
2022-06-15 03:00:00,M001,77.5,3.5,5.0,123.8,0
2022-06-15 04:00:00,M001,78.2,3.6,4.9,125.1,0
2022-06-15 05:00:00,M001,77.9,3.5,5.0,124.3,0
2022-06-15 06:00:00,M001,78.5,3.7,4.9,125.8,0
2022-06-15 07:00:00,M001,79.8,3.9,4.8,127.5,0
2022-06-15 08:00:00,M001,80.5,4.1,4.7,129.0,0
2022-06-15 09:00:00,M001,81.2,4.3,4.6,130.5,0
2022-06-15 10:00:00,M001,82.5,4.5,4.5,132.8,0
2022-06-15 11:00:00,M001,83.8,4.8,4.4,135.2,1
2022-06-15 12:00:00,M001,77.5,3.4,5.0,123.5,0
2022-12-01 00:00:00,M002,70.1,2.9,5.4,116.8,0
2022-12-01 01:00:00,M002,70.8,3.0,5.3,117.9,0
2022-12-01 02:00:00,M002,70.5,2.9,5.4,117.3,0
2022-12-01 03:00:00,M002,71.2,3.1,5.3,118.5,0
2022-12-01 04:00:00,M002,71.9,3.2,5.2,119.8,0
2022-12-01 05:00:00,M002,71.5,3.1,5.3,119.0,0
2022-12-01 06:00:00,M002,72.2,3.2,5.2,120.3,0
2022-12-01 07:00:00,M002,73.5,3.4,5.1,122.0,0
2022-12-01 08:00:00,M002,74.2,3.5,5.0,123.5,0
2022-12-01 09:00:00,M002,74.9,3.7,4.9,125.0,0
2022-12-01 10:00:00,M002,76.2,3.9,4.8,127.3,0
2022-12-01 11:00:00,M002,77.5,4.2,4.7,129.8,1
2022-12-01 12:00:00,M002,71.8,3.1,5.3,119.2,0
2023-07-01 00:00:00,M001,75.8,3.2,5.2,121.3,0
2023-07-01 01:00:00,M001,76.5,3.3,5.1,122.5,0
2023-07-01 02:00:00,M001,76.2,3.2,5.2,121.8,0
2023-07-01 03:00:00,M001,76.9,3.4,5.1,123.2,0
2023-07-01 04:00:00,M001,77.6,3.5,5.0,124.5,0
2023-07-01 05:00:00,M001,77.3,3.4,5.1,123.8,0
2023-07-01 06:00:00,M001,77.9,3.6,5.0,125.2,0
2023-07-01 07:00:00,M001,79.2,3.8,4.9,127.0,0
2023-07-01 08:00:00,M001,79.9,4.0,4.8,128.5,0
2023-07-01 09:00:00,M001,80.6,4.2,4.7,130.0,0
2023-07-01 10:00:00,M001,81.9,4.4,4.6,132.3,0
2023-07-01 11:00:00,M001,83.2,4.7,4.5,134.8,1
2023-07-01 12:00:00,M001,77.0,3.3,5.1,123.0,0
2023-07-01 13:00:00,M001,76.3,3.2,5.2,121.8,0
2023-07-01 14:00:00,M001,75.8,3.1,5.2,120.9,0
2023-08-15 00:00:00,M003,73.5,3.5,5.0,120.2,0
2023-08-15 01:00:00,M003,74.2,3.6,4.9,121.5,0
2023-08-15 02:00:00,M003,73.9,3.5,5.0,120.8,0
2023-08-15 03:00:00,M003,74.6,3.7,4.9,122.2,0
2023-08-15 04:00:00,M003,75.3,3.8,4.8,123.5,0
2023-08-15 05:00:00,M003,75.0,3.7,4.9,122.8,0
2023-08-15 06:00:00,M003,75.6,3.8,4.8,124.0,0
2023-08-15 07:00:00,M003,76.9,4.0,4.7,125.8,0
2023-08-15 08:00:00,M003,77.6,4.1,4.6,127.3,0
2023-08-15 09:00:00,M003,78.3,4.3,4.5,128.8,0
2023-08-15 10:00:00,M003,79.6,4.5,4.4,131.0,0
2023-08-15 11:00:00,M003,80.9,4.8,4.3,133.5,1
2023-08-15 12:00:00,M003,75.2,3.7,4.9,122.5,0
2023-12-20 00:00:00,M002,69.8,2.9,5.4,116.5,0
2023-12-20 01:00:00,M002,70.5,3.0,5.3,117.8,0
2023-12-20 02:00:00,M002,70.2,2.9,5.4,117.2,0
2023-12-20 03:00:00,M002,70.9,3.1,5.3,118.5,0
2023-12-20 04:00:00,M002,71.6,3.2,5.2,119.8,0
2023-12-20 05:00:00,M002,71.3,3.1,5.3,119.0,0
2023-12-20 06:00:00,M002,71.9,3.2,5.2,120.2,0
2023-12-20 07:00:00,M002,73.2,3.4,5.1,121.9,0
2023-12-20 08:00:00,M002,73.9,3.5,5.0,123.3,0
2023-12-20 09:00:00,M002,74.6,3.7,4.9,124.8,0
2023-12-20 10:00:00,M002,75.9,3.9,4.8,127.0,0
2023-12-20 11:00:00,M002,77.2,4.2,4.7,129.5,1
2023-12-20 12:00:00,M002,71.5,3.1,5.3,118.8,0
