tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,DOLocationID,trip_distance,passenger_count
2023-01-19 17:30:00,2023-01-19 18:25:00,161,230,0.9,1.0
2023-01-19 12:00:00,2023-01-19 12:10:00,48,142,4.8,1.0
2023-01-19 14:00:00,2023-01-19 14:11:00,142,48,5.5,1.0
2023-01-19 19:30:00,2023-01-19 19:38:00,132,138,6.2,1.0
2023-01-19 22:00:00,2023-01-19 22:08:00,138,45,5.8,2.0
2023-01-19 06:00:00,2023-01-19 06:06:00,45,170,4.5,1.0
2023-01-20 08:00:00,2023-01-20 08:30:00,161,237,1.8,1.0
2023-01-20 09:00:00,2023-01-20 09:15:00,237,162,2.5,1.0
2023-01-20 10:00:00,2023-01-20 10:20:00,162,140,3.0,2.0
2023-01-20 17:00:00,2023-01-20 17:40:00,230,161,1.3,1.0
2023-01-20 18:00:00,2023-01-20 18:35:00,161,236,1.0,1.0
2023-01-20 12:00:00,2023-01-20 12:09:00,48,263,4.2,1.0
2023-01-20 14:00:00,2023-01-20 14:08:00,142,132,5.0,1.0
2023-01-20 20:00:00,2023-01-20 20:10:00,138,45,7.0,1.0
2023-01-20 06:00:00,2023-01-20 06:07:00,45,170,5.2,1.0
2023-01-20 22:00:00,2023-01-20 22:15:00,170,48,10.0,1.0
2023-01-21 10:00:00,2023-01-21 10:25:00,161,237,3.5,2.0
2023-01-21 11:00:00,2023-01-21 11:18:00,237,162,4.0,1.0
2023-01-21 14:00:00,2023-01-21 14:15:00,162,140,5.5,1.0
2023-01-21 16:00:00,2023-01-21 16:20:00,230,236,4.8,2.0
2023-01-21 18:00:00,2023-01-21 18:12:00,48,142,6.0,1.0
2023-01-21 20:00:00,2023-01-21 20:10:00,138,45,7.5,1.0
2023-01-21 09:00:00,2023-01-21 09:08:00,45,132,5.8,1.0
2023-01-21 22:00:00,2023-01-21 22:12:00,132,170,8.0,1.0
2023-01-22 10:00:00,2023-01-22 10:30:00,161,237,3.2,1.0
2023-01-22 11:00:00,2023-01-22 11:20:00,237,140,4.5,2.0
2023-01-22 14:00:00,2023-01-22 14:18:00,162,236,5.0,1.0
2023-01-22 16:00:00,2023-01-22 16:25:00,230,161,4.2,1.0
2023-01-22 18:00:00,2023-01-22 18:10:00,48,263,5.5,1.0
2023-01-22 20:00:00,2023-01-22 20:08:00,138,45,6.0,1.0
2023-01-22 09:00:00,2023-01-22 09:07:00,45,48,5.0,1.0
2023-01-22 22:00:00,2023-01-22 22:10:00,132,170,7.2,1.0
2023-01-15 08:00:00,2023-01-15 08:45:00,161,140,1.3,1.0
2023-01-16 08:00:00,2023-01-16 08:42:00,161,142,1.1,1.0
2023-01-17 08:15:00,2023-01-17 09:00:00,161,263,1.5,2.0
2023-01-18 08:10:00,2023-01-18 08:55:00,161,170,1.2,1.0
2023-01-19 08:20:00,2023-01-19 09:05:00,161,132,1.4,1.0
2023-01-15 17:00:00,2023-01-15 17:55:00,230,45,1.1,1.0
2023-01-16 17:15:00,2023-01-16 18:05:00,230,170,0.8,1.0
2023-01-17 17:30:00,2023-01-17 18:20:00,230,132,0.9,2.0
2023-01-18 17:10:00,2023-01-18 18:00:00,230,48,1.0,1.0
2023-01-19 17:20:00,2023-01-19 18:10:00,230,142,0.7,1.0
2023-01-15 09:30:00,2023-01-15 09:50:00,237,45,2.8,1.0
2023-01-16 09:15:00,2023-01-16 09:40:00,237,170,3.0,1.0
2023-01-17 09:45:00,2023-01-17 10:05:00,237,132,2.5,1.0
2023-01-18 09:30:00,2023-01-18 09:55:00,237,48,3.2,2.0
2023-01-19 09:00:00,2023-01-19 09:22:00,237,142,2.7,1.0
2023-01-15 10:00:00,2023-01-15 10:05:00,132,45,4.0,1.0
2023-01-16 10:00:00,2023-01-16 10:06:00,132,170,4.5,1.0
2023-01-17 10:00:00,2023-01-17 10:07:00,132,48,5.0,1.0
2023-01-18 10:00:00,2023-01-18 10:05:00,132,142,3.8,1.0
2023-01-19 10:00:00,2023-01-19 10:06:00,132,237,4.2,1.0
2023-01-15 07:00:00,2023-01-15 07:50:00,100,200,0.8,1.0
2023-01-16 07:30:00,2023-01-16 08:20:00,100,200,0.7,2.0
2023-01-17 07:15:00,2023-01-17 08:05:00,100,200,0.6,1.0
2023-01-18 07:45:00,2023-01-18 08:30:00,100,200,0.9,1.0
2023-01-19 07:00:00,2023-01-19 07:55:00,100,200,0.5,1.0
2023-01-15 03:00:00,2023-01-15 03:08:00,170,132,6.5,1.0
2023-01-16 03:30:00,2023-01-16 03:37:00,170,237,5.8,1.0
2023-01-17 03:00:00,2023-01-17 03:06:00,170,161,5.0,1.0
2023-01-18 03:15:00,2023-01-18 03:22:00,170,162,4.8,2.0
2023-01-19 03:00:00,2023-01-19 03:07:00,170,230,5.5,1.0
2023-01-15 23:00:00,2023-01-15 23:10:00,263,161,7.0,1.0
2023-01-16 23:30:00,2023-01-16 23:38:00,263,237,5.5,1.0
2023-01-17 23:00:00,2023-01-17 23:09:00,263,162,6.2,2.0
2023-01-18 23:15:00,2023-01-18 23:24:00,263,230,6.8,1.0
2023-01-19 23:00:00,2023-01-19 23:08:00,263,140,5.0,1.0
2023-01-15 15:00:00,2023-01-15 15:12:00,140,161,3.5,1.0
2023-01-16 15:30:00,2023-01-16 15:40:00,140,237,4.0,1.0
2023-01-17 15:00:00,2023-01-17 15:10:00,140,162,3.8,2.0
2023-01-18 15:15:00,2023-01-18 15:28:00,140,230,4.5,1.0
2023-01-19 15:00:00,2023-01-19 15:11:00,140,48,3.2,1.0
2023-01-15 11:00:00,2023-01-15 11:08:00,236,161,4.0,1.0
2023-01-16 11:30:00,2023-01-16 11:40:00,236,237,5.2,2.0
2023-01-17 11:00:00,2023-01-17 11:09:00,236,162,4.5,1.0
2023-01-18 11:15:00,2023-01-18 11:25:00,236,230,5.0,1.0
2023-01-19 11:00:00,2023-01-19 11:08:00,236,48,3.8,1.0
2023-01-15 08:00:00,2023-01-15 08:30:00,161,237,0.0,1.0
2023-01-15 09:00:00,2023-01-15 09:20:00,162,230,-1.5,2.0
2023-01-15 10:00:00,2023-01-15 10:15:00,237,161,,1.0
2023-01-15 12:00:00,2023-01-15 08:00:00,48,142,3.0,1.0
2023-01-15 14:00:00,2023-01-15 14:00:00,142,48,2.0,1.0
2023-01-15 08:00:00,2023-01-16 14:00:00,161,237,5.0,1.0
2023-01-15 16:00:00,2023-01-15 16:10:00,230,,2.5,1.0
2023-01-15 17:00:00,2023-01-15 17:10:00,,236,2.5,1.0
2023-01-15 18:00:00,2023-01-15 18:05:00,132,45,250.0,1.0
not-a-date,2023-01-15 19:00:00,138,170,3.0,1.0
2023-01-15 20:00:00,not-a-date,45,132,3.0,1.0
2023-01-15 21:00:00,2023-01-15 21:01:00,170,48,2.0,
2023-01-20 08:00:00,2023-01-20 08:40:00,100,200,0.6,1.0
2023-01-21 15:00:00,2023-01-21 15:45:00,100,200,0.7,1.0
2023-01-22 12:00:00,2023-01-22 12:50:00,100,200,0.8,2.0
